protein_id,sequence_length,swi,tango_total,tango_aggregation_positions,net_charge_ph7,pI,iupred3_mean,iupred3_fraction_disordered,shannon_entropy,hydrophobic_patch_total_area,hydrophobic_patch_n_large,sap_total,scm_positive,scm_negative,radius_of_gyration,camsol_ph7
s42_n300,300,0.7926443333333334,538.527,460,-5.744907748034507,5.8010103225708,0.4410283991006896,0.38666666666666666,3.8217982498463425,2156.965198602977,3,7.647779996200459,34.6531472471586,-36.26935623617742,18.07052993774414,2.141689
s42_n400,400,0.8193857500000001,1050.26,703,-35.668152609053365,4.652010154724121,0.39766282730537456,0.14,3.643707565163078,2203.6088475658116,6,5.6206426012663355,37.79970676750019,-86.2465899283593,20.917911529541016,2.490071
s42_n500,500,0.813567,1037.83,354,-3.8936889237516965,6.054682731628417,0.4665481977395295,0.34,3.6140531756401235,1778.5825608482305,3,4.849383345561124,62.34116643504346,-54.22715542057996,22.063058853149414,2.527987
s43_n300,300,0.7967056666666666,582.52,624,-13.891585121847257,4.953029441833496,0.49402965319498926,0.5166666666666667,3.810737467438221,1826.9339452267438,3,7.006500465133291,29.05704237674808,-36.39516897745656,17.670751571655273,1.850430
s43_n400,400,0.8209122500000001,1073.3,2742,-6.378340150583938,5.50010471343994,0.2375058248171978,0.0,3.471010354311384,1836.653406867944,5,4.18278203354932,62.92356139407981,-61.850384399432315,23.204452514648438,1.941277
s43_n500,500,0.7955456,567.208,568,-11.948252398005252,5.736668586730957,0.5003145834692293,0.436,3.6901705534224623,1377.3445720911598,1,9.55897526489159,55.632563065062996,-63.49853167768045,21.85178565979004,3.192322
s44_n300,300,0.8164383333333334,742.414,787,-15.215973377988298,4.988326454162597,0.25673221925420153,0.023333333333333334,3.3631830855543874,942.5290744037593,1,0.6561472079598147,36.82767525494117,-59.32676072913958,18.394609451293945,2.067038
s44_n400,400,0.7771159999999999,1400.35,2220,-6.208755825207925,4.68270320892334,0.5099738898322592,0.4275,3.451958087671935,1593.1429106118014,4,4.959157990555031,20.997272590732674,-6.702264135818023,19.472347259521484,-0.543215
s44_n500,500,0.8166477999999999,1590.28,69,8.681820039189091,8.989487648010254,0.4267153308158647,0.236,3.6330162228094185,1302.3279847492086,1,2.7722333649259783,88.32654787480053,-44.04905682585497,23.686796188354492,2.405465
s45_n300,300,0.8057863333333334,507.41,63,-43.6421757527276,4.331495094299317,0.4059379250943318,0.22666666666666666,3.7647706394219935,1043.9133791311467,2,4.041326170223853,16.437767798542517,-77.26997325259273,17.296903610229492,2.947490
