protein_id,sequence_length,swi,tango_total,tango_aggregation_positions,net_charge_ph7,pI,iupred3_mean,iupred3_fraction_disordered,shannon_entropy,hydrophobic_patch_total_area,hydrophobic_patch_n_large,sap_total,scm_positive,scm_negative,radius_of_gyration
s42_n300,300,0.82116,176.81,0,-60.305247310228395,4.0500284194946286,0.8167077124913458,1.0,3.403514227591827,2382.356384220085,5,5.3296217796510446,3.506590031517994,-87.67626636272777,18.0455379486084
s42_n400,400,0.8500225,162.361,0,-108.21573493354343,4.0500284194946286,0.9451719311620552,1.0,3.097869799485339,1649.324736264767,4,2.090161943423756,6.6255131795424,-166.97038359884363,20.934715270996094
s42_n500,500,0.823607,309.536,3,-84.8694341782549,4.093567085266113,0.7999590544216184,0.97,3.4240873289577936,2355.4443552460407,5,3.9061670123250463,13.439495417122728,-154.42128050563048,22.060544967651367
s43_n300,300,0.8257763333333334,140.18,0,-58.20067914261282,4.0500284194946286,0.8394393912376946,1.0,3.3486043444333218,1712.686435087647,3,4.772793136569456,7.099954285670466,-78.14839952415662,17.68857765197754
s43_n400,400,0.8413695000000001,156.432,0,-103.33360122609653,4.0500284194946286,0.8943082320942258,1.0,3.138138458965407,2000.1236686245147,5,1.9754700657160869,9.526670418201526,-165.6594520082482,23.18857192993164
s43_n500,500,0.8350255999999999,159.173,17,-102.23245699176681,4.291366767883301,0.9184930161741757,1.0,3.4372884017867817,1924.9315722578438,3,8.757039323188046,15.331495270574216,-127.74484203424888,21.859222412109375
s44_n300,300,0.8395776666666668,176.141,0,-66.2528668508722,4.0500284194946286,0.9225910555056294,1.0,2.7673348176669164,897.7752896676453,2,1.0015371012186989,3.9911580966158455,-92.47297079278255,18.38555335998535
s44_n400,400,0.8034177499999999,227.059,10,-46.444601543229844,4.0500284194946286,0.8732581857585905,1.0,3.193698300013675,1399.462617691107,2,3.7025141481563546,4.742746282151424,-57.13872646534701,19.464984893798828
s44_n500,500,0.8275786,249.921,12,-75.40169383685512,4.149439811706543,0.8581055922048838,1.0,3.1843425431425323,3238.0953860618397,13,5.078021237542131,19.4208745204552,-101.63678056666157,23.680395126342773
s45_n300,300,0.830756,148.232,0,-64.36708624113373,4.323764991760254,0.8597559161845182,1.0,3.2913081181335575,1094.2956232994406,3,2.718749885512102,8.775334003560639,-93.25748671226793,17.311243057250977
s45_n400,400,0.8353354999999999,386.244,0,-92.83405146074385,4.35116138458252,0.9071985306589697,1.0,3.42765370369572,1184.9081764188502,3,2.957471783922405,11.667751679158602,-128.0581660672359,19.22293472290039
s45_n500,500,0.8140529999999999,322.872,231,-84.40223990630173,4.244417762756348,0.695855894242626,0.864,3.777653330668374,4143.310905045011,11,10.508012863143385,25.026873118130414,-108.37372622927411,24.026578903198242
s46_n300,300,0.826278,114.043,6,-65.61122032580563,4.0500284194946286,0.7972557322216873,0.96,3.425791336858901,2123.379506247574,4,5.9571321236878765,4.224557567783247,-92.41584955682397,17.86773109436035
s46_n400,400,0.8191379999999999,195.763,158,-55.050862665429435,4.144722175598144,0.8908135522510464,1.0,3.4771353204492432,2928.266730117097,12,8.212790804643966,13.521380512859977,-28.15814904380224,19.83382797241211
s46_n500,500,0.8128714,340.496,0,-68.43741346626267,4.401236534118653,0.6355264640453067,0.64,3.404911835840679,2149.153114403973,6,3.9421915054097263,12.497359329825397,-129.06680486560182,23.806358337402344
s47_n300,300,0.8349706666666667,146.191,1,-65.99605044705027,4.089929389953612,0.9057765708392369,1.0,3.2572309509682325,1435.7218763283336,6,3.1025274732308024,7.135733076076518,-99.95769557129947,17.319543838500977
s47_n400,400,0.8462162499999999,198.329,0,-96.2499382189575,4.263458824157715,0.9177608176407288,1.0,3.2394678893997955,545.2554185058285,1,1.1925622912397136,52.06094991352892,-153.18310272806008,20.680498123168945
s47_n500,500,0.826169,186.908,0,-38.34013843011306,4.0500284194946286,0.924062529004702,1.0,1.7072893396345084,748.1212334265228,2,0.3356350239985021,4.484104518667281,-40.902612324558355,23.31008529663086
s48_n300,300,0.8449513333333333,182.14,7,-86.02159297109591,4.355879020690918,0.9199748540698156,1.0,3.220402660215522,1026.866727525488,2,1.5206247832336361,4.021451727087735,-134.1432834624802,18.03032875061035
s48_n400,400,0.874676,234.313,0,-158.64463384661767,4.0500284194946286,0.9719394323095772,1.0,2.9996320613050114,850.900910112163,2,1.131735546192173,4.47521406961273,-248.86007013799139,20.59632682800293
s48_n500,500,0.8295326,279.393,80,-79.30835690370779,4.132103919982909,0.8556669324428696,1.0,3.2908866555113114,3459.9865444052894,13,6.6066852896248065,21.1696310340544,-108.64836277640978,21.482648849487305
s49_n300,300,0.8063470000000001,173.762,0,-35.049092070480334,4.0500284194946286,0.8212628015814,1.0,3.1678237851973914,1804.889199770277,6,5.053186970443321,3.459382254359922,-27.115667174967633,17.37230110168457
s49_n400,400,0.8003925000000001,271.374,182,-51.59207257604582,4.061794090270996,0.5642456353094254,0.6425,3.6099743618332463,4234.281876478242,14,11.927814798762753,12.051202206856365,-67.57070807156362,20.278671264648438
s49_n500,500,0.8638782,204.527,11,-199.585743829064,4.0500284194946286,0.9342529659900258,1.0,2.7197251862376572,2019.6742294896717,5,2.7236415615793677,8.96947826400429,-247.91841889621378,23.261892318725586
s50_n300,300,0.8120016666666667,175.959,11,-45.67873120099871,4.0500284194946286,0.7116261650300747,0.91,3.4715636653001565,2750.1917762212274,8,7.65810578447657,4.085535640296219,-57.20305735485542,17.883867263793945
s50_n400,400,0.8287427500000001,298.635,37,-64.7677203786637,4.855891609191894,0.8503989087263597,1.0,3.453668140838797,1407.5332536051787,2,2.7832398553063924,7.853878897756823,-106.47762494032304,20.779172897338867
s50_n500,500,0.8118337999999998,76.8522,15,-48.12846097761027,4.0500284194946286,0.6606908828408283,0.902,2.539704093704336,5244.598006686925,17,21.936902713667745,1.9445528106841032,-103.82530861859621,20.589693069458008
s51_n300,300,0.8245613333333335,119.595,53,-63.621340697368815,4.0500284194946286,0.7933250241012638,0.97,3.322039485140593,1912.7630870576359,6,4.967752877359205,7.649509635219316,-97.5459397168823,17.4601993560791
s51_n400,400,0.8441975,200.555,17,-112.11242689765105,4.0500284194946286,0.9209916908662622,1.0,2.978508531148128,1323.5315047902973,2,2.1778344261108913,3.7164333511876895,-173.80623794598333,21.1226863861084
s51_n500,500,0.8111278,456.042,4,-82.55297488681958,4.051506233215332,0.7661802358670469,0.972,3.452286647060847,1942.6259784800745,7,4.183517874267338,11.140220619752807,-152.67920738338765,22.852985382080078
s52_n300,300,0.8257110000000001,198.741,1,-65.08645515828354,4.0662843704223635,0.8282770974224661,0.9566666666666667,3.347635692822783,1837.3791243821527,5,4.650860475001596,6.296347377043643,-102.47457020982216,17.589900970458984
s52_n400,400,0.8307380000000001,242.476,0,-68.48943383852033,4.154157447814941,0.861022352500416,1.0,3.4465766506140874,2245.8824846325033,9,4.693114352519579,18.485875333506506,-129.83003444126555,20.65453338623047
s52_n500,500,0.8166004,360.255,0,-66.79994702413943,4.0500284194946286,0.838461768049553,1.0,2.988072134074722,2436.6777495977126,10,2.865910281654277,28.260342863360737,-111.09762305141072,23.246196746826172
s53_n300,300,0.8340416666666667,148.394,0,-70.91783494976522,4.0500284194946286,0.8975781448137525,1.0,3.3240367429068916,1447.0405823596238,5,2.325336071382571,3.3674410929661716,-113.47644492874556,17.087663650512695
s53_n400,400,0.85752125,189.632,245,-133.32163281180567,4.0500284194946286,0.9078554543239986,1.0,2.86711650866565,1785.8058779035466,6,1.2058560793089714,8.098728912600581,-187.33514621885772,20.607629776000977
s53_n500,500,0.8339138,218.361,2,-83.57554423040088,4.0500284194946286,0.9066745372575002,1.0,2.78978708668906,1803.6642906821721,6,3.2709395896038282,6.236228128089557,-109.84704860930258,24.505901336669922
s54_n300,300,0.8297416666666667,227.931,0,-74.62407506041747,4.059406852722168,0.8948461053113526,1.0,3.1270877647318622,1262.4303083182544,2,1.5319988845817505,1.8083018323779458,-109.00952195014926,18.197372436523438
s54_n400,400,0.8234180000000001,282.164,233,-85.79167975035021,4.215998268127441,0.80449653820376,0.975,3.4243441858041934,1179.5061255997923,1,2.6579595565158507,8.454081773523193,-150.59143971561605,21.536714553833008
s54_n500,500,0.8300255999999999,148.623,0,-34.25516166533308,4.0500284194946286,0.8923299518239339,1.0,2.25026007248858,1330.3271495478668,4,3.0550326324550534,5.455475938700535,-38.71697818205179,22.031293869018555
s55_n300,300,0.8154613333333333,90.165,1,-48.853308296250184,4.0500284194946286,0.7906565222302148,0.9833333333333333,3.4036137681613963,2761.873929589979,10,7.784544479468849,5.991674118933891,-71.91703579593457,18.1372013092041
s55_n400,400,0.81730725,203.79,12,-66.61854264011677,4.319672584533691,0.7770548950105385,0.9475,3.5773027571243445,3168.283244163079,11,8.234809033703348,12.528358396738156,-103.92555574354887,21.202781677246094
s55_n500,500,0.8456556000000001,242.229,6,-134.17801365864227,4.0500284194946286,0.9163764868660592,1.0,3.1796087773271906,2444.9000690925304,6,3.5279162282249596,8.712366956556703,-205.9773843174869,21.760421752929688
s56_n300,300,0.8674436666666668,140.179,0,-125.8908377068607,4.0500284194946286,0.9585281292481602,1.0,2.7339806270953857,1239.4432328585474,3,0.8750346714693853,2.8470736755269734,-180.99199146309377,19.07993507385254
s56_n400,400,0.82191325,213.533,0,-71.36059285781212,4.211280632019044,0.8824534468270349,1.0,3.029094592893567,1310.0725907583324,4,1.3347366782627335,10.048477628262882,-106.07101001038387,23.769351959228516
s56_n500,500,0.8225832000000001,333.853,20,-130.16662211599947,4.0500284194946286,0.8124667269934297,1.0,3.0351945095303683,1400.1141826885614,4,1.824300241245504,10.707935346846229,-210.7172300306131,23.665102005004883
s57_n300,300,0.8384413333333334,205.368,0,-73.07953169962953,4.298016929626464,0.8943316221718559,1.0,3.0786613345058282,935.2526814567989,1,1.473239900640686,4.640988653130326,-104.32924997467848,18.079166412353516
s57_n400,400,0.8259349999999999,269.176,17,-72.37053344461188,4.244645118713379,0.7511397110063075,0.925,3.4302644579349684,1763.0207624123748,10,5.09189350376834,15.521796756093496,-108.97488714152118,19.145675659179688
s57_n500,500,0.8282666000000001,274.214,2,-50.991915851493786,4.132444953918457,0.8884253108851796,1.0,2.693604515103244,1963.6097122577971,6,2.4593797810660063,12.498679378063837,-83.37367079836821,21.91665267944336
