protein_id,sequence_length,swi,tango_total,tango_aggregation_positions,net_charge_ph7,pI,iupred3_mean,iupred3_fraction_disordered,shannon_entropy,hydrophobic_patch_total_area,hydrophobic_patch_n_large,sap_total,scm_positive,scm_negative,radius_of_gyration,camsol_ph7
s42_n300,300,0.8138323333333334,113.04,12,-8.867629019265898,5.206019783020018,0.6377231244755165,0.9566666666666667,3.3210440761604603,2068.517999675629,5,5.693351466981778,37.045479962669276,-37.63623730145935,18.05465316772461,4.620895
s42_n400,400,0.8325575000000001,157.929,0,-15.974912866594039,5.214772987365721,0.6678753911469946,0.945,3.3128441446005255,1584.687001233893,5,2.2320984224657363,60.47945274331671,-88.41888439885281,20.916664123535156,6.564778
s42_n500,500,0.8152048000000001,295.617,3,0.027907701419962905,7.014579582214354,0.6410291485449688,0.922,3.3241270246228094,1949.4083567266507,4,3.32536960937557,81.08512279698195,-71.21049392430223,22.06191062927246,5.661635
s43_n300,300,0.8115006666666668,97.9015,1,-8.117539674631345,5.1391202926635735,0.5671109421311219,0.8166666666666667,3.2152293247588823,1696.2090113590239,3,5.025713704510441,37.254075356267364,-42.96176743521307,17.679636001586914,4.707701
s43_n400,400,0.8349957499999999,147.902,3,-4.522968128376547,6.035812187194824,0.6511937934528271,0.97,3.167071237338827,785.4661843808899,0,1.44609872464405,68.46536661178746,-71.51961639051277,23.20216941833496,7.071173
s43_n500,500,0.815198,147.265,5,7.287711390749507,10.41456127166748,0.701544304045017,0.932,3.1586553583896326,1190.0115615194827,1,6.902640055516108,73.86396573022363,-69.90233479695877,21.87457847595215,7.956496
s44_n300,300,0.8348136666666667,143.879,0,-1.4666917819335765,6.534972190856934,0.6347463804117123,0.8933333333333333,3.1443858709977808,612.6850002343704,1,0.9911863917632638,58.83408638693312,-45.92298952928866,18.390647888183594,6.609726
s44_n400,400,0.8039725,211.823,0,0.023875914919315733,7.021911811828613,0.8275107638323683,1.0,3.301431485396922,2056.5814808267232,7,5.532842227841875,35.422939549521054,-42.58208288516132,19.479101181030273,4.832155
s44_n500,500,0.8320358000000001,217.157,0,10.007194974320981,9.095538139343262,0.6699863416094368,0.912,3.178290223702667,1168.6849023805203,2,2.7505012580833723,98.08497309597374,-45.60730838823048,23.692808151245117,5.796779
s45_n300,300,0.8220853333333334,105.598,0,-3.717464306807443,6.141191673278808,0.7187806567256799,0.95,3.1170890122547092,416.6285319983193,1,1.988194192774847,44.61756736084874,-46.84386702889441,17.29764747619629,6.840632
s45_n400,400,0.82330525,149.206,3,-18.186536365407235,5.607871437072753,0.7142382627605889,0.975,3.270850060578698,478.0767508423638,0,1.375627451983059,54.026213137103525,-76.34618676473193,19.204261779785156,7.171511
s45_n500,500,0.8363427999999999,282.629,4,1.7208102187063048,7.7412092208862315,0.7810436126375363,1.0,3.4567758388668306,1586.8941940981758,2,1.2816393173934757,109.81287324327018,-84.10390309077306,24.026700973510742,7.976035
