protein_id,scRMSD_ca_min,scRMSD_ca_all
s42_n300,1.6976,4.4994;4.4210;4.4194;4.3763;4.6867;4.3266;4.6019;1.6976
s42_n400,6.7567,13.9709;8.4165;6.7567;13.2072;9.5844;8.2526;11.6573;11.2466
s43_n300,1.8563,2.7262;2.9927;3.0518;2.4441;1.8563;2.2844;3.0367;2.2129
s43_n400,4.8846,22.7895;7.0602;18.1794;19.9901;22.0935;16.1670;5.9471;4.8846
s44_n300,6.1949,10.8856;11.5150;9.0683;6.4554;6.1949;12.6345;14.5768;12.6724
s44_n400,1.1654,1.6290;1.7869;1.1654;2.1158;1.8318;2.4368;2.5560;2.6822
s45_n300,3.0165,3.4518;5.4007;4.7528;4.1920;4.0756;4.1951;4.9705;3.0165
s45_n400,1.8604,1.9623;5.6086;1.8604;7.2168;8.4002;10.1357;9.4996;11.1912
s46_n300,1.5029,1.8464;1.5029;1.7599;1.5715;2.5184;1.9809;1.8400;1.5295
s46_n400,1.4361,6.2914;5.4001;6.8687;6.0885;1.5668;2.2535;1.7443;1.4361
s47_n300,1.5640,1.9041;1.9246;1.7364;1.9131;1.5640;1.9664;2.0823;2.0055
s47_n400,2.1284,3.8680;4.1841;2.7337;2.4505;2.3526;2.2864;2.1284;2.5495
s48_n300,6.6160,13.7284;20.8978;12.4583;6.6160;16.4363;17.2243;16.5530;11.7293
s48_n400,1.5383,2.2984;2.4889;1.5383;2.4498;2.4550;15.3494;1.8795;5.3217
s49_n300,1.2472,1.5316;1.4440;1.2976;1.4101;1.4308;1.3937;2.2666;1.2472
s49_n400,1.4360,1.8200;1.5116;1.9365;1.6286;1.4543;1.4690;1.5309;1.4360
s50_n300,1.9526,3.0422;2.9516;3.2090;3.3038;2.9718;3.1755;1.9526;2.2268
s50_n400,7.4217,11.7622;11.4721;7.4217;7.7799;10.2170;12.3091;7.9335;10.3974
s51_n300,2.0167,2.2276;2.0167;2.7991;2.1470;2.4917;2.1175;2.0198;2.3947
s51_n400,1.5453,3.6638;4.2779;5.0432;2.2726;4.1015;2.4140;2.1237;1.5453
s52_n300,1.8915,2.3989;2.1178;2.2612;1.8915;2.1161;2.0123;2.5453;2.1923
s52_n400,3.1393,4.9003;4.1543;3.5543;3.3391;18.0149;3.1393;5.1834;4.6632
s53_n300,1.6348,1.9736;2.1818;2.1513;1.6514;1.6348;2.0640;2.4934;1.8461
s53_n400,1.4851,1.5872;2.1492;1.5051;1.7563;9.6723;2.4280;1.4851;5.2771
s54_n300,1.5188,2.2605;2.2985;1.5685;1.5188;2.1277;1.6696;4.6241;2.2323
s54_n300,1.5799,1.8869;2.3094;1.8273;2.2188;2.8758;4.1149;1.5799;2.3080
s54_n400,2.5041,2.6748;4.4835;2.5041;3.9039;3.2215;3.6411;4.9232;4.9465
s54_n400,2.1864,4.1152;2.6152;3.6662;4.0684;4.7601;2.1864;3.7308;5.0592
s55_n300,1.0249,1.7752;1.0249;1.3779;2.1432;1.2682;1.2945;2.4480;1.9179
s55_n300,1.1504,1.1504;2.5106;1.6152;1.7825;1.3112;2.0858;1.3292;1.8476
s55_n400,2.0011,2.1773;2.0011;2.2468;2.5610;3.5255;2.3301;2.2171;2.2916
s55_n400,1.9563,2.3788;2.4039;2.3785;1.9563;2.1237;2.1867;2.5933;2.4980
s56_n300,3.7075,7.4067;6.9193;8.0594;3.7075;4.8047;3.8498;6.8917;11.5993
s56_n300,3.7364,4.7315;21.7851;4.9750;4.6947;5.6803;3.7364;11.7187;4.3238
s56_n400,6.0821,7.4621;7.2426;9.5447;15.2600;6.8453;10.5808;6.0821;11.1086
s56_n400,inf,inf
s57_n300,1.3610,1.7840;1.3610;1.7594;1.3746;1.7306;1.5239;1.6323;1.7692
s57_n300,1.2877,1.6855;1.2877;1.7791;2.0251;1.9161;1.6652;1.4111;1.6062
s57_n400,3.0711,11.7805;13.1483;6.7232;6.2049;5.9730;4.4674;3.0711;3.1452
s57_n400,3.4670,13.5815;6.7638;3.4670;4.4637;13.7008;6.7178;10.3567;6.0261
