protein_id,scRMSD_ca_min,scRMSD_ca_all
s42_n300,0.7975,0.7975;0.8989;0.8766;4.7844;0.8866;0.8295;4.9591;0.8604
s42_n400,1.0083,1.0512;2.0054;1.8892;1.2042;1.4216;1.0437;1.0083;1.2244
s43_n300,1.6049,1.6049;2.6213;2.2179;1.8916;2.1440;1.9868;1.8754;2.6890
s43_n400,1.4457,1.6434;7.6337;1.6125;1.7670;1.4457;1.8693;3.2856;2.9647
s44_n300,0.9323,1.0342;1.0455;1.0022;1.0429;1.1379;1.1106;0.9323;1.0941
s44_n400,1.6881,1.8501;1.8147;1.9991;1.7334;3.2356;1.7856;1.6881;1.9972
s45_n300,0.7927,1.2524;0.8439;1.2411;0.9191;1.0819;1.0125;0.9421;0.7927
s45_n400,1.0415,1.4876;1.0948;1.5926;1.3781;1.4592;1.0415;1.4346;1.0641
s46_n300,0.8849,1.3715;1.0284;2.8066;0.8996;0.8849;1.1932;1.6498;1.2840
s46_n400,2.6059,5.3448;5.0472;4.4925;6.4569;5.0730;2.6059;6.3841;6.5569
s47_n300,0.6078,0.8480;0.8373;1.8448;0.9212;0.7325;0.6650;0.9657;0.6078
s47_n400,0.9458,1.0451;1.2534;0.9952;1.0059;1.2702;1.0295;1.0663;0.9458
s48_n300,0.8865,10.5948;0.8865;3.9222;11.7133;10.3992;4.3543;4.7152;1.0630
s48_n400,1.5149,1.5149;2.6180;3.6238;3.6266;10.8168;2.6956;2.0992;6.5506
s49_n300,0.6508,0.8373;0.7509;0.6508;0.7667;0.6680;0.7451;0.7951;0.7817
s49_n400,0.9662,1.4934;0.9662;2.5096;1.0770;1.1685;1.7194;1.1285;1.6947
s50_n300,0.6525,1.0498;2.0462;0.6525;1.8133;1.0944;1.4824;0.7595;1.2959
s50_n400,4.7305,6.4700;4.7305;10.2718;10.0360;7.9722;11.1506;11.2355;7.5018
s51_n300,0.7146,0.7317;1.1791;0.7146;1.2809;1.0521;0.9520;0.8170;0.7447
s51_n400,1.4766,1.6858;1.7368;1.7153;1.6799;1.6635;1.4766;1.5785;1.6283
s52_n300,0.8010,0.8118;1.0445;0.9653;1.1204;1.1875;0.8010;1.2174;1.3911
s52_n400,0.7898,0.9690;1.0233;0.7898;0.8742;0.9521;0.9453;1.1512;1.0944
s53_n300,0.9700,3.3670;0.9700;3.2970;2.7105;1.1083;3.3556;3.6156;2.9436
s53_n400,0.9802,3.4824;1.8487;0.9802;17.3274;4.8973;3.7607;5.5409;5.5094
s54_n300,0.8412,1.2196;1.0962;1.0966;0.8873;0.8412;1.2834;0.8813;1.3632
s54_n400,1.4702,1.9226;4.5729;4.0152;4.9076;3.0502;1.4702;4.1720;6.3676
