protein_id,coScRMSD_ca
s42_n300,5.1731
s43_n300,1.2321
s44_n300,0.8537
s45_n300,0.9247
s46_n300,0.7462
s47_n300,0.7480
s48_n300,3.0582
s49_n300,1.5123
s50_n300,1.5168
s51_n300,1.5046
s52_n300,0.8429
s53_n300,0.8020
s54_n300,0.6114
s55_n300,1.0005
s56_n300,21.2431
s57_n300,1.6616
s58_n300,3.8386
s59_n300,3.4472
s60_n300,1.0320
s61_n300,1.8586
s62_n300,0.9432
s63_n300,0.7283
s64_n300,0.6300
s65_n300,0.8632
s66_n300,17.1665
s67_n300,3.9939
s68_n300,3.7177
s69_n300,0.5566
s70_n300,0.9764
s71_n300,1.2755
s72_n300,1.3952
s73_n300,0.8902
