protein_id,sequence_length,swi,tango_total,tango_aggregation_positions,net_charge_ph7,pI,iupred3_mean,iupred3_fraction_disordered,shannon_entropy,hydrophobic_patch_total_area,hydrophobic_patch_n_large,sap_total,scm_positive,scm_negative,radius_of_gyration,camsol_ph7
s42_n300,300,0.7867986666666666,586.129,4195,4.026681122743426,8.886531639099122,0.13450797763087072,0.04666666666666667,3.3525167040561663,7089.649684392364,25,34.16025835932309,67.61026547360996,-49.92149196961058,32.45133590698242,1.152906
s42_n400,400,0.8361757500000002,497.865,1878,-32.763509088057916,4.979630088806151,0.290183696676454,0.0525,3.0884374817586973,3739.8536455018134,11,7.011220697457771,73.2073362353097,-104.04235043489365,29.911941528320312,5.186831
s42_n500,500,0.7819834000000001,1185.98,10726,25.759604882479017,9.761045265197755,0.08726399728843867,0.0,3.189829234991115,10500.268247124981,36,56.340874326894756,118.69013035480603,-42.7992392025601,32.82434844970703,-1.966140
s43_n300,300,0.7543753333333333,390.833,1239,7.755561924904351,10.056503868103025,0.055729624075455085,0.0,2.3427914509954255,2783.628429917777,12,6.342771400245037,10.947831548210207,-3.8985036079757083,30.553415298461914,-0.209042
s43_n400,400,0.8221930000000001,411.547,1956,-3.64674157592178,6.247480583190918,0.23086962739729514,0.01,3.1390232336423787,5646.764154176236,18,17.056176865608773,98.69332272584845,-99.36784168982297,39.10207748413086,6.148051
s43_n500,500,0.8372014,497.742,1187,-126.75402056277964,4.227536582946779,0.39877485021175224,0.306,2.915535594016326,4983.055544543563,17,6.529558210879298,23.89726081547259,-287.70281793014703,33.84356689453125,7.122109
s44_n300,300,0.8848013333333336,163.243,20,-158.9928552233582,4.0500284194946286,0.8547660238804885,1.0,2.0295326522592423,2456.9849918614464,6,1.5095268626228713,4.6573510227642,-331.2882808688671,39.009700775146484,10.174756
s44_n400,400,0.75598275,590.936,190,-4.406999762223548,4.352355003356934,0.03800706853882268,0.0,1.8129142169650683,5197.2286855477305,13,8.875425703372878,2.5595045930618796,-10.094248021662708,48.265380859375,0.242538
s44_n500,500,0.7503434000000001,357.4,4786,48.19505838861576,11.759436225891115,0.10840912417630476,0.006,2.8280577274125624,9352.723146040411,24,46.59625836660174,133.29144310396677,-38.32347643691376,35.91777420043945,1.639710
s45_n300,300,0.8741050000000001,117.167,2714,-139.94855632677186,4.0500284194946286,0.627376329897516,0.55,2.0763084592863925,5345.757023776122,14,19.235522626773967,31.356659895396657,-288.68127170227035,43.31766891479492,9.154934
s45_n400,400,0.8148320000000001,499.951,334,9.47059017775365,10.774423789978027,0.41720049438774554,0.2425,3.168550383489667,5888.846363574438,14,13.674588907915108,124.03338659378471,-77.08129685618846,43.4053955078125,7.540312
s45_n500,500,0.7604565999999999,491.016,3385,1.588311336071137,9.976563072204591,0.021646432811946593,0.0,1.2540704866331924,6442.156326530114,10,29.042288081745152,7.133857489580852,-1.7670188817492318,55.66863250732422,0.075213
s46_n300,300,0.8081896666666667,241.617,75,5.856749422652086,9.072780799865722,0.3147554546784188,0.10333333333333333,3.4993332947976747,4162.203268478895,17,9.035689270174426,103.34911267819274,-73.94750717754897,32.27604675292969,6.112580
s46_n400,400,0.8044697500000001,1660.65,3,-2.4667652489974543,5.187376594543456,0.7605016754298455,1.0,3.042079758285886,3045.585053950517,9,8.317367384482226,16.633521716759155,-18.828513441775804,39.64195251464844,1.537575
s46_n500,500,0.7914566,1305.5,0,-0.4996453124586552,5.275022315979004,0.7243843688295039,1.0,2.4019669278948528,1561.7663435731379,4,3.6852535213343027,0.0,0.0,40.349037170410156,1.842738
s47_n300,300,0.8281626666666667,444.851,1604,2.9043803930444057,8.538080024719239,0.2385150529110453,0.016666666666666666,3.0446963656587664,3338.424945173865,10,3.677227967573434,89.4634207537101,-62.96856683573163,28.57451629638672,4.111689
s47_n400,400,0.7546265,576.504,3889,9.763933311423976,10.31199207305908,0.09123596420107632,0.0,2.355318963094104,6301.511995341174,13,25.270360896238845,28.23187722144628,-5.9227808927021615,34.53413772583008,-0.078690
s47_n500,500,0.8752414000000001,246.833,369,-259.59062991457654,4.0500284194946286,0.7571549575800632,0.766,2.0757292557251206,4521.15007204007,13,3.192410352653298,27.076124091618222,-450.1253877121994,32.25528335571289,11.868254
s48_n300,300,0.8800746666666667,118.743,0,-100.83513095866876,4.307565879821779,0.4924375746685019,0.59,2.1750092227890625,1736.8575272716537,3,0.9254808766949028,28.9875707112938,-224.73754096387813,49.97236633300781,12.358839
s48_n400,400,0.8182880000000001,308.602,3186,-37.80549141383425,4.904261589050292,0.30174631306627,0.1925,2.996231904370004,5778.6745725697265,18,20.400549130326173,111.46063018556535,-166.8815768037095,42.049800872802734,7.685288
s48_n500,500,0.7684516000000001,665.777,237,19.942124966154935,10.051926612854004,0.12053200111290116,0.008,2.342720148634265,4432.810459099193,13,5.655046413955779,42.449324835429614,-11.141830906097159,55.74211502075195,1.049531
s49_n300,300,0.7788743333333332,354.312,0,0.8978341895989246,7.766843605041504,0.26324404149944947,0.08,1.803426710628985,3883.569715643392,18,3.58163710734403,10.166572143385276,-0.962458651462667,49.34104537963867,1.740689
s49_n400,400,0.78124575,416.117,0,-1.4123493642632248,5.060625648498534,0.05420282305456711,0.0,1.0431475782045008,1629.3360146239168,4,1.6275100957746118,0.26796383094069415,-1.525996342747904,47.23857879638672,1.368617
s49_n500,500,0.7660172,515.795,3514,-0.314674710528025,6.717595863342285,0.11202166076534709,0.014,1.9605076769555143,8445.165270272624,25,30.23376039398459,13.901322330458635,-8.872107020297731,63.44365310668945,0.197636
s50_n300,300,0.7923903333333333,372.625,5,23.822797311244862,10.3307523727417,0.5309360374176179,0.4533333333333333,2.8085558348715076,2610.70559389273,9,4.41972805421006,50.56047119951997,-6.432758458091483,46.10426712036133,2.037058
