protein_id,sequence_length,swi,tango_total,tango_aggregation_positions,net_charge_ph7,pI,iupred3_mean,iupred3_fraction_disordered,shannon_entropy,hydrophobic_patch_total_area,hydrophobic_patch_n_large,sap_total,scm_positive,scm_negative,radius_of_gyration
s42_n300,300,0.788713,502.076,493,-5.670601553175935,5.8786523818969725,0.36518114010488595,0.3333333333333333,3.81806527356212,2557.69407997076,6,8.544441895242441,35.05669429766596,-35.87941091476849,18.078540802001953
s43_n300,300,0.7834930000000001,485.056,897,-1.938939225353657,6.342288017272949,0.3211886571471219,0.04,3.766621750366601,2398.4994017553013,5,10.987627936152572,31.61192187698434,-26.94785315880707,17.703018188476562
s44_n300,300,0.8001086666666667,508.291,427,0.8246738420588002,7.682949256896973,0.2036703625112722,0.03,3.3456296950005533,1342.3273568433617,1,1.917490408230774,43.3321716426368,-37.09251181334143,18.403879165649414
s45_n300,300,0.799668,292.979,12,-24.732986319906843,4.792970848083496,0.3974608846411529,0.15,3.503348422046928,903.9702644583402,2,3.6352818010082255,33.41079002313302,-64.79037335677093,17.310468673706055
s46_n300,300,0.8039386666666667,345.194,692,-30.62314213318483,4.469670677185058,0.45361047874128246,0.31666666666666665,3.5975403031624458,1804.8382675918233,6,6.157463443579277,24.142188152701372,-66.32357716173986,17.923887252807617
s47_n300,300,0.7987660000000002,371.013,1405,-2.8702939812907786,6.158243370056151,0.4703477832250572,0.4166666666666667,3.3284040647993924,1115.0421363280982,3,3.4087683519975887,47.724279527507505,-30.302442342683975,17.298484802246094
s48_n300,300,0.7901236666666667,288.363,964,8.338893679329871,10.557810020446777,0.29657400501539155,0.06333333333333334,3.37276310658972,915.5659329731862,2,1.33714823600107,67.17353495813552,-37.40862016581616,18.055999755859375
s49_n300,300,0.7699396666666668,896.676,2226,6.106361320614349,9.846917152404785,0.3761100114532021,0.08666666666666667,3.502749421057583,2157.31683641415,7,6.810768703715718,13.502183283991364,-7.737061604784239,17.38922119140625
s50_n300,300,0.7840213333333332,512.856,959,-10.980145604593545,5.034934425354003,0.29491526295051007,0.08,4.016274180840774,2629.2101599457915,8,8.748352588435116,30.41170474620592,-34.163638739297404,17.89687728881836
s51_n300,300,0.7919553333333335,339.496,863,5.942534972761862,10.979755592346194,0.39573193966919584,0.21666666666666667,3.3882943322886203,1313.7146782867364,3,4.901099101400366,50.72643251856094,-29.111764355590154,17.479476928710938
s52_n300,300,0.793925,325.784,798,-12.051467028579815,5.050451469421386,0.34985133809923624,0.09666666666666666,3.536409663660163,2159.840721370491,5,8.071817011876046,35.87838787974912,-43.989520867062126,17.58803939819336
s53_n300,300,0.8074363333333334,336.668,547,-32.77609058870347,4.34075984954834,0.5571247542354865,0.5933333333333334,3.426728072923524,1497.766481355998,4,4.958254690649268,19.960236817123345,-70.81024325526552,17.15308380126953
s54_n300,300,0.7971400000000001,610.761,172,-11.978792386710978,5.191071128845214,0.1359296789163686,0.0,3.5160405209036827,1497.885124148409,2,2.7604855196511826,37.469971319180736,-53.284929129391024,18.206748962402344
s55_n300,300,0.7959253333333334,383.191,1441,-6.902203388452932,5.508346366882324,0.4302231669904932,0.33666666666666667,3.5951234707037063,2426.527997655301,6,8.053617225674333,34.27555389828565,-41.095483657907515,18.15793228149414
s56_n300,300,0.8176860000000001,400.851,756,-21.10273967160402,4.9231889724731435,0.21895689124191534,0.006666666666666667,3.243970099347206,1270.3659592944125,3,1.290014578215084,41.02907250306055,-77.5247813445832,19.060691833496094
s57_n300,300,0.8015006666666668,484.597,103,8.992479947857838,9.133961296081544,0.2040019808946314,0.016666666666666666,3.473621670267664,761.9707072734748,0,1.3554412411179686,57.782210597072385,-29.88061290091085,18.123437881469727
