protein_id,sequence_length,swi,tango_total,tango_aggregation_positions,net_charge_ph7,pI,iupred3_mean,iupred3_fraction_disordered,shannon_entropy,hydrophobic_patch_total_area,hydrophobic_patch_n_large,sap_total,scm_positive,scm_negative,radius_of_gyration,camsol_ph7
s42_n300,300,0.7921213333333332,564.106,251,-7.748653655476531,5.57518901824951,0.4112707485609222,0.37666666666666665,3.896608606933237,2808.9373777526744,9,7.526855093832238,34.99724075872191,-38.620865382674296,17.223039627075195,2.322121
s42_n400,400,0.81829875,1245.35,848,-31.76585495146758,4.710554313659667,0.39336465314566466,0.1075,3.654546007209145,2102.949996489532,5,5.682543418236204,35.73156983636818,-82.52891855426537,19.58820343017578,2.132612
s42_n500,500,0.8125816,1062.43,872,-11.961490376933398,5.28184299468994,0.44333802439507547,0.282,3.638103882074158,1801.6580591393547,3,5.280340904734194,53.7693576406285,-63.03900832939358,20.808151245117188,2.334613
s43_n300,300,0.7933773333333334,600.763,749,-11.010097883127138,5.1060400009155265,0.4609525897095583,0.31,3.8209223125151843,2035.7251573347794,6,7.313641518296821,31.478088939661227,-40.12910728012302,17.20387077331543,2.031674
s43_n400,400,0.8232322500000001,989.416,1790,-8.363708900724362,5.396316719055175,0.2266068714560487,0.0175,3.361854943978792,2869.683723618766,10,5.205380918039243,61.88901845294653,-65.19430719466595,23.638513565063477,2.245593
s43_n500,500,0.7940912,560.366,1270,-16.034537007637425,5.449063301086425,0.4602248823948044,0.316,3.708087417609942,1596.3942400578746,2,10.567510922608271,52.12447736037846,-62.07586058956734,21.143476486206055,2.780242
s44_n300,300,0.8123246666666667,726.706,139,-5.419844191124845,5.381709098815918,0.21408017064740065,0.006666666666666667,3.1720916607011227,1866.3084029482034,3,1.9465766831613374,42.04603958510601,-50.01794597519514,18.716291427612305,1.954847
s44_n400,400,0.772166,1357.47,1781,-12.214689831801923,4.103229713439941,0.4433617056446366,0.26,3.3990293005319243,1833.224455126264,3,8.798809852814095,4.535255811002769,-7.130702794889941,16.992103576660156,-0.707546
s44_n500,500,0.8129098,1705.03,177,4.237760181212977,8.36549816131592,0.3354028500208996,0.04,3.6824404766732926,2057.8988544418758,5,4.6715674653681285,86.87391113067164,-46.89781520180715,23.45112419128418,2.019479
s45_n300,300,0.8138273333333335,534.617,415,-27.913765199784834,4.615690040588378,0.6562770668051187,0.8566666666666667,3.5054944905672762,631.644535777497,1,1.9588762754302564,28.73392125833548,-54.89124602041836,15.624863624572754,3.834683
