protein_id,chain,sequence_length
10ke_A,A,339
10ke_B,B,340
10ke_C,C,339
10ke_D,D,339
10li_A,A,461
10pa_A,A,317
10ps_A,A,556
10qf_A,A,500
10qg_A,A,500
10qh_A,A,499
10qi_A,A,498
10uh_A,A,403
10uh_B,B,403
10uh_C,C,403
13mt_A,A,313
13mu_A,A,313
13my_A,A,313
13nc_A,A,313
13ni_A,A,313
13nu_A,A,313
13nz_A,A,313
13oc_A,A,313
13oe_A,A,313
13po_A,A,313
13qa_A,A,313
13qd_A,A,313
13qe_A,A,313
13qt_A,A,313
13qz_A,A,313
13ra_A,A,313
13rb_A,A,313
13rd_A,A,313
13rh_A,A,313
16pk_A,A,415
1a05_A,A,357
1a05_B,B,357
1a12_A,A,401
1a12_B,B,401
1a12_C,C,401
1a40_A,A,321
1a4m_A,A,349
1a4m_B,B,349
1a4m_C,C,349
1a4m_D,D,349
1a4q_A,A,390
1a4q_B,B,390
1a4y_A,A,460
1a4y_D,D,460
1a54_A,A,321
1a5a_B,B,389
1a5b_B,B,389
1a5m_C,C,566
1a6q_A,A,363
1a71_A,A,374
1a71_B,B,374
1a76_A,A,315
1a77_A,A,315
1a7c_A,A,364
1a8d_A,A,452
1a8e_A,A,329
1a8f_A,A,329
1a8h_A,A,500
1a9x_B,B,378
1a9x_D,D,378
1a9x_F,F,378
1a9x_H,H,378
1a9y_A,A,338
1a9z_A,A,338
1abe_A,A,305
1abf_A,A,305
1ade_A,A,431
1ade_B,B,431
1ado_A,A,363
1ado_B,B,363
1ado_C,C,363
1ado_D,D,363
1ads_A,A,315
1af0_A,A,470
1afw_A,A,390
1afw_B,B,393
1ah4_A,A,314
1ahx_A,A,396
1ahx_B,B,396
1ai2_A,A,414
1ai3_A,A,414
1aii_A,A,322
1aj8_A,A,371
1aj8_B,B,370
1ajr_A,A,411
1ajr_B,B,411
1ajs_A,A,412
1ajs_B,B,411
1ak1_A,A,308
1akd_A,A,405
1akl_A,A,470
1al6_A,A,435
1ald_A,A,363
1alk_A,A,449
1alk_B,B,449
1ami_A,A,753
1amj_A,A,753
1amu_A,A,509
1amu_B,B,508
1amz_A,A,435
1anf_A,A,370
1anx_A,A,316
1anx_B,B,316
1anx_C,C,316
1aof_A,A,532
1aof_B,B,542
1aom_A,A,439
1aom_B,B,559
1aop_A,A,456
1aoq_A,A,551
1aoq_B,B,559
1aoz_A,A,552
1aoz_B,B,552
1apb_A,A,305
1apm_E,E,338
1apt_E,E,323
1apu_E,E,323
1apv_E,E,323
1apw_E,E,323
1aq0_A,A,306
1aq0_B,B,306
1aq2_A,A,534
1aq8_A,A,331
1aq8_B,B,331
1aq8_C,C,331
1aqh_A,A,448
1aqm_A,A,448
1arl_A,A,307
1arm_A,A,307
1arp_A,A,336
1ars_A,A,396
1art_A,A,396
1aru_A,A,336
1arv_A,A,336
1arw_A,A,336
1arx_A,A,336
1ary_A,A,336
1as0_A,A,313
1as6_A,A,335
1as6_B,B,336
1as6_C,C,335
1as7_A,A,337
1as7_B,B,337
1as7_C,C,337
1as8_A,A,336
1as8_B,B,336
1as8_C,C,336
1ava_A,A,403
1ava_B,B,403
1axe_A,A,374
1axe_B,B,374
1axn_A,A,323
1aye_A,A,398
1ayl_A,A,532
1ayx_A,A,492
1az1_A,A,314
1b05_A,A,517
1b0h_A,A,517
1b1h_A,A,517
1b25_A,A,611
1b25_B,B,611
1b25_C,C,611
1b25_D,D,611
1b2h_A,A,517
1b31_A,A,301
1b32_A,A,517
1b37_A,A,459
1b37_B,B,462
1b37_C,C,462
1b3f_A,A,517
1b3g_A,A,517
1b3h_A,A,517
1b3l_A,A,517
1b3l_C,C,517
1b43_A,A,339
1b43_B,B,339
1b46_A,A,517
1b4e_A,A,323
1b4h_A,A,517
1b4k_A,A,326
1b4k_B,B,320
1b4v_A,A,498
1b4z_A,A,517
1b51_A,A,517
1b57_A,A,346
1b57_B,B,346
1b58_A,A,517
1b59_A,A,355
1b5h_A,A,517
1b5i_A,A,517
1b5j_A,A,517
1b5p_A,A,382
1b5p_B,B,382
1b5q_A,A,459
1b5q_B,B,462
1b5q_C,C,462
1b63_A,A,333
1b65_A,A,363
1b65_B,B,363
1b65_C,C,363
1b65_D,D,363
1b65_E,E,363
1b65_F,F,363
1b6a_A,A,355
1b6g_A,A,308
1b6h_A,A,517
1b7h_A,A,517
1b80_A,A,348
1b80_B,B,344
1b82_A,A,349
1b82_B,B,345
1b85_A,A,348
1b85_B,B,345
1b8a_A,A,438
1b8a_B,B,438
1b8j_A,A,448
1b8j_B,B,448
1b8p_A,A,327
1b8s_A,A,498
1b9h_A,A,384
1b9i_A,A,384
1b9j_A,A,517
1ba0_A,A,378
1ba1_A,A,378
1bap_A,A,305
1bav_A,A,307
1bav_B,B,307
1bav_C,C,307
1bav_D,D,307
1bc0_A,A,318
1bc3_A,A,318
1bcy_A,A,318
1bd0_A,A,381
1bd0_B,B,380
1bdm_A,A,318
1bdm_B,B,327
1be0_A,A,310
1beu_B,B,389
1bf2_A,A,750
1bfd_A,A,523
1bg0_A,A,356
1bg2_A,A,323
1bg4_A,A,301
1bg6_A,A,349
1bgn_A,A,391
1bgp_A,A,309
1bgv_A,A,449
1bhe_A,A,376
1bi5_A,A,388
1bif_A,A,432
1bji_A,A,388
1bjw_A,A,381
1bjw_B,B,381
1bk0_A,A,329
1bli_A,A,481
1blx_A,A,305
1blz_A,A,327
1bmd_A,A,327
1bmd_B,B,327
1bn5_A,A,355
1bn8_A,A,399
1boa_A,A,354
1bq6_A,A,387
1bqb_A,A,301
1bqc_A,A,302
1bs0_A,A,383
1bsi_A,A,495
1bsl_A,A,323
1bsl_B,B,324
1btc_A,A,491
1bto_A,A,374
1bto_B,B,374
1bto_C,C,374
1bto_D,D,374
1bu7_A,A,455
1bu7_B,B,455
1bu8_A,A,446
1bup_A,A,378
1bvw_A,A,360
1bw9_A,A,350
1bw9_B,B,347
1bx4_A,A,342
1bxk_A,A,341
1bxk_B,B,344
1bxo_A,A,323
1bxq_A,A,323
1by7_A,A,354
1byb_A,A,491
1c0g_A,A,367
1c0i_A,A,363
1c0k_A,A,363
1c0l_A,A,363
1c0p_A,A,363
1c1d_A,A,349
1c1d_B,B,348
1c1h_A,A,306
1c1x_A,A,348
1c1x_B,B,347
1c2p_A,A,547
1c2p_B,B,550
1c30_B,B,379
1c30_D,D,379
1c30_F,F,379
1c30_H,H,379
1c3c_A,A,424
1c3c_B,B,424
1c3j_A,A,333
1c3p_A,A,372
1c3r_A,A,372
1c3r_B,B,372
1c4o_A,A,504
1c5k_A,A,397
1c7i_A,A,483
1c7j_A,A,485
1c7n_A,A,394
1c7n_B,B,394
1c7n_C,C,394
1c7n_D,D,394
1c7n_E,E,394
1c7n_F,F,394
1c7n_G,G,394
1c7n_H,H,394
1c82_A,A,719
1c8i_A,A,336
1c96_A,A,753
1c97_A,A,753
1c9y_A,A,321
1ca1_A,A,370
1cb2_A,A,363
1cb2_B,B,363
1cb6_A,A,691
1cb7_B,B,483
1cb7_D,D,483
1cb8_A,A,675
1cbo_A,A,498
1cbx_A,A,307
1cc4_A,A,391
1ccw_B,B,483
1ccw_D,D,483
1cdg_A,A,686
1cdk_A,A,342
1cdk_B,B,342
1ceg_A,A,347
1cel_A,A,433
1cel_B,B,433
1cem_A,A,363
1ceo_A,A,332
1ceq_A,A,303
1cf3_A,A,581
1cf9_A,A,727
1cf9_B,B,727
1cf9_C,C,727
1cf9_D,D,727
1cgk_A,A,387
1cgt_A,A,684
1cgz_A,A,387
1chm_A,A,401
1chm_B,B,401
1chw_A,A,389
1chw_B,B,389
1ci8_A,A,377
1ci8_B,B,377
1ci9_A,A,377
1ci9_B,B,377
1cip_A,A,316
1cjc_A,A,455
1cjd_A,A,369
1cjd_B,B,372
1cjd_C,C,367
1ck6_A,A,336
1cl1_A,A,390
1cl1_B,B,391
1cl6_A,A,399
1clc_A,A,541
1cle_A,A,534
1cle_B,B,534
1clk_A,A,387
1clv_A,A,470
1clw_A,A,543
1clx_A,A,345
1clx_B,B,345
1clx_C,C,345
1clx_D,D,345
1cmj_A,A,399
1cml_A,A,389
