protein_id,sequence_length,swi,tango_total,tango_aggregation_positions,net_charge_ph7,pI,iupred3_mean,iupred3_fraction_disordered,shannon_entropy,hydrophobic_patch_total_area,hydrophobic_patch_n_large,sap_total,scm_positive,scm_negative,radius_of_gyration
s42_n300,300,0.7970786666666667,226.872,11,-1.8205102657477141,6.412484169006347,0.4550324960962454,0.30666666666666664,3.5443463022323023,2977.9356761512017,7,10.747294885135629,36.9091732920778,-33.87792100800711,18.07822036743164
s42_n400,400,0.8078812500000001,476.477,165,5.451526370514266,8.848624229431152,0.46473158781719803,0.325,3.3561215767645347,2436.9971629346537,7,6.633428332081122,62.97204559155887,-44.723775126620986,20.911428451538086
s42_n500,500,0.8001624,340.981,122,18.9969585859766,9.474032020568849,0.41510325788976704,0.212,3.2613055350149414,3158.569362180578,11,10.284903192417232,87.02100502985469,-39.11022845071954,22.05919075012207
s43_n300,300,0.796594,226.35,265,-7.882198973536681,5.443038368225097,0.4852757451876346,0.41,3.5016662282592708,2243.6180143443903,6,10.094909860598959,30.005444910928684,-31.792195289295513,17.687862396240234
s43_n400,400,0.8058207500000001,334.776,1249,17.743081410069856,9.43064479827881,0.34356915828869705,0.0625,3.100738893822045,2655.7277048646165,8,7.588628445016922,75.54335803156776,-42.5618342694184,23.20174217224121
s43_n500,500,0.795219,374.795,334,5.522557643031007,10.227087211608886,0.42627073804267956,0.296,3.416936962547705,1708.443557372979,3,9.679781496084154,68.88986520909103,-57.813507112180964,21.871328353881836
s44_n300,300,0.7901293333333335,338.639,69,16.77724921075112,9.78921794891357,0.37406857286793077,0.21666666666666667,2.5784268068609846,2035.3691915032184,4,2.7590307337223914,38.855925476549714,-18.04469129914818,18.385473251342773
s44_n400,400,0.7653325,985.053,2941,-14.205221782947541,4.093453407287597,0.2742760267949092,0.0425,3.3675122992136184,4364.496102147597,11,20.456438608278567,7.036834553557696,-10.499503426462875,19.457170486450195
s44_n500,500,0.8075478,547.282,74,32.167815679731675,9.708116722106933,0.40960275142321856,0.186,3.45546143810421,1884.4558590447705,2,6.294071766130553,106.65882601218999,-31.666220094221465,23.695581436157227
s45_n300,300,0.79734,207.749,23,-5.149251920123483,6.197064399719238,0.4548447114038235,0.3333333333333333,3.3088928742227357,883.292716919246,3,4.809588307860622,38.90291463447114,-47.35082006000897,17.31591796875
