protein_id,coScRMSD_ca
s42_n300,5.5332
s42_n400,2.0708
s42_n500,14.0512
s43_n300,3.7541
s43_n400,4.3837
s43_n500,13.8200
s44_n300,9.3345
s44_n400,4.4257
s44_n500,2.6464
s45_n300,4.3404
s45_n400,4.6884
s45_n500,17.2506
s46_n300,3.6031
s46_n400,7.0278
s46_n500,18.4956
s47_n300,3.5669
s47_n400,2.6967
s47_n500,6.9847
s48_n300,8.6818
s48_n400,12.7732
s48_n500,15.3308
s49_n300,4.0071
s49_n400,3.4517
s49_n500,1.7779
s50_n300,4.0725
s50_n400,10.4502
s50_n500,26.3580
s51_n300,3.4943
s51_n400,14.8171
s51_n500,9.5809
s52_n300,3.5304
s52_n400,2.5066
s52_n500,32.5255
s53_n300,4.5062
s53_n400,3.9484
s53_n500,7.4060
s54_n300,3.4187
s54_n400,5.1967
s54_n500,24.4142
s55_n300,3.8780
s55_n400,2.7089
s55_n500,1.7991
s56_n300,2.7255
s56_n400,10.0334
s56_n500,13.3889
s57_n300,3.3123
s57_n400,6.2281
s57_n500,15.5437
