protein_id,coScRMSD_ca
s42_n300,5.3650
s42_n400,2.1055
s42_n500,2.6928
s43_n300,3.8229
s43_n400,2.2900
s43_n500,2.4911
s44_n300,0.9546
s44_n400,3.0189
s44_n500,1.8269
s45_n300,0.8602
s45_n400,1.3935
s45_n500,20.5963
s46_n300,0.8473
s46_n400,3.7864
s46_n500,15.4014
s47_n300,1.0493
s47_n400,1.3165
s47_n500,5.1863
s48_n300,1.7152
s48_n400,3.3478
s48_n500,9.0131
s49_n300,1.5345
s49_n400,2.8271
s49_n500,0.9879
s50_n300,1.6968
s50_n400,8.9959
s50_n500,26.5659
s51_n300,0.6461
s51_n400,2.0728
s51_n500,3.1484
s52_n300,0.7810
s52_n400,1.0651
s52_n500,11.4544
s53_n300,0.8332
s53_n400,10.7914
s53_n500,6.8243
s54_n300,0.4779
s54_n400,2.8167
s54_n500,25.0716
s55_n300,1.7873
s55_n400,0.9874
s55_n500,7.3274
s56_n300,1.0870
s56_n400,6.6189
s56_n500,15.2156
s57_n300,1.1729
s57_n400,12.9471
s57_n500,15.1035
