protein_id,coScRMSD_ca
s42_n300,5.3047
s42_n400,2.0794
s42_n500,2.5827
s43_n300,1.0198
s43_n400,2.5052
s43_n500,2.2199
s44_n300,0.8225
s44_n400,3.0175
s44_n500,1.5952
s45_n300,1.0839
s45_n400,0.7246
s45_n500,20.0203
s46_n300,0.7560
s46_n400,3.7824
s46_n500,15.4008
s47_n300,0.9446
s47_n400,1.3152
s47_n500,5.3231
s48_n300,1.6159
s48_n400,3.3321
s48_n500,8.4982
s49_n300,1.5341
s49_n400,2.8174
s49_n500,0.8160
s50_n300,1.4788
s50_n400,10.6883
s50_n500,26.3123
s51_n300,0.6364
s51_n400,2.1095
s51_n500,2.9088
s52_n300,0.9215
s52_n400,1.1289
s52_n500,11.8538
s53_n300,1.2479
s53_n400,1.0610
s53_n500,7.0916
s54_n300,0.4564
s54_n400,1.2115
s54_n500,24.5141
s55_n300,1.7832
s55_n400,1.1223
s55_n500,2.2032
s56_n300,14.6416
s56_n400,6.1087
s56_n500,15.5391
s57_n300,1.2331
s57_n400,11.8804
s57_n500,14.7655
