protein_id,sequence_length,swi,tango_total,tango_aggregation_positions,net_charge_ph7,pI,iupred3_mean,iupred3_fraction_disordered,shannon_entropy,hydrophobic_patch_total_area,hydrophobic_patch_n_large,sap_total,scm_positive,scm_negative,radius_of_gyration
s42_n300,300,0.8026516666666667,683.221,3113,-9.03252498730285,5.4024553298950195,0.1987455616592102,0.05,3.3177984936874627,6377.646854513111,20,29.02193232973539,57.53524115724205,-69.58367909151016,32.45450973510742
s42_n400,400,0.8373467500000001,567.75,1862,-49.91023700404561,4.7071439743041985,0.2894441610064443,0.0475,3.1027912169765672,3584.4805796100445,9,6.762107726821114,58.442964064204986,-127.78810956822645,29.90793800354004
s42_n500,500,0.7925434,1441.76,8764,-4.016394546540212,5.978177452087402,0.0985580521477705,0.0,3.1915538735072477,9569.626906207533,31,48.324204681126275,96.84319335101671,-83.75632989919765,32.82631301879883
s43_n300,300,0.763894,354.627,873,-1.2196580762473292,6.272944450378417,0.10841632658317951,0.0,2.3041620820016107,2496.5544970961955,8,5.107070056790041,6.732178386002701,-12.841149003108171,30.55059814453125
s43_n400,400,0.838176,471.563,1109,-37.86088069359528,4.897781944274903,0.2813771087211453,0.0025,3.04978524276358,5372.16638284796,15,13.693091089177488,71.21848604484029,-131.8682088710103,39.10352325439453
s43_n500,500,0.8429954000000001,668.497,1210,-141.81303013190214,4.140231895446777,0.43581580346816945,0.358,2.8798350613565535,5008.770430643285,15,6.659657360314148,18.35321303283635,-304.00678086032667,33.8414421081543
s44_n300,300,0.8889156666666668,179.056,0,-163.98509453767292,4.0500284194946286,0.8726010595398359,1.0,2.0959290524586165,2411.875272137839,3,0.7153467290749566,3.795184268850366,-333.24264610863304,39.00687026977539
s44_n400,400,0.75928425,557.664,26,-0.23349384538958606,6.8153589248657225,0.061587546050257506,0.0,1.8345965316661454,4600.991767002332,14,6.932339083988552,8.80058911650079,-7.82824119543164,48.263031005859375
s44_n500,500,0.7606682,390.163,6308,13.263533694988872,10.095184898376463,0.1326361414020345,0.02,2.9808218332639647,9681.492031105063,26,47.91213127045987,106.44140119521784,-60.43306660262142,35.906837463378906
s45_n300,300,0.8814103333333334,276.908,2497,-141.9335450155068,4.0500284194946286,0.6415001417304186,0.59,2.099009444022108,4575.220851756548,11,18.51226459873092,33.722403543885065,-294.6939802955792,43.305843353271484
s45_n400,400,0.8339150000000001,541.173,1022,-53.77522213023383,4.6806001663208,0.5306871131927322,0.6025,3.1185851741770843,5072.259260872238,12,10.360523353162344,80.48143842663967,-152.59039721406026,43.396751403808594
s45_n500,500,0.7639241999999999,493.399,1113,-2.4059359801415976,4.830996131896971,0.030002889242957593,0.0,1.3118894240435321,6304.287536198604,11,26.756492979386028,3.704251653637426,-3.8244290246125345,55.66915512084961
s46_n300,300,0.8128580000000002,242.259,74,-9.297043260769414,5.321005058288574,0.34221207396185016,0.14,3.487677931185472,4197.055902491333,16,9.108085098240743,81.81502930843965,-87.57256194554692,32.28065872192383
s46_n400,400,0.8091984999999999,1586.7,5,-13.435850167292145,4.393051719665528,0.7944715507212605,1.0,3.049081193326649,2667.2106464789613,6,5.3834572284005064,13.242208292255848,-34.233688700896096,39.63813018798828
s46_n500,500,0.7915283999999999,1312.78,0,-0.4996453124586552,5.275022315979004,0.7228928348295042,1.0,2.4052913379108714,1499.5320696506703,3,3.3734608171380334,0.0,0.0,40.34677505493164
s47_n300,300,0.8384236666666668,457.856,2191,-18.1422095883875,5.100015068054199,0.2266574413711373,0.0,2.9722973370447434,3200.052387688061,10,4.439997667008548,73.53830697963676,-83.63185776426033,28.57915496826172
s47_n400,400,0.7597815,536.146,3413,-0.13099072788316946,6.911416816711426,0.12502136662164773,0.0,2.3518977801826337,5895.680954073843,13,25.11190737963633,24.18848305535072,-11.73325304613198,34.536556243896484
s47_n500,500,0.8835164000000001,309.142,3,-274.6576362733739,4.0500284194946286,0.7914608457294681,0.788,2.080966391807137,4301.318487292268,10,2.7389060845402327,24.324261334821703,-465.6293293399974,32.24823760986328
s48_n300,300,0.88774,130.965,0,-121.6342576645608,4.170413398742675,0.5951130000918112,0.66,2.184043418457235,1923.047472772305,4,2.4595934718475414,19.849613311527712,-260.0558277490099,49.97426223754883
s48_n400,400,0.8328972500000001,477.487,2417,-84.84011539056267,4.398110389709472,0.40665352229527246,0.3525,3.0508384344181088,6020.867683613357,20,20.557959086890015,80.98875298645035,-209.8681062592628,42.046077728271484
s48_n500,500,0.7720374,612.027,286,16.94917495200584,9.886500740051268,0.14065410549921958,0.034,2.3298042021961547,3905.1739542121,10,3.5631187172439542,36.97458337628093,-15.42205092608916,55.742366790771484
s49_n300,300,0.7752106666666666,374.044,0,0.8978341895989246,7.766843605041504,0.21176786064336214,0.043333333333333335,1.7719376341254427,4409.556077510664,20,4.388197991429694,10.072886572379721,-0.9480390752356163,49.343467712402344
s49_n400,400,0.78162025,403.998,0,-1.3261741770076387,5.927079200744628,0.052762614178541084,0.0,1.0069999399640366,1602.3418328106882,5,1.528913104747354,0.5385995041951771,-1.094909795596946,47.2403678894043
s49_n500,500,0.7728354,537.857,3387,-5.300612400761972,4.904147911071777,0.16595292583842344,0.03,2.0449525490207847,7662.76280973733,22,28.3988816611378,10.144838733314822,-15.40267094514469,63.44584655761719
s50_n300,300,0.7922316666666667,380.523,8,13.664631006440585,9.804819297790527,0.49220308998504547,0.44,2.859005265280667,2813.215262824905,10,5.550613913528433,39.70511591325328,-10.501297585036514,46.10744094848633
s50_n400,400,0.7720064999999999,431.434,385,-2.1407257123464696,5.991307258605956,0.0672582512588977,0.0,1.3485839786953564,2949.4820148929184,9,4.551550444350745,1.4614447423857795,-5.449448705826176,51.40825271606445
s50_n500,500,0.777138,561.185,1,15.659674486248495,10.521578788757324,0.1572954312087279,0.038,1.9343830633876535,3247.1479937728436,4,1.3460740532728679,32.6284016785485,-6.390738310828136,56.147335052490234
s51_n300,300,0.7942576666666665,637.535,3,-0.5026423154556581,5.274340248107909,0.33712108795431617,0.41,1.6096838433538503,1268.4396477570315,5,6.796181696219989,0.0,0.0,91.96147155761719
s51_n400,400,0.7870327500000001,431.46,0,-1.4977220914436034,4.369065666198731,0.3253350002738303,0.3,1.658108637027701,2689.8267370740036,10,8.805339629293504,2.6830642868022476,-2.632988385719109,82.01384735107422
s51_n500,500,0.7808112,741.209,4,0.6780994453751412,8.17982921600342,0.30583972527114306,0.26,1.8837321887417895,4185.726688582497,15,15.269268768755204,7.042817989050697,-4.916446338409586,86.52640533447266
s52_n300,300,0.8398540000000001,275.759,433,-67.97022129935516,4.226172447204591,0.3801573793887742,0.29,3.169191524802971,3963.987679742809,14,10.209376296903162,34.406301340012,-170.83158376290322,25.55988121032715
s52_n400,400,0.8529847500000001,296.891,469,-148.5619487856407,4.0500284194946286,0.6795435206405317,0.8475,2.7317932719346656,4082.688738360743,13,4.600568402434888,10.006593495712773,-286.1944558537604,35.79600524902344
s52_n500,500,0.8356370000000001,742.477,1135,-129.80223880059168,4.237256050109862,0.35852148594524397,0.264,3.002209662049264,5941.82552296232,13,11.178714185899906,40.37430770961449,-262.7370773103376,28.59615707397461
s53_n300,300,0.7793579999999999,417.438,0,6.525170406046273,10.508749580383299,0.34946262110188286,0.30666666666666664,2.2759534588343286,3614.361357832587,10,7.0843842446105105,31.902902499217717,-21.408353389921228,66.12599182128906
s53_n400,400,0.874051,484.999,4536,-164.87726918361778,4.0500284194946286,0.6391461234669668,0.755,2.4541789479626774,7389.693408564566,17,32.022119747205316,28.175669255212377,-309.50770084441467,66.0780029296875
s53_n500,500,0.7717726,601.754,0,-1.407747441115807,5.4263277053833,0.08080950926609484,0.008,1.3840517271758626,4746.270948663123,14,3.3549038643267,2.0895490276192707,-2.248284668548328,61.283119201660156
s54_n300,300,0.7681053333333332,445.677,16,1.5869292531245498,9.098697090148928,0.08354656506929994,0.0,1.851937395943395,2751.028831281986,7,3.472257825344776,7.15457513246522,-2.371338165447093,44.879024505615234
s54_n400,400,0.8611097500000001,268.909,0,-71.68759796761012,4.712430000305175,0.2618376745005303,0.0425,2.2922828357193987,2436.233444673443,5,2.175705353970932,78.43044854188739,-209.13471360685102,41.4000244140625
s54_n500,500,0.7825326,890.481,239,3.0756337215288507,8.60615863800049,0.30915384555300907,0.166,2.610557578261103,2953.430098344043,6,7.046776809450008,24.597057381396212,-12.424254326125544,52.367679595947266
s55_n300,300,0.9171776666666669,109.236,0,-182.4826013063335,4.0500284194946286,0.8788714945256973,0.96,1.8713768843062015,1203.4799421240916,2,0.5883409352322905,17.934563311327803,-403.79455811492284,62.44434356689453
s55_n400,400,0.8222404999999999,97.7868,0,-136.385235167694,4.0500284194946286,0.8559679531808589,0.9975,2.9449974612541396,3543.6583945143275,10,12.49221293065205,3.929631594944763,-145.70582842101027,74.72478485107422
s55_n500,500,0.8231529999999999,257.635,0,-109.48446634397015,4.0500284194946286,0.8043386391126919,0.976,3.040119207273055,4403.600465504145,20,19.96713660803229,0.0,-145.65296138091867,85.42052459716797
s56_n300,300,0.9008993333333334,182.0,0,-164.65375364831115,4.0500284194946286,0.8293908830136151,0.8166666666666667,1.9194281686056724,1767.4064736120686,3,0.12627936330017395,28.38554519521747,-339.7940499413503,47.15058135986328
s56_n400,400,0.7602780000000001,537.829,8,-1.1496149611966366,6.378096580505371,0.09557363086650941,0.0,1.763732034279315,4520.534187197164,10,5.112428284362209,5.066081645175187,-4.935471663114994,53.47053909301758
s56_n500,500,0.8396472000000001,734.787,5265,-108.99624197448944,4.2338457107543945,0.3936901953152711,0.334,2.7914088051303083,9091.711845465808,24,37.351944548741386,54.255280294148484,-277.90884539701005,73.61560821533203
s57_n300,300,0.8067003333333335,268.037,19,-2.385905040391151,6.622845268249511,0.5969632737064687,0.94,3.6774842829803838,2221.487868152351,8,3.7139738831364424,40.33860460847467,-43.55464779566229,24.51333236694336
s57_n400,400,0.82101225,108.794,0,-58.34746698969308,4.0500284194946286,0.5656049917625187,0.915,2.6265864015460014,5934.175427988416,23,20.778969850611414,0.023687705079921486,-87.84636309899278,35.223731994628906
s57_n500,500,0.856915,380.556,0,-191.95981265896665,4.0500284194946286,0.9370295152521073,1.0,2.9314534396837404,5414.912432092717,23,15.297436620623502,0.0,-365.65627949591544,56.67115020751953
