protein_id,sequence_length,swi,tango_total,tango_aggregation_positions,net_charge_ph7,pI,iupred3_mean,iupred3_fraction_disordered,shannon_entropy,hydrophobic_patch_total_area,hydrophobic_patch_n_large,sap_total,scm_positive,scm_negative,radius_of_gyration
s42_n300,300,0.7945596666666668,607.832,604,-32.64775776193625,4.353889656066895,0.3533814650521658,0.2733333333333333,3.8921149437654865,2696.34056318173,5,8.545533629655472,14.618512052936175,-57.77634546654141,18.076744079589844
s42_n400,400,0.8172265,1287.92,1360,-71.21279859633268,4.0500284194946286,0.3584325281601467,0.1375,3.525256603937745,2623.7721842856527,7,6.956724815654959,15.841048103234641,-124.05639168751367,20.922597885131836
s42_n500,500,0.8129752,1075.8,679,-74.90474727475767,4.138185691833496,0.40047982199045673,0.208,3.654110815440926,2396.9903548162383,6,6.7519581690313,26.518896190190745,-132.120183270596,22.082944869995117
s43_n300,300,0.797627,631.083,767,-44.87935780222389,4.0500284194946286,0.4140386039838135,0.21666666666666667,3.8527800329847106,2538.040195909861,9,10.306298472417064,7.621466174070387,-63.12057057307277,17.694679260253906
s43_n400,400,0.82101725,1258.76,3387,-63.191128043400056,4.272553062438965,0.21676707086714359,0.0175,3.462945670699952,2686.9998036219763,9,6.453129822062531,28.24875151724256,-126.39222268059544,23.20846939086914
s43_n500,500,0.8013847999999999,536.66,541,-60.890754160442015,4.381229209899902,0.49490045152280465,0.418,3.6995846320370007,2130.669067065725,3,11.627321754331552,27.35808659400972,-96.29777389392365,21.855710983276367
s44_n300,300,0.8019783333333333,860.703,1366,-55.33242364591913,4.0500284194946286,0.15631156831107898,0.0,3.289006787200946,1999.2558335866577,2,2.8451857875103523,6.196449673573337,-89.05827979776484,18.405094146728516
s44_n400,400,0.7794985,1285.8,2127,-31.11880665352147,4.0500284194946286,0.4716115469970992,0.305,3.4105206096232052,2152.094608059895,5,7.956446283878311,0.0,-17.503154271424734,19.452655792236328
s44_n500,500,0.8138642,1586.65,194,-23.21191120563192,4.9019880294799805,0.3523188172730152,0.092,3.6538374563458262,1849.157019485159,1,4.534909659414216,61.823151631636435,-64.95978424709389,23.68733024597168
s45_n300,300,0.8180616666666668,605.059,58,-84.57706682797912,4.0500284194946286,0.4647548440385435,0.39666666666666667,3.580807550327765,1298.515191526014,4,3.5157700500419478,2.475112832250484,-123.03611196704821,17.297367095947266
