protein_id,sequence_length,swi,tango_total,tango_aggregation_positions,net_charge_ph7,pI,iupred3_mean,iupred3_fraction_disordered,shannon_entropy,hydrophobic_patch_total_area,hydrophobic_patch_n_large,sap_total,scm_positive,scm_negative,radius_of_gyration
s42_n300,300,0.7997473333333333,544.151,51,-15.814156607920644,4.958827018737792,0.5301065722572107,0.5333333333333333,3.8197610795489254,2559.9053584209864,8,8.428664968098797,28.66077000930741,-48.0966682531698,16.487503051757812
s42_n400,400,0.81902675,1123.93,580,-31.755571562298847,4.719364356994628,0.3915037603266445,0.1625,3.5869619736102294,2012.310860887509,5,5.584791228157031,35.39853616706989,-83.67740881083628,19.31769371032715
s42_n500,500,0.8101305999999999,1047.94,496,-12.137714995499742,5.193515205383299,0.4244246115820504,0.248,3.6753440474366883,1959.6381792611833,4,6.678455063761954,53.620079026678255,-63.95151841813404,20.54368782043457
s43_n300,300,0.7923566666666666,490.474,344,-7.938157307753343,5.412686347961425,0.47298509751769663,0.41,3.7690051744034814,2354.759776162967,6,8.760112190416473,37.25834023822681,-35.063635322666315,16.590736389160156
s43_n400,400,0.82740075,915.968,1083,-15.346592609103396,5.12491054534912,0.2516622003451927,0.005,3.352984786012259,4246.090515282917,19,9.841322854410777,67.5480135084241,-85.02128570511184,24.428524017333984
s43_n500,500,0.7944552,548.195,1272,-13.864119854041306,5.648852348327637,0.5091671125506647,0.476,3.7095643584125106,1628.2580678967245,3,9.99327969137127,54.49192633400143,-59.72909711957421,20.965120315551758
s44_n300,300,0.8194976666666668,669.985,116,-7.336918843770093,5.238076972961425,0.41118930696089173,0.25333333333333335,3.1966105171673087,1777.852558852426,6,2.030132780834857,43.71714285600292,-46.14505914801729,18.966615676879883
s44_n400,400,0.7717742499999999,1407.99,1649,-11.217500293775132,4.134832191467285,0.44443829420736336,0.265,3.386886581613691,1919.5240124719776,4,9.541355043735939,6.577226160716112,-9.007535505334992,16.329587936401367
s44_n500,500,0.8111538,1738.51,85,0.8940319896198048,7.468723106384279,0.3474594935250011,0.112,3.690041522916875,2621.8582049911197,6,6.639036267573656,79.40933252885445,-58.17045811992947,23.66681671142578
s45_n300,300,0.8170106666666667,275.703,71,-18.834615216897213,4.913640022277831,0.771476064358813,0.98,3.3938804123814266,1308.247827850259,3,3.039115836312456,39.5878781758144,-46.700508604779245,14.99586296081543
s45_n400,400,0.8248169999999999,717.452,0,-63.66267524102662,4.216680335998535,0.9312871895282591,1.0,3.52529377783801,940.8827762295734,1,1.7290820982457675,18.399914853893915,-117.73602196506627,16.553691864013672
s45_n500,500,0.7966506,835.304,717,27.199023405910403,9.585497856140137,0.31768805092224117,0.108,3.7816998575593948,5314.941073305411,10,13.898317665997526,113.14739177282283,-43.150352667168,26.85747718811035
s46_n300,300,0.8096626666666666,460.488,595,-19.635984802423003,4.820537757873535,0.6639502082579793,0.9066666666666666,3.5317029015754753,2006.8898793439278,7,4.833548452242911,37.407014407713305,-44.80347069505867,16.679248809814453
s46_n400,400,0.7717637500000001,1751.75,894,-11.479529161870708,4.493145179748535,0.2899353394032656,0.0,3.55915283648108,4178.296435280176,17,16.190517864767262,15.917622590644498,-24.430942971975192,17.59202003479004
s46_n500,500,0.805298,579.838,43,-3.045779982372224,6.468641090393065,0.5756364544671866,0.73,3.5791634458974597,2929.9437616682662,8,4.085931944229773,52.356836379434846,-61.09829890117423,25.279909133911133
s47_n300,300,0.8034286666666667,431.188,1046,-15.76469386178735,5.028568458557129,0.45912929465279706,0.3333333333333333,3.396541977299048,2375.0711020245503,7,8.007051365263175,37.52734552511078,-53.109490447234975,18.503700256347656
s47_n400,400,0.795283,397.063,49,26.66630558908615,10.95035800933838,0.5215913478077614,0.4575,3.42053289231824,1142.6234394361313,4,2.5132578197802817,141.97778229151933,-78.1306278730366,19.33025550842285
s47_n500,500,0.7930981999999999,988.311,43,9.47068445729416,10.26099758148193,0.437111164337466,0.268,1.9603532840045998,3314.875774886171,8,3.581478306256935,22.934191908856736,-0.0509994142634618,24.368480682373047
s48_n300,300,0.8051106666666668,515.649,353,-10.055021563327685,5.281274604797362,0.3994814298464308,0.24333333333333335,3.8794223325132657,1386.0656659463195,4,3.3978729870431725,43.66364118919604,-51.72930434955587,17.2131290435791
s48_n400,400,0.8228547500000001,1011.01,688,-46.30860881020054,4.412433815002442,0.45421045298714513,0.3225,3.680308058164713,1900.7497966037267,6,4.2935646506481575,27.167795502409927,-97.24079519460643,18.998268127441406
s48_n500,500,0.7961474000000001,1437.5,4294,57.806392856974384,10.000222969055176,0.25162428566340456,0.026,3.6035649208920466,3725.743603048047,5,13.471176554026993,142.12361721319195,-8.97533054193497,22.368017196655273
s49_n300,300,0.7706383333333334,915.248,2210,6.106361320614349,9.846917152404785,0.3929836270946046,0.12333333333333334,3.4849578162243646,3110.2048437382978,10,9.785410850807118,13.13036920191239,-12.388516216604842,16.84233283996582
s49_n400,400,0.7846055,599.134,948,-5.274750709173304,5.4282033920288075,0.3198342656837079,0.13,3.971157065537873,4581.410314745739,16,12.702270380280687,47.597935819763876,-40.195691726232866,20.280183792114258
s49_n500,500,0.8065075999999999,1049.64,3961,-0.2711834627305052,6.84792766571045,0.0861355768321202,0.0,3.1862321214633664,2688.264371186507,3,5.357960342308868,92.42916450277198,-86.15230517638764,23.926259994506836
s50_n300,300,0.7790563333333334,525.996,689,0.3537494975796207,7.14098949432373,0.36864738844831324,0.15666666666666668,3.9769060151769993,2610.6772894359337,7,10.427872859435587,41.47276505671476,-28.776205809100627,17.284473419189453
s50_n400,400,0.8169135,576.78,275,-59.82928219064873,4.428746604919434,0.740448990810117,0.9225,3.765299125500473,1173.665486197107,3,3.317814342535553,19.146154605367922,-114.22136690098404,17.22405242919922
s50_n500,500,0.7840075999999999,1001.83,7323,-0.20412541214591307,5.57001667022705,0.14309855744268152,0.0,2.2077470455968164,8273.52521583389,19,71.71636940175173,0.0,0.0,18.000165939331055
s51_n300,300,0.8002636666666667,432.923,812,-3.1256838008618146,5.890020179748535,0.3959540810022606,0.27666666666666667,3.430832969923919,2847.9938242239114,8,6.712778434378763,53.88403289011714,-43.29404336007864,18.38385009765625
s51_n400,400,0.7988900000000001,774.597,2889,11.555779033728967,9.072007179260254,0.12998167532604663,0.045,3.404781543197453,5225.957876203575,18,12.294377442932518,83.58353457479294,-56.972910179105014,22.583723068237305
s51_n500,500,0.783337,1821.25,244,-8.382736137551948,4.886300468444825,0.520033993256541,0.52,3.636938364280026,4818.996509147941,20,13.878424458158056,20.82852706563081,-44.960737806689096,23.956056594848633
s52_n300,300,0.7909326666666667,492.362,1409,7.928347339837956,10.860037803649902,0.3251876870089211,0.1,3.5384364743967747,2728.9987799204114,7,6.589137354746993,58.56260647779522,-38.482879603330865,18.70981788635254
s52_n400,400,0.81566975,851.127,632,-37.914303118068744,4.561408805847169,0.4302106938422439,0.1725,3.875201227556176,1871.1987949218128,2,4.71386122855582,40.124397737193185,-90.33531063899323,18.70842170715332
s52_n500,500,0.7909660000000001,870.663,0,-30.748699634285053,4.691570091247558,0.18437893886870327,0.15,3.404731568399131,2603.6309213114405,5,3.2303728788160107,64.6805911542921,-105.20785781569955,24.43010902404785
s53_n300,300,0.8172826666666666,409.246,439,-35.69246234373939,4.281476783752441,0.7918365634394386,1.0,3.3542339961698393,1611.925963596048,4,2.6905217835160036,25.168254283168267,-74.34275955267367,15.413985252380371
s53_n400,400,0.81523875,830.183,1922,28.567309338914654,9.473967552185059,0.17278234807438783,0.0,3.2833129082004646,2761.4808041178953,8,4.477788271008278,117.82122847165736,-48.9815836528733,21.59419059753418
s53_n500,500,0.7973085999999999,1250.9,928,-2.4687287159562494,5.335953712463378,0.4935013410217958,0.352,3.0844009509076047,3048.7558765036483,12,8.891580507990145,24.427135190959742,-24.26208598945616,24.34017562866211
s54_n300,300,0.8137563333333334,845.513,11,-17.702813617757144,5.096491050720213,0.29217848017490544,0.023333333333333334,3.641406305262829,1222.7335214827997,1,1.9638336239034444,42.90870917973005,-59.655113995093956,17.956937789916992
s54_n400,400,0.8074435,830.826,197,-36.49737781202962,4.6691186904907225,0.665994386302803,0.855,3.750125098008838,917.1658566527668,3,3.404792049671234,35.220977645615946,-102.51097324194524,19.500093460083008
s54_n500,500,0.7971951999999999,1591.09,17,-3.5172620506181422,4.0500284194946286,0.5925968895173883,0.806,2.501566428053257,2885.679069315638,10,6.985876695435716,0.0,-2.7106293516567836,22.85065460205078
s55_n300,300,0.7968126666666667,290.897,319,-16.81100675971934,4.862996482849121,0.5138671961559014,0.57,3.7214679965865662,2727.5050831367803,9,7.938594154111167,28.929108170705618,-42.535810612630854,16.84766960144043
s55_n400,400,0.79479,929.662,1825,-9.977856948328984,5.361076545715332,0.2454612806154219,0.015,3.9729363812229552,4083.171757355148,15,14.658549539368881,42.53338788657716,-52.6898147898856,20.84854507446289
s55_n500,500,0.8127806000000001,1297.11,1923,-40.967804889041375,4.627398872375489,0.3353637981436602,0.232,3.7711215983592075,4017.9049547380328,6,11.437342774437866,48.52514961843988,-113.9445867594396,22.32169532775879
s56_n300,300,0.827435,566.694,1414,-19.26692834665871,4.975367164611816,0.23632002435089855,0.013333333333333334,3.2822613873354025,1450.5466296836764,6,2.2022462794894677,43.4523793748371,-69.36909112150148,19.07928466796875
s56_n400,400,0.7681405000000001,543.311,778,-8.38270225874734,4.960475349426268,0.2249415010404489,0.005,3.327041363411507,4146.681735549486,11,15.051413637469047,30.099353791559842,-16.239872888164218,23.98405647277832
s56_n500,500,0.7995642000000001,934.864,169,-45.09719414864733,4.53588809967041,0.4017608311262756,0.182,3.4876896849340757,3153.3872036619646,5,5.324521081076346,57.38607158773871,-125.06623973324906,25.45311737060547
s57_n300,300,0.8099996666666668,617.618,322,-4.3530087330873215,5.663971519470215,0.18686729181445785,0.0,3.513124904452077,1119.0579104959018,0,1.9040314240017717,51.12242185265019,-43.56274809800627,17.639080047607422
s57_n400,400,0.7852885000000001,744.713,1,12.627667885367707,9.970567512512208,0.4993942846138678,0.3775,3.826802940090287,1721.7808702935004,7,6.431649887953807,67.09846294408804,-14.967475049327547,16.98398780822754
s57_n500,500,0.7946022,1366.37,44,46.3823128479007,9.881343269348143,0.24859745819456694,0.05,2.9268810730872574,4912.9969519343485,16,10.466789103802677,108.66741183343258,-17.877233293997445,22.950422286987305
