protein_id,scRMSD_ca_min,scRMSD_ca_all
s42_n300,0.9175,5.1154;0.9389;1.0123;4.4008;5.1509;0.9175;4.6354;5.1582
s42_n400,0.8825,0.9753;1.0502;0.9795;1.0715;1.1364;0.8825;1.1812;2.0001
s42_n500,2.0658,6.1077;4.0584;2.0658;4.2557;5.7041;3.9603;5.6941;4.0795
s43_n300,0.9132,1.0763;0.9206;0.9999;0.9241;0.9524;1.2002;0.9132;1.2266
s43_n400,0.9525,1.2490;1.2686;1.0480;1.2767;1.2938;0.9525;1.1491;1.1162
s43_n500,1.2585,1.4593;1.4274;1.2625;1.4352;1.2585;1.3204;1.2798;1.3336
s44_n300,0.6771,0.7360;0.7190;0.7792;0.6921;0.6789;0.6771;0.8576;0.7219
s44_n400,2.1362,2.1931;2.6563;2.5586;2.9534;2.1362;2.3280;2.4773;2.5289
s44_n500,1.3882,1.6453;1.8736;1.5464;1.5820;1.8227;1.5596;1.3882;1.6989
s45_n300,0.5185,0.6836;1.3560;0.5185;0.7311;0.5837;0.5854;0.5707;0.5438
s45_n400,0.7782,0.8886;0.8445;0.8228;1.4792;0.9859;1.0866;0.9435;0.7782
s45_n500,11.6856,20.6874;17.0571;19.5992;17.2034;14.5808;11.6856;15.0949;20.1179
