pid,co,kd
s42_n300,5.3272,-0.6790
s42_n400,5.0678,-1.4043
s43_n300,1.3096,-0.6147
s43_n400,6.2063,-1.2352
s44_n300,21.9880,-1.6023
s44_n400,2.9276,-0.5790
s45_n300,14.5113,-1.0690
s45_n400,14.9993,-1.2145
s46_n300,1.9121,-0.6300
s46_n400,3.9916,-0.4610
s47_n300,1.9433,-0.7927
s47_n400,3.1191,-1.3668
s48_n300,19.7072,-1.4887
s48_n400,14.9279,-1.1790
s49_n300,1.5759,-0.3417
s49_n400,2.5009,-0.3432
s50_n300,3.2948,-0.5157
s50_n400,8.6142,-1.2107
s51_n300,1.4097,-0.9113
s51_n400,20.1108,-1.2830
s52_n300,1.5269,-0.7617
s52_n400,1.2302,-1.0597
s53_n300,2.9105,-0.5733
s53_n400,19.8205,-1.7310
s54_n300,24.6695,-1.6743
s54_n400,6.9897,-0.9703
s55_n300,1.2734,-0.4180
s55_n400,2.0208,-0.8725
s56_n300,31.1536,-1.9620
s56_n400,13.1338,-1.1470
s57_n300,25.8607,-1.7687
s57_n400,15.1471,-0.9900
