protein_id,sequence_length,swi,tango_total,tango_aggregation_positions,net_charge_ph7,pI,iupred3_mean,iupred3_fraction_disordered,shannon_entropy,hydrophobic_patch_total_area,hydrophobic_patch_n_large,sap_total,scm_positive,scm_negative,radius_of_gyration
s42_n300,300,0.788925,595.57,661,-8.760356106649745,5.456395530700683,0.3394423819247881,0.22666666666666666,3.8804244601557283,2557.1025147558194,5,8.794132213435386,33.14381630818278,-39.68140138757684,18.077106475830078
s42_n400,400,0.81647725,1063.1,987,-32.20014738951666,4.619668769836425,0.3266167059293701,0.04,3.5606686154099783,2304.733097858393,7,5.5533000562375605,40.21388627650162,-80.80523477110486,20.917078018188477
s42_n500,500,0.8099604,1029.46,392,-10.014714255712576,5.441333198547363,0.35592058359661005,0.078,3.648286259092871,2176.6837999115237,5,6.242269904407908,61.01907911862378,-69.61283315335153,22.07373809814453
s43_n300,300,0.7848793333333333,610.125,1041,-6.935967003839593,5.503117179870604,0.30272175259514505,0.0033333333333333335,3.881667814392231,2383.8579537010246,7,10.773756096696413,30.517293560949287,-31.14718102782065,17.692502975463867
s43_n400,400,0.81854375,1084.97,2897,-3.377669450349572,5.815447425842286,0.188835172177894,0.0,3.446951467401299,2087.5263357225067,6,4.829215323066988,68.81159709478102,-62.10398197369195,23.2117977142334
s43_n500,500,0.7920235999999999,564.812,685,-7.118272370948702,6.031719779968261,0.4107629324400457,0.186,3.6654431535669008,1593.471488599966,1,8.818956843654847,58.56883435286769,-59.87797096610697,21.855310440063477
s44_n300,300,0.8054656666666666,725.239,678,-4.423149495086491,5.4924314498901365,0.13637215698878888,0.0,3.2322030186702344,1365.847043133305,2,1.926974048086369,43.319448488574174,-48.211491604276105,18.399032592773438
s44_n400,400,0.7725839999999999,1429.3,2204,-12.214689831801923,4.103229713439941,0.4383500378700381,0.2325,3.4186687135187643,2131.4409578344384,4,8.950740468462762,4.144537184793307,-7.382597695172749,19.454954147338867
s44_n500,500,0.8103224,1554.26,61,7.803741243189165,8.785832023620607,0.3342918755150447,0.054,3.6662346477358754,1647.4325412733492,2,4.105038197827161,85.01759272344125,-45.911787131669925,23.688251495361328
s45_n300,300,0.7942766666666667,568.813,501,-19.754915857181935,4.9061372756958,0.2557582497477606,0.0,3.7206122576111365,1038.3746467071455,2,3.832040552282691,31.88590732363747,-59.97308095597343,17.295278549194336
s45_n400,400,0.80501,838.809,201,-28.42957837835843,5.11610050201416,0.6517874856964003,0.815,3.7163808690243063,1146.3226468253358,1,3.2214754278086506,40.72552928515763,-71.40513234497303,19.224079132080078
s45_n500,500,0.811345,749.195,1040,-24.397884294822305,5.353460121154785,0.39406634843897714,0.178,3.752236641610291,2886.365501151008,4,8.365477133130694,75.89262432166126,-87.82808626460519,24.03574562072754
s46_n300,300,0.8061293333333334,505.7,1260,-38.95188501346183,4.23395938873291,0.41782300445179704,0.29,3.5865369334543273,1531.1099689832056,4,5.280202142611269,16.751567587796963,-72.71827335513638,17.89453887939453
s46_n400,400,0.76995425,1840.27,1375,-10.396164436588329,4.589828300476075,0.2653602644715851,0.0,3.5730588639325673,5220.267453478439,24,15.279698112048113,15.415073387936287,-13.096478541580385,19.846254348754883
s46_n500,500,0.8067624,560.169,42,-3.9544410512229007,6.385542488098144,0.5787630358156848,0.758,3.543146006860238,679.0664204500866,1,0.1706991410416575,43.877692924620405,-56.10160152435457,23.824642181396484
s47_n300,300,0.7991246666666668,580.437,2002,-13.865050238197036,5.029705238342285,0.39036453316091624,0.21666666666666667,3.4380276413735253,1567.9833639335534,5,4.746004936718806,33.70846307378679,-42.536469271448105,17.287879943847656
s47_n400,400,0.79727975,482.278,42,8.594970959720698,9.432772254943849,0.47394627179384174,0.4225,3.482135689122851,612.4065866082168,1,1.8643562316423727,127.28756506721065,-88.43166281529162,20.728818893432617
s47_n500,500,0.785974,1145.33,632,1.4535306368536078,8.328622245788573,0.2854537864449263,0.038,2.125254498320819,981.2225616785689,3,0.9296783485890731,12.481727605096866,-4.041562437240898,23.33547592163086
s48_n300,300,0.7998636666666668,529.342,844,-12.811860937748442,5.24910373687744,0.193308637118442,0.0,3.85918511773319,2074.890704194805,7,3.984242528448608,45.801555703142576,-59.98479461377524,18.069866180419922
s48_n400,400,0.8224912500000001,1051.52,1244,-61.03764640129306,4.254648780822754,0.4025808795852891,0.1875,3.6573800980911844,1893.5349939667021,5,4.401138808478397,23.710612867072925,-118.85016843303629,20.531030654907227
s48_n500,500,0.7955519999999999,1474.47,4743,62.71556452151863,10.023624992370607,0.20690529251683087,0.004,3.6277053241301656,2843.066858297023,7,11.18806076831658,151.68894639587327,-11.610508923367306,21.496042251586914
s49_n300,300,0.7707376666666668,894.748,2226,6.193535508868935,9.846981620788572,0.38465918047729536,0.08666666666666667,3.5088228021947443,2041.715726547521,6,6.7762593938248115,14.010350954173155,-7.064088962060246,17.38605499267578
s49_n400,400,0.7849842499999999,643.448,575,-6.197280970093928,5.391655921936036,0.32281041326850984,0.1225,3.9765143863370214,4230.285313171646,11,12.523258775814167,46.65200428793766,-37.511904138441324,20.29443359375
s49_n500,500,0.8065196000000001,1032.98,3516,-0.26856652113897894,6.849121284484863,0.06230971685689415,0.0,3.06721514468264,1371.181690115089,1,2.233228474285268,89.76942378629488,-79.65139449593326,23.247610092163086
s50_n300,300,0.7786776666666666,588.522,1040,-5.9869072892798165,5.566265296936035,0.22979225406597825,0.03,4.030438179461033,2678.592543049958,9,9.931503716598824,34.26461279402197,-29.22725551999963,17.910579681396484
s50_n400,400,0.8082260000000001,915.447,348,-48.26784759505965,4.571241950988769,0.585385616072648,0.755,3.8690632296756986,1586.5574707947026,2,4.911573491882717,18.896129891164733,-92.14333261585654,20.807586669921875
s50_n500,500,0.7830423999999999,951.369,6131,-0.20412541214591307,5.57001667022705,0.16880073069802418,0.0,2.2146230757247474,9879.179614024148,25,65.39244641562328,0.0,0.0,20.621746063232422
s51_n300,300,0.7979346666666667,517.415,1388,-6.212977411392984,5.375513648986817,0.3963193925785145,0.17666666666666667,3.4814535775923323,1501.8577241581052,5,5.427784533609517,42.710121239020026,-41.51193831420994,17.41915512084961
s51_n400,400,0.7977765000000001,882.979,4394,-0.4177960476722973,6.699293708801269,0.07952145493906532,0.0,3.442822099622959,2247.5270353530627,5,4.425613652969892,72.36863331762015,-58.32893493121921,21.160242080688477
s51_n500,500,0.7824015999999999,1600.96,54,-9.39605486723083,4.7049272537231435,0.4734850099721292,0.33,3.6588333352145206,1929.6243247707396,5,8.435036304951508,9.90099544504907,-36.061276781473815,22.850086212158203
s52_n300,300,0.7933113333333334,546.489,1407,-17.146541324382603,4.75983371734619,0.31973730115035104,0.05333333333333334,3.652605875160826,2219.8176012722497,6,6.4340495073895445,31.78240702674781,-48.67693064673244,17.58913803100586
s52_n400,400,0.80787375,948.725,1315,-31.010058114219575,4.675655174255371,0.2927594635720619,0.07,3.903574148594471,2317.7226531016495,4,5.872199283790421,44.63960259375505,-87.70220929705303,20.685497283935547
s52_n500,500,0.7894772,877.145,0,-13.751974528774298,5.104277992248535,0.15953231469075957,0.094,3.435009727000753,1360.8768154286743,1,1.8094145091405105,72.25054337497602,-70.49936393130572,23.258399963378906
s53_n300,300,0.8121223333333334,475.265,666,-42.67243369001509,4.1734827041625975,0.6251632315370323,0.8133333333333334,3.4880582773002122,1079.1267282966246,2,3.6300581944618355,15.609238065599174,-82.17014396682569,17.131925582885742
s53_n400,400,0.8074747500000001,828.073,2454,52.52247302430626,9.812748908996582,0.07708354297783532,0.0,3.161168607492097,1365.004564562201,2,1.8358507134701079,132.61538702946442,-26.699808950665226,20.55035400390625
s53_n500,500,0.7941393999999999,1189.12,1274,-2.473807818956349,5.286162757873535,0.47395144525009325,0.356,3.2273523913072695,1279.551385448981,2,4.271433139397844,17.379336169616785,-15.080414862133752,24.52625846862793
