protein_id,scRMSD_ca_min,scRMSD_ca_all
s42_n300,5.5693,5.8077;5.7096;5.9030;5.5693;5.7706;5.7587;5.5736;5.9813
s42_n400,1.4033,1.6022;6.7895;1.5658;1.4420;1.4033;1.5816;1.4727;1.4496
s43_n300,inf,inf
s43_n400,5.2327,10.7511;6.2942;6.7001;6.9315;7.0363;6.6216;5.2327;6.9575
s44_n300,1.4955,10.7627;11.7782;1.4955;2.1724;7.1452;6.5242;8.5910;1.7321
s44_n400,3.6190,4.3806;3.6190;3.8190;4.7138;4.1886;3.7087;4.1564;3.7825
s45_n300,2.1578,2.5498;2.8967;4.3769;2.1578;2.3589;3.3790;2.3934;2.5563
s45_n400,3.0277,4.3085;7.6123;6.7055;3.5874;4.3149;7.7035;3.1500;3.0277
s46_n300,2.6914,3.3776;6.2752;2.6914;5.3454;3.8476;5.6206;2.7067;5.3855
s46_n400,5.7114,5.8898;6.7974;6.7798;5.7114;6.0480;6.9498;6.2542;5.8451
s47_n300,1.0385,2.3454;2.1744;1.1976;1.6093;1.7576;1.3492;1.0385;2.0028
s47_n400,4.0505,4.4209;4.1991;4.5413;4.2645;4.1858;4.0505;4.4751;9.9579
