protein_id,sequence_length,swi,tango_total,tango_aggregation_positions,net_charge_ph7,pI,iupred3_mean,iupred3_fraction_disordered,shannon_entropy,hydrophobic_patch_total_area,hydrophobic_patch_n_large,sap_total,scm_positive,scm_negative,radius_of_gyration
s42_n300,300,0.7908216666666666,517.957,396,-14.746483894037684,4.981789970397949,0.33772336148013454,0.11333333333333333,3.841583808202414,2882.2110493884006,7,9.513428003107569,26.774580730498702,-42.719499032216525,18.086557388305664
s43_n300,300,0.782913,513.453,992,-8.935957003939599,5.281786155700683,0.2796866169079799,0.01,3.86188100076376,2583.1478985171216,7,11.549370020267768,28.361276128654062,-33.66193579244515,17.698265075683594
s44_n300,300,0.798773,636.175,165,0.6485340043754206,7.647993278503418,0.1452317158177004,0.0,3.2580003026394713,1500.5667090885604,1,2.3708236471960937,43.738792821128705,-40.77255365482805,18.407297134399414
s45_n300,300,0.7955310000000001,444.39,157,-23.752075395508726,4.767848014831543,0.3111090852585794,0.03666666666666667,3.676614887916231,1073.5978276727558,2,4.121431596122567,27.641491284820127,-62.98415003225776,17.307466506958008
s46_n300,300,0.802898,443.011,1450,-36.05144892969629,4.230151176452637,0.4284337765969896,0.26666666666666666,3.587612692363184,1585.9469390891024,3,5.511090143420032,19.737829490282667,-68.54523424508596,17.88536834716797
s47_n300,300,0.7978696666666667,443.593,1563,-5.784200554376035,5.7704877853393555,0.40741205589479235,0.23666666666666666,3.348769735809008,1627.79655043178,5,5.67473231700796,37.99076081718366,-31.515534173428257,17.284067153930664
s48_n300,300,0.8004843333333334,407.765,770,-11.420375082601105,5.553931236267089,0.3107673051441619,0.06666666666666667,3.817474147585995,1240.4485258924055,3,1.9843355549257384,49.67331671834104,-55.07006512990456,18.058643341064453
s49_n300,300,0.769494,902.129,2245,5.106371320514349,9.694707298278807,0.3612529499752148,0.04,3.516555119224504,2152.1615255760285,7,6.8399150678612015,13.107552467005352,-7.764770495592837,17.38884925842285
s50_n300,300,0.7816643333333334,529.942,974,-8.89679087921117,5.295029640197753,0.2637883171780962,0.06,4.015453075646151,2542.601024821733,8,9.592531187731053,32.98788575196284,-31.31317727727203,17.90475845336914
s51_n300,300,0.7987906666666666,398.893,1073,-5.127604684212606,5.56768627166748,0.43072482745713386,0.31,3.465442051347959,1465.1158617548995,3,4.765134315790482,42.64376331302706,-41.62727564486036,17.43807029724121
s52_n300,300,0.792675,445.409,1239,-14.14868108612145,4.8906770706176745,0.3095091468106043,0.05,3.6275996470843896,2221.4864197344173,4,6.380088823376097,33.974980958814555,-48.11851164421189,17.59178352355957
s53_n300,300,0.808512,427.725,552,-32.87036530498385,4.32780055999756,0.5873402817093407,0.71,3.4805432025467393,1005.6453160418155,1,3.368852916331892,19.423589050785402,-71.0245706540725,17.117904663085938
s54_n300,300,0.7943233333333334,761.769,205,-17.06272605208688,4.906307792663574,0.09005130327363078,0.0,3.442266295147374,1514.9036780883266,1,2.273866506406039,32.76080275155499,-57.74776245801267,18.200462341308594
s55_n300,300,0.7956710000000001,446.36,1559,-14.717964564419646,5.000035285949706,0.4066562542961042,0.21666666666666667,3.647649012852702,2318.4069232355955,4,7.651141711415006,28.45615570601705,-49.72125741398662,18.15192985534668
s56_n300,300,0.8191740000000001,417.903,494,-27.263482918399824,4.750853157043457,0.17942684897962058,0.0,3.2014538531770493,1678.7690089923058,4,2.6323513069916364,40.177103443151076,-85.84946590632126,19.089309692382812
s57_n300,300,0.8068046666666667,415.247,152,-3.998906913968497,5.991307258605956,0.14638221162691367,0.006666666666666667,3.4520278942003344,839.0576276386147,0,1.6018311144131148,51.27406402033348,-44.71748156567628,18.086706161499023
s58_n300,300,0.8018440000000001,535.019,1091,-7.804382249660968,5.622422218322753,0.18045004571762766,0.0,3.7084247447825573,1915.9087865425079,4,5.373924897594355,53.93345865767795,-59.83251026025511,18.3175106048584
s59_n300,300,0.7934,397.602,398,-12.627718056597026,5.251206779479979,0.45892239237837884,0.44,3.7332736788969156,1501.1100817533982,5,4.585598330453871,36.30983909120238,-46.24460087439443,18.38593101501465
