protein_id,sequence_length,swi,tango_total,tango_aggregation_positions,net_charge_ph7,pI,iupred3_mean,iupred3_fraction_disordered,shannon_entropy,hydrophobic_patch_total_area,hydrophobic_patch_n_large,sap_total,scm_positive,scm_negative,radius_of_gyration
s42_n300,300,0.7940066666666666,495.287,608,-11.73543380538569,5.235803413391112,0.39689508737323836,0.30666666666666664,3.778956072784848,2338.956372394575,4,8.165752994158222,28.779344628514394,-40.79651712011704,18.07557487487793
s42_n400,400,0.8223447500000001,897.128,128,-30.915158704540502,4.757219123840332,0.38223193058307453,0.075,3.5612876725261153,1986.1069658009567,6,4.3870861752499986,44.557457059480484,-87.88407121453827,20.924577713012695
s42_n500,500,0.8098344000000001,962.677,361,0.8098087850569016,7.484012794494629,0.36019113129858754,0.082,3.6326212591239795,2054.4265207412514,5,5.637946805712018,68.78594622535687,-54.6193539201288,22.073102951049805
s43_n300,300,0.7861736666666667,498.753,872,-1.1793689516255839,6.395773506164551,0.3585246900851455,0.056666666666666664,3.777304365022772,2174.9927056215142,7,8.526453824180274,38.7906730081182,-29.190599987130597,17.695140838623047
s43_n400,400,0.8210755000000001,978.691,2273,-5.366325842315888,5.614464759826659,0.21517965868515523,0.0,3.5023724721252556,1934.4538641429851,5,4.554050123505472,68.41125634472635,-62.35831867057995,23.208572387695312
s43_n500,500,0.7950216,470.146,562,0.9733119812124471,7.344132041931153,0.47076240610808495,0.358,3.5796138398424713,1492.116578933251,1,8.63370526578151,64.80670248673042,-58.32309422328597,21.87040138244629
s44_n300,300,0.8131863333333332,595.314,509,-9.230126885763845,5.267633247375487,0.20632638749668705,0.0,3.2280250678388827,1181.3420129549618,1,0.8676394767967892,44.19045446724657,-53.81040732157215,18.410423278808594
s44_n400,400,0.774318,1429.95,2204,-12.214689831801923,4.103229713439941,0.4485950320852725,0.2525,3.4414585984814137,2122.4759051983115,4,8.565662031847065,3.830443993837317,-7.207833312483936,19.455955505371094
s44_n500,500,0.8148484,1462.86,27,11.813253390448637,9.020303535461426,0.37791160448770644,0.078,3.6649920863197973,1399.7146882364436,1,3.2009547573948685,91.49753807917043,-40.8960686284765,23.692474365234375
s45_n300,300,0.798729,404.669,126,-16.739954545416907,5.081315040588377,0.34344265712782135,0.02,3.575160431699142,984.9131288205588,2,3.708950855623929,38.998990325731036,-60.0961577585999,17.299270629882812
s45_n400,400,0.8026207500000001,761.14,139,-14.528981654464033,5.738885307312012,0.6272526194011445,0.765,3.6563596192676115,1053.6209414399116,1,2.948082731785458,46.122534107057916,-65.91296247143532,19.209665298461914
s45_n500,500,0.8118236,744.026,1042,-23.396895293723304,5.396203041076659,0.4020125751284349,0.192,3.7560699599631198,2826.723344615781,4,7.943652530398849,77.32984206808881,-87.86873729115916,24.03871726989746
s46_n300,300,0.8123816666666667,447.67,1100,-39.74521550659815,4.319274711608887,0.5036958727184733,0.4766666666666667,3.48662974242928,1601.885393554255,5,5.703543401862064,20.109937949965875,-72.86602377577194,17.891956329345703
s46_n400,400,0.77149525,1796.33,1092,-9.392066672451485,4.674120521545409,0.2894537288382488,0.0,3.5761192221779705,4902.578532748121,22,14.242131932977296,15.931169497601132,-15.50899810624942,19.845277786254883
s46_n500,500,0.8059453999999999,561.831,42,-3.953452050123907,6.3855993270874025,0.5782456294589744,0.744,3.5504684343046877,851.6654341513677,2,0.3430497221969389,44.99647082439786,-55.396821654547175,23.825429916381836
s47_n300,300,0.8053703333333334,410.35,941,-12.848901046744935,5.145258903503417,0.49302597274136134,0.42333333333333334,3.252105277367032,1301.665122657918,3,3.6510578751588216,38.2579385098199,-43.8111712423495,17.2918643951416
s47_n400,400,0.7992242500000001,484.461,15,14.616402641552071,10.343194770812985,0.4948112665451471,0.495,3.392255044039278,593.3992747637844,1,1.6052995607925702,135.27188997674898,-84.5506338080593,20.722803115844727
s47_n500,500,0.787154,1112.58,589,6.4492263318929695,9.348254203796387,0.2970771188772833,0.05,2.179420927508379,935.2820945702715,2,0.8477965047504389,19.549442108250943,-3.0809972806162422,23.3270263671875
s48_n300,300,0.8017306666666667,341.115,737,-1.4039393849737323,6.643875694274903,0.3537835737235916,0.09,3.679497919426538,1115.3472106114425,4,1.48359581247692,56.80834823591826,-47.95209843207467,18.051952362060547
s48_n400,400,0.8281167500000001,848.392,475,-61.012818880811956,4.32257137298584,0.4278935754693168,0.225,3.551619750892471,1839.5608992773264,6,4.6368050506243685,25.98707613208802,-119.49107718676973,20.532182693481445
