protein_id,coScRMSD_ca
s42_n300,5.2300
s42_n400,0.8120
s42_n500,3.1784
s43_n300,1.4524
s43_n400,3.4774
s43_n500,1.9920
s44_n300,11.3037
s44_n400,3.1778
s44_n500,2.2760
s45_n300,5.4450
s45_n400,1.1371
s45_n500,20.0226
s46_n300,1.3803
s46_n400,3.8664
s46_n500,16.8988
s47_n300,1.7336
s47_n400,1.5433
s47_n500,5.0978
s48_n300,14.1516
s48_n400,3.3029
s48_n500,10.1506
s49_n300,1.5005
s49_n400,2.6835
s49_n500,0.9806
s50_n300,1.8997
s50_n400,11.6989
s50_n500,25.1269
s51_n300,1.4704
s51_n400,19.4751
s51_n500,9.2945
s52_n300,1.4034
s52_n400,1.0557
s52_n500,12.0742
s53_n300,1.5892
s53_n400,14.6663
s53_n500,3.7287
s54_n300,2.2459
s54_n400,3.8951
s54_n500,24.9169
s55_n300,2.5658
s55_n400,1.0256
s55_n500,7.2442
s56_n300,21.4997
s56_n400,7.9064
s56_n500,18.2483
s57_n300,2.5023
s57_n400,14.3728
s57_n500,20.3844
