set,family,cell,protein_id,L,co_before,co_after_driver,co_after_randctrl,charge_before,charge_after,charge_retained,n_drivers,n_buried_reverted,recovered_driver,recovered_randctrl,stayed_designable
camsol_max,polarize,camsol_max_w64,s42_n300,300,5.3272,20.0469,22.0985,-6,-3,0.500,191,80,0,0,0
camsol_max,polarize,camsol_max_w64,s42_n400,400,5.0678,26.3653,24.2978,-17,-38,2.235,287,130,0,0,0
camsol_max,polarize,camsol_max_w64,s42_n500,500,7.7606,27.7349,23.8833,11,-3,-0.273,352,174,0,0,0
camsol_max,polarize,camsol_max_w64,s43_n300,300,1.3096,15.4640,2.3864,-2,-4,2.000,193,78,0,0,0
camsol_max,polarize,camsol_max_w64,s43_n400,400,6.2063,24.6214,13.4954,1,-10,-10.000,282,109,0,0,0
camsol_max,polarize,camsol_max_w64,s43_n500,500,14.3362,25.4666,17.5452,5,-12,-2.400,335,146,0,0,0
camsol_max,polarize,camsol_max_w64,s44_n300,300,21.9880,22.5949,20.9756,-21,-28,1.333,227,99,0,0,0
camsol_max,polarize,camsol_max_w64,s44_n400,400,2.9276,11.9183,21.3748,9,16,1.778,298,127,0,0,0
camsol_max,polarize,camsol_max_w64,s44_n500,500,1.6812,24.2980,27.9353,20,10,0.500,366,177,0,0,0
camsol_max,polarize,camsol_max_w64,s45_n300,300,14.5113,19.3444,20.3417,-2,0,-0.000,203,76,0,0,0
camsol_max,polarize,camsol_max_w64,s45_n400,400,14.9993,23.7332,14.2803,-11,-26,2.364,288,118,0,0,0
camsol_max,polarize,camsol_max_w64,s45_n500,500,23.8570,34.5901,36.8642,-4,-29,7.250,339,162,0,0,0
camsol_max,polarize,camsol_max_w64,s46_n300,300,1.9121,16.6803,3.2721,-37,-46,1.243,184,72,0,0,0
camsol_max,polarize,camsol_max_w64,s46_n400,400,3.9916,20.1682,4.3084,14,8,0.571,260,96,0,0,0
camsol_max,polarize,camsol_max_w64,s46_n500,500,16.1269,23.3449,14.6685,-15,-28,1.867,351,162,0,0,0
camsol_max,polarize,camsol_max_w64,s47_n300,300,1.9433,11.4387,4.0745,-18,-16,0.889,193,66,0,0,0
camsol_max,polarize,camsol_max_w64,s47_n400,400,3.1191,23.5915,27.9167,3,13,4.333,288,135,0,0,0
camsol_max,polarize,camsol_max_w64,s47_n500,500,7.4446,28.3177,24.7231,3,4,1.333,345,158,0,0,0
camsol_max,polarize,camsol_max_w64,s48_n300,300,19.7072,21.5356,22.5706,-6,-20,3.333,218,98,0,0,0
camsol_max,polarize,camsol_max_w64,s48_n400,400,14.9279,24.5974,23.4892,-38,-44,1.158,275,129,0,0,0
camsol_max,polarize,camsol_max_w64,s48_n500,500,10.4222,27.7168,21.7429,55,49,0.891,359,166,0,0,0
camsol_max,polarize,camsol_max_w64,s49_n300,300,1.5759,20.1571,19.7021,10,2,0.200,209,89,0,0,0
camsol_max,polarize,camsol_max_w64,s49_n400,400,2.5009,24.1316,26.4230,-8,-1,0.125,237,113,0,0,0
camsol_max,polarize,camsol_max_w64,s49_n500,500,24.3021,20.8203,23.5561,-13,-2,0.154,336,128,0,0,0
camsol_max,polarize,camsol_max_w64,s50_n300,300,3.2948,22.2691,5.3219,-1,-3,3.000,189,74,0,0,0
camsol_max,polarize,camsol_max_w64,s50_n400,400,8.6142,22.2230,19.3833,-26,-42,1.615,292,147,0,0,0
camsol_max,polarize,camsol_max_w64,s50_n500,500,52.6457,20.6409,20.8443,0,3,nan,354,201,0,0,0
camsol_max,polarize,camsol_max_w64,s51_n300,300,1.4097,21.0258,21.2040,-3,5,-1.667,196,83,0,0,0
camsol_max,polarize,camsol_max_w64,s51_n400,400,20.1108,19.9705,20.9453,18,1,0.056,281,115,0,0,0
camsol_max,polarize,camsol_max_w64,s51_n500,500,9.8250,24.3422,26.8420,47,6,0.128,367,179,0,0,0
