protein_id,sequence_length,swi,tango_total,tango_aggregation_positions,net_charge_ph7,pI,iupred3_mean,iupred3_fraction_disordered,shannon_entropy,hydrophobic_patch_total_area,hydrophobic_patch_n_large,sap_total,scm_positive,scm_negative,radius_of_gyration
s42_n300,300,0.7925326666666667,586.111,621,-14.835445987336282,4.975651359558105,0.35639556052935034,0.2633333333333333,3.879707738013739,2420.462045066463,4,8.665093386358,30.89739342363411,-45.32181422736272,18.076555252075195
s42_n400,400,0.815216,1088.54,893,-28.20957777643528,4.688728141784667,0.32623485878607994,0.03,3.557522483176233,2381.918703551705,8,5.85706177518874,43.80503588938538,-80.03751044137736,20.91899871826172
s42_n500,500,0.8100642,1023.59,377,-11.094366219492272,5.32839412689209,0.35922180992370556,0.09,3.6534590650653356,2155.9569424623533,5,5.863105851110307,60.26612839285049,-68.53044605922052,22.07159996032715
s43_n300,300,0.7892103333333333,610.616,864,-9.840351429765391,5.301395606994628,0.35123986116694395,0.03666666666666667,3.883227843858804,2115.22095022092,5,9.042141463268072,31.492886457737658,-33.695354936193084,17.689790725708008
s43_n400,400,0.8166135,1068.8,2892,-4.380161611458149,5.678977012634278,0.17680044128713157,0.0,3.4532728707438056,2316.688198794745,8,5.621884075428493,67.77609042337127,-61.73783721163815,23.21718406677246
s43_n500,500,0.792512,542.891,558,-7.042109933832975,6.069858741760252,0.43516471766658343,0.228,3.661906593524135,1518.1623005608774,1,9.629898495356649,56.59360269153885,-58.8710407664684,21.85285758972168
s44_n300,300,0.8045426666666666,757.651,726,-0.4257086349529615,6.6084081649780275,0.14349669376717775,0.0,3.1360850854165503,1315.537131638002,1,1.9199745706042461,44.082778330504325,-41.39101537908009,18.396230697631836
s44_n400,400,0.7727849999999999,1432.82,2204,-12.214689831801923,4.103229713439941,0.43943648652328876,0.2375,3.4125420009968312,2132.452563790649,4,9.043089019718149,4.251320446808545,-6.8094077389690195,19.455360412597656
s44_n500,500,0.8115338,1550.23,63,0.8175329139263283,7.477533149719239,0.34538921782625415,0.06,3.6875174766455467,1709.779723538937,3,4.285367989674494,77.91722482711646,-46.52188612675647,23.686044692993164
s45_n300,300,0.7937826666666667,547.579,146,-18.68156388203942,4.971786308288574,0.2836172955327387,0.023333333333333334,3.7727278595499985,1012.9243571942952,2,3.9037889874866982,30.657205365116,-55.750706861867485,17.297943115234375
