protein_id,sequence_length,swi,tango_total,tango_aggregation_positions,net_charge_ph7,pI,iupred3_mean,iupred3_fraction_disordered,shannon_entropy,hydrophobic_patch_total_area,hydrophobic_patch_n_large,sap_total,scm_positive,scm_negative,radius_of_gyration,camsol_ph7
s42_n300,300,0.8097380000000001,346.477,289,-11.771623383886208,5.0989351272583,0.5481465963986378,0.6766666666666666,3.5309406263779772,1924.1969675742846,5,6.878422806662151,32.905987537605,-46.13569714915572,18.071308135986328,4.145749
s42_n400,400,0.8447400000000002,633.855,78,-13.882105120497641,5.3642595291137685,0.6083058707166047,0.845,3.4304157953425283,961.4275208500288,1,1.078864301073211,59.7389679037486,-86.94793240308607,20.91771697998047,5.655534
s42_n500,500,0.8222704,903.65,30,19.78486756164979,9.470808601379396,0.5232639862725575,0.576,3.5466283905117217,1532.8755793398368,5,3.267585310864733,94.01172989028603,-49.45212636798028,22.065393447875977,4.112032
s43_n300,300,0.8114930000000001,332.572,93,-2.025179841552884,5.933899879455566,0.641144769904241,0.9066666666666666,3.4669080203546843,1288.6902710530544,2,4.5204977898137955,47.75041354334876,-31.774907072988128,17.69107437133789,4.886664
s43_n400,400,0.8491895,503.58,101,6.852896906122524,8.844046974182131,0.5197450270970329,0.54,3.3103830201875915,943.0972092760312,1,1.2484985308234648,77.3868475755911,-61.88890504311368,23.195077896118164,6.300914
s43_n500,500,0.8046774,340.04,258,11.658560834878088,10.876735115051268,0.5870768230220345,0.752,3.418191133722138,1463.062617342916,2,7.547423928154778,71.16086268123983,-59.978291573861654,21.873207092285156,5.921153
s44_n300,300,0.8623093333333335,182.856,1,-16.137445905699238,5.181181144714355,0.6675433201891525,0.98,2.8216094148250503,374.34014247576835,0,0.1895169701524725,45.45072960108037,-58.319373092520564,18.392230987548828,6.932598
s44_n400,400,0.7882994999999999,968.68,670,11.881796505712114,10.152884101867674,0.7261861767062713,1.0,3.469200012253694,617.8853375309552,1,1.971157612897628,35.199569804815155,-7.620005689887637,19.478296279907227,2.274405
s44_n500,500,0.830375,1119.48,1,26.96741298122977,9.573958015441892,0.5613081176267003,0.69,3.572531936510952,1009.2014129602939,1,2.203328637618282,107.56121026505211,-41.723605868976435,23.69495391845703,4.569215
s45_n300,300,0.8179386666666666,216.624,0,-14.791515186894962,5.2239809036254865,0.6248529267710272,0.81,3.3204814072823523,732.2692482251421,2,3.1256588168151547,38.58714323722245,-57.25737839248755,17.291833877563477,5.971911
s45_n400,400,0.8126519999999999,482.29,21,-10.910407732148286,5.838353538513183,0.6907100021158253,0.965,3.4629622823536472,959.2975601818653,1,2.4282254655322317,53.54227504557015,-67.36380082776117,19.210437774658203,5.844111
s45_n500,500,0.820038,624.991,868,-10.583444833805444,6.008756828308105,0.5424048383710882,0.512,3.7146304957248124,2170.3229711023287,2,3.456484021399486,87.39653766956583,-90.38866164295376,24.042137145996094,4.815578
s46_n300,300,0.8364163333333333,94.6504,2,-52.13555259385977,4.192580604553222,0.8204526620386129,0.9866666666666667,3.158320011350741,1172.8353324026552,3,3.2494511034426257,21.27836714341207,-87.10239068366462,17.866779327392578,5.866314
s46_n400,400,0.7818117499999999,1681.38,653,8.611667573003658,9.63481616973877,0.4950049498800522,0.4825,3.5680487231141838,3406.3825109196373,14,8.923438097933126,29.22908983276111,-11.826936852467192,19.845556259155273,1.865079
s46_n500,500,0.8087862,503.785,17,-5.26335239522281,6.1593233108520495,0.5781497466238688,0.726,3.5794456980626204,1047.836364841189,2,1.0665510370204612,53.981567857817,-71.46566934311957,23.83062744140625,2.786492
s47_n300,300,0.8215696666666668,172.791,32,-20.80694717247644,4.8395788192749025,0.7036402153468564,0.9866666666666667,3.1893792622038024,595.0511752602018,0,1.3288639747784496,37.49135731663323,-57.95341119866445,17.302946090698242,5.791822
s47_n400,400,0.81241175,366.458,3,14.795618751748876,11.042612266540527,0.6511324223830331,0.9625,3.20895751374914,494.32366195650593,1,1.0516914753981916,138.48005030301763,-82.20833842131023,20.708045959472656,8.128992
s47_n500,500,0.8014728,769.675,326,8.510347727125534,9.647967720031737,0.5182181828255269,0.528,2.12038699941538,874.6172575869814,2,0.9624951460618926,38.729438323197456,-6.071829318137937,23.317108154296875,-0.095061
s48_n300,300,0.8266006666666667,154.658,0,-3.137205685170059,6.326543617248535,0.648212787757697,0.8233333333333334,3.254034787967334,697.4599384440779,1,0.3850950827932219,64.22824458270713,-54.8940030170199,18.04757308959961,7.597244
s48_n400,400,0.8433145000000001,643.607,13,-42.251495927043734,4.649679756164551,0.5997570554978698,0.755,3.435196229933748,1207.4598343495918,2,2.2424886702645646,46.5540516142692,-99.55373839088904,20.53285026550293,6.022876
s48_n500,500,0.8277231999999999,855.219,1118,78.85531748754656,10.082806968688963,0.6008931247417741,0.72,3.4757566148688768,1777.4859273281556,4,6.707102641736055,173.87224628134382,-13.621446169069014,21.49224281311035,4.888532
s49_n300,300,0.7886326666666666,638.515,319,-4.1055025068540445,5.623502159118652,0.607171421913942,0.79,3.366729072900362,1718.577692569066,6,5.892200799761247,17.400086833099895,-22.027322161072227,17.38528060913086,2.416624
s49_n400,400,0.7970740000000001,446.41,413,-8.220379526712058,5.264507102966308,0.4831275180049679,0.425,3.772571867098473,3617.583299943585,9,10.511278720410418,49.616510390035664,-43.79798799673432,20.289152145385742,3.238255
s49_n500,500,0.8322758000000001,482.273,144,14.945506202864564,9.067107582092284,0.31730172648530025,0.044,2.8744719416545657,887.2925688836707,0,1.129566291386806,112.87312769668449,-66.33005765123838,23.24335289001465,5.257004
s50_n300,300,0.8014789999999999,440.027,460,2.745874956452681,9.176703834533694,0.5523853643113155,0.5766666666666667,3.7131425133219653,1752.6804361226307,6,5.3362243178287825,44.96424860467971,-33.6704886143304,17.900257110595703,3.281409
s50_n400,400,0.82181475,520.262,160,-35.58276674013233,4.742099952697754,0.7036106756708107,0.97,3.52749828767591,1027.0365609736891,1,2.5026138276560337,28.463039723061982,-96.39123415828175,20.783935546875,6.025927
s50_n500,500,0.8042307999999999,469.78,1316,-18.166721605881282,4.177234077453612,0.4514974106150206,0.31,2.626729735190751,6614.810619762342,23,34.962485971191285,23.41148006157995,-73.13154168735622,20.622241973876953,2.927145
s51_n300,300,0.8198866666666667,220.387,126,-18.336491270344695,4.830939292907714,0.6318032480174929,0.9133333333333333,3.280496507367589,885.0911545835428,1,1.6379930733223145,38.21897448579517,-48.73650936432827,17.415287017822266,5.458258
s51_n400,400,0.8359772500000001,354.528,3,40.78309405164204,9.761174201965332,0.4677018141309706,0.38,3.1187411476407023,953.4555385440932,1,2.1439949356662957,103.78228840756547,-50.18544194564678,21.1287899017334,6.154659
s51_n500,500,0.8004392,1058.74,9,44.55797619026407,11.792057228088382,0.7824182167452212,0.98,3.6574727396917526,601.2250706284111,1,1.463543439469754,65.25759612598614,-33.76966908251276,22.84406089782715,3.293082
s52_n300,300,0.819476,249.413,468,-23.728646332077105,4.7655744552612305,0.5936980855959108,0.8166666666666667,3.391325808645693,1168.7170389069715,3,3.4625796298131544,34.5502898159865,-60.08114926079278,17.564990997314453,4.936439
s52_n400,400,0.8219069999999999,624.702,37,-33.05455179058883,4.737780189514161,0.5180433483996958,0.5925,3.6806647231496306,1749.0328118749526,4,2.8360772496652364,50.598315496648496,-90.9712830546849,20.676374435424805,4.643434
s52_n500,500,0.8133212000000001,779.1,0,4.608608977480898,8.637877082824708,0.5233256453685321,0.576,3.3478334307120425,1037.0974201214067,1,1.1698938841791173,101.23181442105903,-76.25228768929009,23.265016555786133,3.764791
s53_n300,300,0.8270150000000001,103.019,10,-55.0676088628193,4.0500284194946286,0.7491195919874828,0.97,3.2261830623430257,1487.2680563614526,4,3.09943679861563,11.135149718057892,-105.2325534996861,17.127723693847656,4.775294
s53_n400,400,0.8542662500000001,347.198,8,76.76520256813444,10.064755821228026,0.5536886523578246,0.6575,2.811704287170035,776.9030046259172,1,0.9121727655791784,156.737192449072,-23.01047825077724,20.561363220214844,7.613206
