protein_id,sequence_length,swi,tango_total,tango_aggregation_positions,net_charge_ph7,pI,iupred3_mean,iupred3_fraction_disordered,shannon_entropy,hydrophobic_patch_total_area,hydrophobic_patch_n_large,sap_total,scm_positive,scm_negative,radius_of_gyration
s42_n300,300,0.7938626666666667,141.78,120,5.424085125340071,10.31399059295654,0.4359088595964954,0.37666666666666665,3.386956004922418,2160.1335567152573,4,8.246260555618472,44.972614821552646,-21.753800636396946,18.056777954101562
s43_n300,300,0.7913626666666667,170.954,30,3.7875921059251745,9.707214164733887,0.4117442416313241,0.17333333333333334,3.3812916543104,2732.0251382769166,7,9.268976123849505,32.61176436979424,-20.462195205789467,17.541526794433594
s44_n300,300,0.75845,292.835,975,12.267364671299433,11.913902473449706,0.17712532025031866,0.01,2.9439330264093466,1648.7480273492831,6,5.2924552334728805,21.05763659481929,-8.568726926952733,18.45938491821289
s45_n300,300,0.798533,206.396,84,7.457540030124527,10.433386039733886,0.33566713215093574,0.08666666666666667,3.1611566642572275,955.8911375335716,3,2.5784525027770693,62.141951009624954,-44.21603673678102,17.730703353881836
s46_n300,300,0.8219716666666668,149.324,740,-49.4045654025518,4.196673011779786,0.6006157528252329,0.7166666666666667,3.335787481127549,1538.4392791300884,2,3.7925925042402575,13.409566538104674,-81.70324503048928,17.847631454467773
s47_n300,300,0.7893753333333333,129.115,522,15.180201898682675,11.540694999694825,0.25970543612995584,0.016666666666666666,2.9901145236426316,1958.4567693859008,4,7.774023898031493,57.92103868464286,-19.05097961466995,17.30054473876953
s48_n300,300,0.7983226666666667,188.939,694,-0.8489823299032011,6.666440773010254,0.3667885368783399,0.13,3.21493939223181,1882.1600291276493,4,4.8116510428922945,50.854698318414115,-44.83548197267577,17.978771209716797
s49_n300,300,0.8043866666666668,577.739,199,-41.86644596867404,4.563057136535646,0.4484076474234764,0.24,3.6859361751919484,2044.6333915042235,7,4.20307585812969,18.190529447261472,-70.53523598157379,17.927719116210938
s50_n300,300,0.7883716666666667,251.081,410,-12.852584312789855,4.911139106750488,0.43660411889249806,0.29,3.7845059306261586,2614.2025389302944,10,7.693414589351467,25.76349046592243,-31.540555486887786,17.910560607910156
s51_n300,300,0.7969776666666667,102.476,179,9.014112605977388,11.277277183532714,0.3851781241668893,0.16333333333333333,2.954554996952105,1778.8727556264873,3,4.448125719814919,50.219255948605905,-24.953379229882188,17.341825485229492
s52_n300,300,0.800551,126.497,106,1.197007008999833,8.107882499694824,0.41292491255607483,0.3,3.09434192693111,2079.862387290113,5,4.544706833219453,43.88480400506949,-28.38878047209,17.470441818237305
s53_n300,300,0.798223,148.689,58,13.675113450467205,11.440253257751465,0.4931608987838967,0.4766666666666667,3.2513752673163165,1224.370486281636,0,5.677086013119551,56.33089300511065,-22.722976467995014,17.040719985961914
s54_n300,300,0.7522756666666667,450.726,140,-2.438689065096412,6.4340829849243155,0.04807386079327324,0.0,2.7469403164158868,1194.6276280036575,1,3.1422850828523647,6.284103436549291,-6.16134927866333,18.299331665039062
s55_n300,300,0.7894566666666666,182.094,50,12.331326999283771,11.621216011047363,0.2801397396355794,0.013333333333333334,3.1611134491323045,3082.2416471712972,9,10.091738241378446,43.92824075807164,-20.585564163893075,18.030324935913086
s56_n300,300,0.7689060000000001,335.635,625,13.43355015343868,10.964218711853025,0.16418892674514274,0.0,3.22082954963346,2120.178582922867,8,5.677233609236562,55.48720648976359,-23.299332764699887,18.881147384643555
s57_n300,300,0.78339,156.749,56,11.005430455266463,11.127259254455566,0.2839196511952314,0.13333333333333333,3.1455591314405673,1378.6969125986877,3,4.166024822758964,59.54578970527258,-30.094377993792026,17.867530822753906
