protein_id,coScRMSD_ca
s42_n300,5.4142
s42_n400,2.4149
s42_n500,7.8488
s43_n300,4.9295
s43_n400,4.0700
s43_n500,2.5549
s44_n300,2.3796
s44_n400,3.0465
s44_n500,1.3770
s45_n300,1.7469
s45_n400,3.0850
s45_n500,19.6884
s46_n300,0.9089
s46_n400,3.7525
s46_n500,14.6979
s47_n300,0.8774
s47_n400,2.3339
s47_n500,6.5149
s48_n300,17.6815
s48_n400,1.8525
s48_n500,14.5082
s49_n300,1.6555
s49_n400,2.8988
s49_n500,3.3946
s50_n300,2.6226
s50_n400,5.0357
s50_n500,25.8876
s51_n300,1.3908
s51_n400,8.4718
s51_n500,7.0072
s52_n300,1.3913
s52_n400,1.2270
s52_n500,9.2793
s53_n300,1.2865
s53_n400,3.6615
s53_n500,3.3068
s54_n300,1.7075
s54_n400,9.3440
s54_n500,24.3432
s55_n300,1.1056
s55_n400,1.6037
s55_n500,13.6240
s56_n300,19.4521
s56_n400,13.8495
s56_n500,9.2019
s57_n300,4.1451
s57_n400,4.4975
s57_n500,19.3911
