protein_id,sequence_length,swi,tango_total,tango_aggregation_positions,net_charge_ph7,pI,iupred3_mean,iupred3_fraction_disordered,shannon_entropy,hydrophobic_patch_total_area,hydrophobic_patch_n_large,sap_total,scm_positive,scm_negative,radius_of_gyration,camsol_ph7
s42_n300,300,0.7903913333333333,614.69,486,-12.844279772125638,5.047041130065917,0.3822911242054775,0.27666666666666667,3.8796961463814448,2418.9012969019027,6,7.200743467760852,26.43130181240842,-41.521741675357106,18.07347869873047,1.812666
s42_n400,400,0.81494225,1050.85,1196,-31.850143334534657,4.706405067443847,0.292589914159626,0.0075,3.5662116687600385,2557.555671429217,7,7.337702473439141,40.513766222015626,-80.55085854000791,20.91185188293457,2.467072
s42_n500,500,0.8087746,1000.71,274,-18.321355991732553,4.933135795593261,0.37545766786851004,0.114,3.6473570038078575,2189.351940679365,7,7.143538412972572,57.51707294327512,-75.97905345230257,22.122163772583008,2.296406
s43_n300,300,0.7850839999999999,617.067,853,-5.9379473437018575,5.622706413269043,0.3221315904091113,0.043333333333333335,3.8332445259470296,2554.1305232057266,9,9.427469695713654,31.00672707712654,-28.22800181643524,17.685205459594727,1.575197
s43_n400,400,0.8163634999999999,1113.88,3099,-5.291831880880778,5.638848686218262,0.18221139755412416,0.0,3.5362587419975613,2397.581350270365,7,5.715275200335024,60.8831133829038,-60.40240355059485,23.1564884185791,1.871463
s43_n500,500,0.7926869999999999,548.046,1548,-2.6114910734669223,6.595051002502442,0.45375710647045525,0.302,3.6377001336922956,1463.6096114814668,2,10.467110829236983,60.088314211808836,-55.491801376399025,21.817214965820312,3.152074
s44_n300,300,0.8078470000000001,726.918,1119,-3.9825918497831836,5.950098991394043,0.15678569628882313,0.0,3.3278995355942307,1278.9177472032654,2,2.341285171676362,43.743250498645295,-48.314694362371114,18.33306121826172,1.764706
s44_n400,400,0.774644,1430.44,2204,-12.214689831801923,4.103229713439941,0.45012170388463973,0.2475,3.4373265090428196,2050.6978805480753,3,8.262618530911126,4.414565924589182,-7.424098109973872,19.483707427978516,-0.838027
s44_n500,500,0.8109308,1490.49,81,-3.080328565511948,6.1284029006958,0.32185303977457125,0.012,3.6894477995009725,1830.1318895784714,1,3.7205707088691224,75.84973533180701,-53.588513410923795,23.68550682067871,2.221007
s45_n300,300,0.7946306666666667,480.159,602,-26.003767512148386,4.645701026916504,0.28118026448953076,0.023333333333333334,3.699640935461559,1295.3557180535265,3,3.7841487086523022,24.695534100945178,-61.47255155774002,17.335878372192383,2.635472
s45_n400,400,0.8074855,876.353,332,-45.414220667658896,4.665367317199707,0.6447880245906006,0.8225,3.780230885777901,1020.992476895172,1,2.447586900994557,25.377010580271634,-95.7834064892358,19.286819458007812,2.507532
s45_n500,500,0.8120762,761.275,872,-39.210186069522294,4.931999015808104,0.3538283826732079,0.146,3.6853795434304653,2768.9270439124666,3,9.433281766467505,66.78449251197321,-92.38346283748999,24.049467086791992,2.981664
s46_n300,300,0.8033383333333334,482.672,1567,-34.96190434027397,4.300915718078613,0.3962458885295167,0.19333333333333333,3.611900516541333,1509.1503767855322,2,4.373402775464936,16.74740278433127,-68.16736006214349,17.858684539794922,2.149014
s46_n400,400,0.7694255,1826.58,1475,-10.483338624842915,4.526339149475096,0.25225072013722377,0.0,3.55319377463483,5244.850145113026,21,15.658500322401114,14.891091184789062,-12.793044471723444,19.805208206176758,0.491338
s46_n500,500,0.8056743999999999,554.179,42,-2.961863436243533,6.49740161895752,0.5793928942889649,0.758,3.543791426117084,820.4808897248028,1,0.839818760006839,41.542440499477834,-53.753502637318746,23.79537010192871,1.376837
s47_n300,300,0.804081,450.263,2094,-19.012566515554795,4.818718910217284,0.39889213288003234,0.19333333333333333,3.2714699011151134,1454.692601056942,4,4.196718839687391,33.903249498947986,-49.82341431335625,17.360387802124023,3.315246
s47_n400,400,0.79688525,500.615,118,7.686393426643775,9.278757286071777,0.45246209624397643,0.3275,3.502445171119303,639.9920278399318,1,2.05806197433731,128.8786962192443,-96.99364245464722,20.774417877197266,5.787675
s47_n500,500,0.7864852,1113.17,593,5.451224333890971,9.24897289276123,0.2797976744225842,0.04,2.1081985668923333,1120.325078407888,3,1.2407183824447465,19.231919995105464,-3.1701789495360537,23.295856475830078,-2.554474
s48_n300,300,0.808706,746.656,1344,-19.680768351334684,5.006628608703613,0.30474141293884205,0.09,3.8246996319531137,1563.1617755402328,4,3.17800388077179,36.76242308458044,-67.22370197730633,18.116138458251953,2.484982
s48_n400,400,0.8188347500000001,980.889,1611,-39.17085300831016,4.509230613708497,0.3490295390525967,0.0475,3.624503301163037,1993.773530396051,5,6.5210575103165525,32.56275098086298,-87.12979629516963,20.553647994995117,2.363315
s48_n500,500,0.7957192,1467.98,4686,47.641150262952365,9.86329212188721,0.22440941839971631,0.02,3.588001599514664,2804.8352707428085,5,10.746921798702097,125.10270409028406,-19.34838012653749,21.468971252441406,0.090142
s49_n300,300,0.7706206666666668,893.656,2226,6.106361320614349,9.846917152404785,0.3844218528706191,0.08666666666666667,3.5023994838764447,2074.018115711744,6,6.922015397997628,14.863337239305151,-7.241764974744185,17.367267608642578,0.291876
