protein_id,sequence_length,swi,tango_total,tango_aggregation_positions,net_charge_ph7,pI,iupred3_mean,iupred3_fraction_disordered,shannon_entropy,hydrophobic_patch_total_area,hydrophobic_patch_n_large,sap_total,scm_positive,scm_negative,radius_of_gyration,camsol_ph7
s42_n300,300,0.7923506666666668,491.688,585,-6.651922538679521,5.781969261169433,0.40140419678275807,0.27,3.740009520487724,2295.5093037662527,4,8.123106677911016,34.16557819811744,-40.12115057167128,18.078954696655273,2.629055
s42_n400,400,0.821736,930.85,131,-33.55985202647675,4.790469932556152,0.3668699504535195,0.045,3.6075753601751464,2050.5651799304837,6,4.5854929289250235,42.80026074740714,-87.88586908445734,20.924158096313477,3.355656
s42_n500,500,0.8096504,992.341,358,1.8974613716301008,7.938459587097168,0.3663075312606264,0.106,3.664929106643932,2066.846705586992,5,5.085086223726712,69.58204603287993,-58.83889154542012,22.075647354125977,2.575654
s43_n300,300,0.7888473333333333,495.296,774,-7.083733377751358,5.38449420928955,0.35597444580552157,0.05333333333333334,3.7780801959042796,2226.0661273892574,7,8.55793275992274,34.281009122937306,-34.38777026114117,17.699115753173828,2.271406
s43_n400,400,0.819904,930.882,2407,-7.358438615006847,5.467194938659667,0.22321738355357387,0.0025,3.514718214498068,1903.1604432061138,5,4.606982423178288,66.36264981112677,-65.0450508292468,23.208179473876953,2.646023
s43_n500,500,0.7950628,475.915,562,1.0621758705004112,7.364025688171386,0.4632033448015861,0.348,3.578153630827161,1458.3707779698525,1,8.609983016336919,66.28258037692267,-61.27515754006568,21.87091636657715,4.001508
s44_n300,300,0.8143710000000001,676.135,622,-9.136231012423004,5.342433357238768,0.1924483566634699,0.0,3.280233391216836,1073.0092599245586,1,0.8584302367433573,43.11129376626136,-57.097830146027974,18.41553497314453,2.586468
s44_n400,400,0.774443,1429.71,2204,-12.214689831801923,4.103229713439941,0.4492340249305408,0.2575,3.4434532215647526,2116.1737874550627,4,8.565709323126931,3.740098554973156,-7.239492251164025,19.45594024658203,-0.802080
s44_n500,500,0.8150917999999999,1468.8,35,6.822805537308099,8.708792304992677,0.36669955741515625,0.07,3.6513759530968803,1448.6382959692232,1,2.944025514797313,86.04140429503946,-44.845860887503605,23.691484451293945,2.412220
s45_n300,300,0.7946100000000001,414.907,121,-11.835580119391118,5.274340248107909,0.2926622146209933,0.0,3.566426529271087,947.0784417105938,2,3.6805576282493377,40.542204760273044,-55.8985795013824,17.300735473632812,3.644998
s45_n400,400,0.80391975,774.925,128,-19.509518517605542,5.478676414489747,0.6268834317931228,0.7625,3.616783815649569,1108.1214403310787,1,2.993925042165617,45.19833707263814,-71.81947412246672,19.20843505859375,3.755602
s45_n500,500,0.8116842,746.102,1043,-23.395784532683464,5.398078727722168,0.3974768367846484,0.188,3.75019506271779,2816.2291563114145,4,7.7525063809382235,77.64097014239397,-87.79681645634369,24.03745460510254,3.411570
s46_n300,300,0.8116906666666667,432.85,1102,-39.83438769685074,4.293412971496582,0.49451629405154013,0.44333333333333336,3.4621864638527957,1625.0267502858258,5,5.840517387328928,20.535491442506057,-72.87908050253591,17.8994197845459,2.999211
s46_n400,400,0.77149525,1796.33,1092,-9.392066672451485,4.674120521545409,0.2894537288382488,0.0,3.5761192221779705,4910.54327405544,22,14.220723828634043,16.078814847949197,-15.4912104706356,19.845401763916016,0.803076
s46_n500,500,0.8060279999999999,558.157,39,-2.951772348990538,6.501323509216308,0.5789261009256589,0.744,3.5561341787786844,849.1280994599592,2,0.3935269096636427,45.611148825261694,-55.5703502608838,23.826061248779297,1.619821
s47_n300,300,0.8057120000000001,486.792,1573,-18.92470162726584,4.860893440246582,0.46038457088557816,0.3566666666666667,3.2795332266149764,1460.5584958351396,4,3.6208291126753336,36.47932470459044,-49.490476925404636,17.294692993164062,3.478290
s47_n400,400,0.800629,480.336,8,13.706410285478697,10.356023979187011,0.4994727794065678,0.5125,3.3939005743084363,565.094373530109,1,1.4181253363912343,131.82845066183913,-88.80220648039423,20.72613525390625,6.313786
s47_n500,500,0.7887493999999999,1032.71,592,4.479115843213791,9.470550727844238,0.3230980734752015,0.044,2.1237781652405787,993.3788561114837,2,0.8260795633786855,16.653219488984593,-3.2639584806149684,23.33064079284668,-2.556873
s48_n300,300,0.8015406666666668,331.474,816,-5.314513674939455,6.131074333190917,0.35971238775777986,0.15,3.703286649884382,1121.6762050217264,3,1.706960755455513,51.15221498352095,-51.38171524305385,18.061574935913086,4.005643
s48_n400,400,0.828555,804.384,477,-55.92311775006584,4.420050239562988,0.4358992996054706,0.2225,3.559615209964134,1678.84502321821,3,3.618587566627895,35.28043666833753,-113.2580121496718,20.53367805480957,3.993740
s48_n500,500,0.8003117999999999,1263.74,3505,60.726284408275845,9.958963203430176,0.2481876356243691,0.028,3.6282624072227034,2659.259464372057,7,10.737232359716202,156.72771883480175,-15.616314657566896,21.504404067993164,1.167867
s49_n300,300,0.7713986666666667,894.587,2229,5.196345970842145,9.69393367767334,0.38614046781969186,0.09,3.525776689952012,2016.5342627013558,6,6.737149905084107,13.313409466105753,-8.504391405849638,17.386043548583984,0.311166
s49_n400,400,0.7858984999999999,535.11,568,-9.192659047146513,5.142473793029784,0.3319781876809448,0.1225,3.9658934752320216,4252.944314642386,11,12.524647851260477,45.41525615180652,-41.53758746335539,20.293073654174805,1.790447
s49_n500,500,0.8127360000000001,859.936,2589,-10.130573510840222,5.518463706970214,0.08407137701168625,0.0,3.074077826574754,1233.9746423721112,0,1.2559229593597714,85.97661178798774,-90.11403530659445,23.24652862548828,1.991591
s50_n300,300,0.785059,565.225,791,-1.8829638844161636,6.397762870788575,0.34469179481256684,0.13666666666666666,3.9761000653495846,2292.3545532669555,8,8.212831150940884,38.79468838806193,-30.140273513778432,17.907804489135742,1.677761
s50_n400,400,0.80974825,745.367,216,-41.914188857288416,4.845660591125487,0.6088783321616178,0.8025,3.8291653627258557,1432.6586141798516,1,4.036415996968132,25.429943535748226,-94.27946698067396,20.78839111328125,3.542084
s50_n500,500,0.7843955999999999,904.764,5362,2.792877584857085,10.302321815490721,0.1692580031061545,0.0,2.2184381022481428,9718.906412024446,28,63.21527541244012,6.298670632498282,0.0,20.61653709411621,1.267065
s51_n300,300,0.8014393333333334,467.988,1265,-3.29178021312795,5.695858192443848,0.4556894099657635,0.39,3.358166527088191,949.0127042603514,3,3.6859416144260133,47.373083163461295,-38.01515678418367,17.420373916625977,3.868322
s51_n400,400,0.8066660000000002,714.219,2713,-7.28444496012095,5.514826011657713,0.1391230301426412,0.0125,3.4223176089917016,1811.2965811272124,3,3.4260816541108143,72.38991587118903,-70.78210471063224,21.151424407958984,2.438604
s51_n500,500,0.7818811999999999,1430.44,56,4.584287242770987,9.01649990081787,0.4971650652947767,0.414,3.6886724908332122,1721.4645473749442,4,6.757118779336016,21.824050704817736,-23.44532453545881,22.85135841369629,-0.144061
s52_n300,300,0.8017446666666667,428.772,820,-9.856875392601204,5.338170433044433,0.43557647556454915,0.26,3.5547657631589917,1560.1146596112326,5,3.915560476878653,38.92181997707666,-48.05470926532785,17.57993507385254,3.426789
s52_n400,400,0.81311025,819.718,419,-38.90667487510218,4.585167503356933,0.36432317645735496,0.1325,3.868658027532943,2128.153450514675,4,4.768761242828401,42.78048894488333,-95.97343966295179,20.68098258972168,2.941549
s52_n500,500,0.7914504,853.118,0,-22.73211475393802,4.857880973815917,0.17871847517938,0.122,3.418355515857154,1307.2395754999977,1,1.828985913907363,67.59007731984266,-84.06299670154887,23.252866744995117,2.601342
s53_n300,300,0.812821,431.5,693,-44.83955818196307,4.118576240539549,0.6246901764807209,0.8,3.4468544057692223,1213.5933012252915,3,3.1916026820210135,16.431635316011103,-83.97128822406538,17.12982749938965,2.829187
s53_n400,400,0.816305,726.338,1005,34.667450810044144,9.549008750915526,0.10630892969340099,0.0,3.1345399777571803,1038.8463180993294,1,1.4296317990768075,121.22652653516604,-39.711937094032834,20.547096252441406,2.939171
s53_n500,500,0.8006147999999998,1124.5,1043,-5.450762985302202,5.099674034118652,0.4876384688319987,0.37,3.3037793755780496,1245.7843289671182,2,3.89453984266516,26.624031294096593,-30.420514460003556,24.516082763671875,1.033381
s54_n300,300,0.8023913333333335,932.828,144,-15.067298798401453,5.0272611618042,0.10543121545471797,0.0,3.4792856540905324,1323.5417100155516,1,1.7886127224730897,40.96543336786323,-61.15759385598648,18.20433235168457,1.249411
s54_n400,400,0.7973465000000001,798.369,909,-27.2718130230512,4.965192985534667,0.3863393009512252,0.155,3.767994363937891,979.7599993760876,1,3.359910420547874,43.56407047701202,-80.34226486392993,21.549909591674805,3.177153
s54_n500,500,0.7970296,1115.47,17,-3.5116411266717216,4.104764366149902,0.5648877260800563,0.688,2.573304189543873,1915.7777017736498,4,4.6018125045018445,2.533626940593728,-4.676803495031902,22.08014678955078,0.645178
s55_n300,300,0.794469,427.699,1403,-9.893203062439781,5.236314964294433,0.41877599631880347,0.29333333333333333,3.624076604701585,2165.710475672033,3,7.6403086504044095,30.55125147265959,-44.40638668637281,18.143878936767578,2.703222
s55_n400,400,0.7958510000000001,731.061,1040,-15.691432082101173,5.194936180114746,0.25419339942144864,0.0275,3.9801103136901688,3491.8424126305167,11,10.996683092731008,40.45691132216418,-57.84695507438048,21.216339111328125,1.809771
s55_n500,500,0.8154338,1118.97,1746,-35.88438538257604,4.725446128845214,0.38518114800930675,0.326,3.7013192683644447,1684.9336613810556,4,3.556845759623118,55.866708283360815,-98.31225527610289,21.766836166381836,2.413252
s56_n300,300,0.8251146666666668,479.453,521,-27.248012791638487,4.79262981414795,0.16621050232462495,0.0,3.2038166928384686,1380.2905828226765,3,2.484413355748812,39.8786035129126,-85.51819525946757,19.0913028717041,3.583494
s56_n400,400,0.77531975,468.431,1212,-12.345796753821467,4.87368221282959,0.2799061519274965,0.035,3.3521658877795826,1914.9084606802958,5,7.059059866750166,33.01969689758046,-32.8909950215874,23.761966705322266,1.376439
s56_n500,500,0.8089292,681.444,93,-25.204777312667517,4.932737922668456,0.4600740428985022,0.266,3.374998762259651,1172.7509982324234,2,1.4961604279331395,87.51822692257704,-123.93512903872897,23.632009506225586,4.339360
s57_n300,300,0.8179860000000001,427.511,287,-6.77786967692694,5.798111534118653,0.21214903801761473,0.03,3.3929722264326787,623.8368748922685,0,1.0770062424484403,50.90454996863543,-51.44218090257941,18.071414947509766,3.392976
s57_n400,400,0.7941957500000001,672.837,2,-5.389006451891994,5.3839826583862305,0.4140122599975232,0.2125,3.806147354999999,1887.558686490969,8,5.9662794523987674,52.80288718755319,-43.92538809096583,19.127119064331055,3.693598
s57_n500,500,0.8009618000000001,1233.59,50,58.56843367085953,10.064497947692868,0.2492072547957246,0.0,2.9711703180614646,1704.4773466285194,1,2.2278357899985877,133.54098895452677,-18.15405066703633,21.909873962402344,1.513167
