protein_id,scRMSD_ca_min,scRMSD_ca_all
s42_n300,16.4438,18.3678;18.1804;20.4615;17.5028;22.2567;16.4438;19.5959;21.0905
s42_n400,19.4079,19.5066;24.0519;21.1250;19.6005;20.7421;21.5440;19.4079;21.0892
s43_n300,8.6882,11.5997;10.5559;8.6882;9.8588;12.8293;11.3000;9.5395;11.6806
s43_n400,10.1790,15.0254;14.8861;10.1790;10.5762;12.2765;13.7926;14.7544;11.2526
s44_n300,16.0111,16.0111;20.1595;20.1634;18.4416;20.0983;18.8196;17.7162;20.9779
s44_n400,4.2750,4.5890;4.9628;13.3978;5.0308;4.8828;7.0093;4.2750;18.4798
s45_n300,15.1614,17.2002;16.4097;17.9251;19.4247;18.8754;20.0886;21.1121;15.1614
s45_n400,7.6995,12.7467;17.4590;14.2127;7.6995;12.9575;12.3906;13.2098;9.7574
s46_n300,7.6757,7.7896;8.0688;8.1723;8.4441;9.1723;8.4132;8.6127;7.6757
s46_n400,2.3929,5.7990;2.3929;6.3719;6.5617;4.8168;4.9301;5.3849;6.9110
s47_n300,3.3988,4.0317;4.1101;3.8844;3.8631;3.9899;3.3988;3.8201;3.9674
s47_n400,5.5706,7.4436;5.8476;6.1995;7.0560;6.4121;7.0024;5.6643;5.5706
