protein_id,sequence_length,swi,tango_total,tango_aggregation_positions,net_charge_ph7,pI,iupred3_mean,iupred3_fraction_disordered,shannon_entropy,hydrophobic_patch_total_area,hydrophobic_patch_n_large,sap_total,scm_positive,scm_negative,radius_of_gyration
s42_n300,300,0.788925,595.57,661,-8.760356106649745,5.456395530700683,0.3394423819247881,0.22666666666666666,3.8804244601557283,2558.8552546556125,5,8.794914767544121,33.180001581653336,-39.68321189789483,18.076208114624023
s42_n400,400,0.8170050000000001,1062.38,889,-27.205964854386878,4.732153129577637,0.3348811690176028,0.0375,3.5606027767177664,2267.449133876597,7,5.681958711966901,46.9850069336662,-78.10705106786381,20.919679641723633
s42_n500,500,0.8104436,1030.14,392,-12.921218443577203,5.32629108428955,0.35913037683365323,0.096,3.652305769442268,2094.629531274879,5,5.86307114892034,59.57938692190744,-72.04355296259767,22.07707977294922
s43_n300,300,0.7841556666666666,601.418,1087,-5.020482489761825,5.68670711517334,0.30244123363341857,0.01,3.8437161265595394,2296.1931667316553,6,10.373214669862273,31.45369946683553,-29.058705049025452,17.69458770751953
s43_n400,400,0.8178525000000001,1082.47,2881,-5.372870986278372,5.594059562683105,0.19398862796938515,0.0,3.476355562542449,2079.755246740675,6,4.893647676502903,66.65961959564459,-63.381658909595984,23.211244583129883
s43_n500,500,0.7914186,577.62,819,-5.120402132787547,6.2152528762817365,0.404692118003919,0.18,3.6452210776923533,1601.0474069473512,1,8.923009407461775,60.68156756703954,-59.502696221562154,21.8575439453125
s44_n300,300,0.808391,747.637,941,-7.237681030625318,5.384380531311035,0.1565852309695787,0.0,3.2418044347108603,1291.3905485380037,1,1.3978500025506295,42.294368842756306,-51.58344375040284,18.393945693969727
s44_n400,400,0.7725839999999999,1429.3,2204,-12.214689831801923,4.103229713439941,0.4383500378700381,0.2325,3.4186687135187643,2133.098693031202,4,8.953871648567956,4.126315991984321,-7.3116465598519405,19.454774856567383
s44_n500,500,0.8122444000000001,1549.93,59,2.731029425906101,8.205294227600099,0.3541002739622055,0.076,3.6759455604289832,1516.2558358011263,1,3.5343118212529476,79.52207385051275,-46.45405501868308,23.691328048706055
s45_n300,300,0.7949143333333333,583.511,500,-18.661161743581935,5.005662345886231,0.2655843330985896,0.023333333333333334,3.6821141580935906,1009.0434018280645,2,3.5403550410392026,34.21042499666692,-59.214911399184146,17.296245574951172
