protein_id,coScRMSD_ca
s42_n300,7.3145
s42_n400,19.6949
s42_n500,18.1059
s43_n300,2.2363
s43_n400,4.0248
s43_n500,3.6733
s44_n300,20.1185
s44_n400,2.6175
s44_n500,2.0329
s45_n300,28.3401
s45_n400,4.1339
s45_n500,21.5012
s46_n300,13.6519
s46_n400,4.0824
s46_n500,15.1723
s47_n300,25.0245
s47_n400,2.7342
s47_n500,15.0807
s48_n300,26.5664
s48_n400,18.3310
s48_n500,9.1067
s49_n300,2.0041
s49_n400,3.2854
s49_n500,30.8595
s50_n300,2.4092
s50_n400,14.9400
s50_n500,51.3362
s51_n300,23.3498
s51_n400,36.8988
s51_n500,23.1755
s52_n300,11.7089
s52_n400,3.3023
s52_n500,12.4397
s53_n300,2.5013
s53_n400,38.5036
s53_n500,3.0655
s54_n300,2.3279
s54_n400,9.6870
s54_n500,19.5800
s55_n300,12.1040
s55_n400,1.3783
s55_n500,10.8409
s56_n300,30.1042
s56_n400,6.9933
s56_n500,15.7454
s57_n300,25.0779
s57_n400,18.1625
s57_n500,20.0692
