pid,co,surfkd,corekd
s42_n300,5.2836,-1.3993,0.4597
s42_n400,1.8949,-2.4637,-0.2869
s43_n300,2.8208,-1.3527,0.4711
s43_n400,6.5533,-2.5793,0.5802
s44_n300,15.2619,-2.8375,0.3140
s44_n400,3.0896,-1.1067,0.1176
s45_n300,3.8582,-2.3859,0.8695
s45_n400,1.5070,-2.0847,-0.0730
s46_n300,1.5961,-1.6847,0.7071
s46_n400,3.7805,-1.5511,0.6005
s47_n300,1.7939,-2.2805,1.1311
s47_n400,3.4082,-1.9800,-0.7273
s48_n300,19.6146,-2.5770,-0.1497
s48_n400,6.4729,-2.2324,-0.2683
s49_n300,1.4417,-0.6231,0.2096
s49_n400,2.5373,-1.1801,0.5536
s50_n300,3.6730,-1.3503,0.6099
s50_n400,7.3536,-1.7967,-0.6000
s51_n300,1.6557,-2.0139,0.6417
s51_n400,17.6574,-2.6396,0.6457
s52_n300,1.3089,-1.6797,0.4904
s52_n400,1.0387,-1.8291,-0.2114
s53_n300,2.8465,-1.7619,0.8771
s53_n400,1.4435,-2.9411,0.1178
s54_n300,2.3644,-2.4160,0.0813
s54_n400,6.7802,-2.2921,0.5280
s55_n300,2.5838,-1.5306,0.7679
s55_n400,1.0920,-1.8235,0.3720
s56_n300,24.0711,-2.9794,-0.0140
s56_n400,9.4369,-1.6601,-0.4573
s57_n300,6.9540,-2.4859,-0.1338
s57_n400,19.9534,-1.9292,0.0505
