protein_id,sequence_length,swi,tango_total,tango_aggregation_positions,net_charge_ph7,pI,iupred3_mean,iupred3_fraction_disordered,shannon_entropy,hydrophobic_patch_total_area,hydrophobic_patch_n_large,sap_total,scm_positive,scm_negative,radius_of_gyration,camsol_ph7
s42_n300,300,0.7937446666666667,522.5,441,-14.745494892938684,4.981789970397949,0.4422672018731571,0.38333333333333336,3.8785894891710058,2225.592097907204,3,7.3888117623096194,28.234365382910976,-44.192785951470896,18.070823669433594,1.965513
s42_n400,400,0.821781,1063.42,164,-40.92314345298236,4.532932472229004,0.4099295369624578,0.1525,3.590061073095086,2115.8319030228026,6,4.954426943791771,34.111892426309254,-92.57695642056359,20.92283821105957,2.715825
s42_n500,500,0.8147964,1081.53,83,-10.97202508820888,5.35022029876709,0.477322567211864,0.374,3.6180881787764827,1580.3885585714008,3,4.534415577009936,58.85923691569688,-61.35468304668008,22.067136764526367,2.732185
s43_n300,300,0.7960486666666666,590.437,621,-14.889885420913892,4.9022722244262695,0.46503541287597766,0.3566666666666667,3.826600652346809,2011.7893680263398,5,7.829016195301702,27.203003560501948,-36.32178704270347,17.674802780151367,1.768144
s43_n400,400,0.8210322500000001,1061.6,2423,-22.355053311845197,4.873511695861816,0.26829070009279815,0.0125,3.5365280600832754,1868.1611156452846,5,4.584407551807491,50.99944087078215,-79.63996810428378,23.203950881958008,2.128783
s43_n500,500,0.7988818,588.729,482,-18.673768284615292,5.470491600036621,0.5380043814676023,0.578,3.7001814063162564,1376.0734575472304,1,9.176462715895315,52.00099477197605,-69.49247963399944,21.860336303710938,3.292879
s44_n300,300,0.8115613333333335,685.627,783,-22.209045152078247,4.752387809753418,0.239545582136604,0.02666666666666667,3.4214378744860623,1128.5445774449129,1,1.2325932237451438,31.932037723455466,-60.946664417195144,18.397294998168945,2.055440
s44_n400,400,0.7756307499999999,1417.44,2218,-12.207696824808917,4.103229713439941,0.4623688886982043,0.31,3.429752638223643,1860.4353201132642,3,8.088309522243865,4.126856141907399,-7.346205934150342,19.451669692993164,-0.981563
s44_n500,500,0.8163810000000001,1579.32,35,7.860276179735109,8.942490196228029,0.42734311807659947,0.254,3.6729392167848167,1377.2137498000218,1,3.014831708239094,86.18721738685487,-44.05620066950055,23.68462562561035,2.427401
s45_n300,300,0.8042456666666667,537.627,115,-45.82321581462304,4.183145332336425,0.4165702087789883,0.22666666666666666,3.7718337669554294,1123.7991488481507,2,4.023240664841165,11.796744654434688,-79.3429764364075,17.297372817993164,2.544454
s45_n400,400,0.80921525,889.181,146,-31.4259390127402,4.987246513366698,0.7843169003780129,0.98,3.746144925530433,938.7861876605502,1,3.0035185344143267,36.151050679660486,-71.7919365849294,19.214799880981445,2.766212
s45_n500,500,0.8112212,750.149,1040,-24.397884294822305,5.353460121154785,0.3973882763929403,0.178,3.7605100642356497,2937.7210668866414,4,8.980756619431071,75.76999408178719,-88.29770225537676,24.037832260131836,3.320978
s46_n300,300,0.8145570000000001,461.122,1228,-41.84656854634258,4.170356559753418,0.5946852225362779,0.6766666666666666,3.5916389760997878,1273.0541557489223,3,3.6928401324741547,14.873252199118877,-76.47849743054493,17.881839752197266,2.471984
s46_n400,400,0.7711595,1795.82,962,-10.395165435589334,4.589828300476075,0.28450635468358626,0.0,3.578890534610037,4767.0222384614135,22,13.939380188940884,16.65317135040175,-13.149167854832488,19.8463134765625,0.709712
s46_n500,500,0.8056597999999999,564.462,42,-1.9591947340111702,6.631939506530763,0.5867355216789211,0.758,3.5593125093659816,665.5795623162522,1,0.7021736429602079,42.733936911547076,-55.000142300496265,23.82920265197754,1.425340
s47_n300,300,0.8098559999999999,525.265,1770,-18.860500075690446,4.802121925354004,0.6390808274543772,0.8266666666666667,3.442581919045061,921.180091269574,2,2.0221491825961304,28.35453722347168,-46.515569472728274,17.282085418701172,2.771742
s47_n400,400,0.7971225000000001,546.877,42,10.60785115777847,10.01285877227783,0.5382165063048603,0.5975,3.546844321433366,561.0038385581161,1,2.050535157525119,126.64647690770832,-80.34807131609838,20.71640396118164,5.508328
s47_n500,500,0.7867438,1042.48,438,2.4487869539653446,8.719622993469237,0.33595382447479544,0.08,2.0933035902007857,761.8716363283634,1,0.7095876237580595,8.991403977358672,-1.85583692400977,23.341548919677734,-3.112432
s48_n300,300,0.8139556666666667,447.188,876,-26.760342930567,4.7191370010375975,0.5096645571887939,0.49666666666666665,3.881323584633928,1125.1630112746361,3,1.9281821566688935,31.63378701189594,-68.26808450379721,18.04779815673828,2.536914
s48_n400,400,0.8267202499999999,1083.04,837,-78.09193106177453,4.0500284194946286,0.5061597010201759,0.545,3.594466733897829,1657.9335934172393,5,4.154600949555228,16.286766808911892,-138.38506558906442,20.542238235473633,3.130297
s48_n500,500,0.7981456,1335.17,2973,82.79016654666144,10.341583061218262,0.3064570243076197,0.05,3.617947690581331,2399.9910902840384,7,8.224348011505262,168.8649542475854,-7.61405480101088,21.494325637817383,1.069501
s49_n300,300,0.7728650000000001,881.065,2231,3.1103025434274034,9.300096321105958,0.4105538785739361,0.18333333333333332,3.5212003423740588,1879.8711966249634,6,6.661125167370222,13.194934146367476,-8.264859611926404,17.380815505981445,0.312414
s49_n400,400,0.7862874999999999,549.586,560,-6.192980904141336,5.367726707458496,0.3576863520092449,0.165,3.9812639741564912,4095.3120770372166,10,12.283647868270632,45.54825858575938,-36.70739673846067,20.29241180419922,1.578253
s49_n500,500,0.7916934,1122.12,2180,119.66610848142413,10.702025794982909,0.1088231030776375,0.0,3.055430357206431,1360.2210060395914,1,1.6262523980032302,190.6780094073463,-6.608962282754421,23.254777908325195,0.440381
s50_n300,300,0.7827753333333333,598.225,1010,-7.8898121111262185,5.394497871398925,0.29458619198402713,0.06,4.0450170713635485,2472.5695938195836,7,9.137489576133273,29.831988613787647,-28.37751930287334,17.89872169494629,0.947116
s50_n400,400,0.81363,909.249,176,-42.10028212150267,4.718909645080566,0.740542248206469,0.9525,3.873977266564806,1142.7546849553444,1,3.681612488656362,19.126044119013997,-86.78229609662097,20.789907455444336,2.848938
s50_n500,500,0.7833211999999999,950.799,6124,-0.20412541214591307,5.57001667022705,0.1733441799719493,0.0,2.22218855911368,9931.07830950115,25,66.34916211378135,0.0,0.0,20.62930679321289,1.133339
s51_n300,300,0.8023626666666667,501.411,1135,-9.131953087578339,5.16594829559326,0.5402380950081391,0.62,3.5136881119352954,1153.2632323729993,3,3.8477254515237824,38.36698900244995,-39.592594501359564,17.413022994995117,2.916109
s51_n400,400,0.7863080000000001,937.454,3801,74.63191560096352,10.233598518371583,0.07812238469138791,0.0,3.4788208582495477,2210.8151962027987,4,5.2546609648705305,142.79043345855257,-14.61306082797387,21.150390625,0.542775
s51_n500,500,0.7860858,1482.34,48,-14.196455888692956,4.6104040145874015,0.5444785610904287,0.608,3.679996211929485,1700.7991072794914,4,6.554873847701934,9.607148389913577,-40.74684660111178,22.855037689208984,0.020065
s52_n300,300,0.8052583333333333,513.69,1678,-30.02654360790378,4.396462059020997,0.5022336921262007,0.5333333333333333,3.6220457702619266,1886.3992602633994,5,5.840234734221422,19.671500823256807,-58.729190856670755,17.578670501708984,2.226339
s52_n400,400,0.8121589999999999,963.577,361,-49.988627517737974,4.333484458923341,0.4326730925012165,0.2825,3.8955692118209617,2028.213269298717,4,4.745123448091319,33.41436041029236,-112.06281417927426,20.677701950073242,2.447934
s52_n500,500,0.7880798,926.294,1,1.2634630212474036,7.522322273254395,0.2012357626982847,0.104,3.4537286221949617,1543.609561462435,1,2.431810469401561,79.77627559503249,-52.86345427443546,23.230920791625977,2.318226
s53_n300,300,0.8156196666666666,480.166,648,-43.85806065533569,4.0500284194946286,0.7699637248052648,0.9933333333333333,3.5623493726876116,840.2056253579549,1,2.6405504532994724,11.88848403547344,-79.22171844362252,17.123144149780273,2.451807
s53_n400,400,0.797963,842.321,1463,147.42899231449948,10.778807640075684,0.18690460226673966,0.01,3.07205321627354,948.9280695212449,1,1.0744547829989066,225.69729309810336,-0.1293467903450876,20.578472137451172,2.097380
s53_n500,500,0.7937829999999999,1230.97,1293,-7.466757833105451,4.657239341735839,0.5034140076197177,0.432,3.309821726270923,1122.484271808393,2,4.205835370755767,13.216572096484638,-17.87110344612982,24.52715492248535,0.435704
s54_n300,300,0.8038156666666667,1038.05,227,-23.055552108620184,4.750625801086425,0.12663873434913436,0.0,3.513384050043968,1365.0126092316048,0,1.7624552654850176,36.24143191434406,-66.13722403230028,18.214330673217773,0.808689
