protein_id,scRMSD_ca_min,scRMSD_ca_all
s42_n300,1.0551,1.1174;1.0588;1.1307;1.0551;1.3894;1.1148;4.1372;1.1792
s42_n400,1.0190,1.0190;7.5110;1.0484;1.6124;1.4578;1.2082;1.1427;1.0593
s43_n300,1.1897,1.2092;2.0578;4.7616;1.1897;2.3743;1.4823;1.3865;1.3548
s43_n400,1.6629,2.0388;2.5891;1.7104;1.6629;2.1552;2.2356;8.1998;2.1723
s44_n300,0.9126,1.0682;1.5212;1.8765;1.6200;7.2424;7.1772;7.3475;0.9126
s44_n400,1.2083,1.7228;1.6251;2.3706;1.8266;1.7495;1.2083;1.8333;2.0094
s45_n300,0.9840,4.4913;1.2608;4.5980;3.2296;4.9819;3.7358;1.0413;0.9840
s45_n400,1.2347,1.3443;1.5787;2.6214;1.4349;1.3085;1.2347;1.7724;1.2908
s46_n300,0.6901,0.8725;0.6901;0.8956;0.7077;0.8229;0.9644;0.8543;0.9837
s46_n400,4.5912,4.5912;4.8794;5.3944;5.0212;5.5619;5.0712;5.0356;5.4040
s47_n300,0.7677,1.0175;0.9882;0.9878;1.0112;0.9128;0.7677;1.7693;0.8051
s47_n400,1.0142,1.0592;1.0648;1.0142;1.3410;1.1708;1.0332;1.2032;1.1094
s48_n300,1.9476,15.3673;13.4054;1.9476;11.6012;13.8078;5.9670;1.9735;15.1361
s48_n400,0.8260,0.9693;1.2270;0.8260;1.1494;0.8665;1.0895;0.9784;16.3004
s49_n300,1.1046,1.5394;1.1324;1.4353;1.1247;1.1046;1.1731;1.3331;1.1546
s49_n400,1.3060,1.3060;1.3236;1.9448;1.4576;1.4272;1.4917;1.9494;1.7634
s50_n300,0.8244,2.0810;1.0848;0.9875;1.2634;1.5539;0.8244;1.1712;1.2700
s50_n400,2.9130,8.3933;10.0902;12.6153;9.2499;2.9130;8.0279;10.3131;9.1741
s51_n300,1.0693,1.1808;1.0693;1.3406;1.2148;1.2112;1.3083;1.2815;1.2737
s51_n400,1.0556,1.1676;1.4413;1.5679;1.4909;1.4289;1.4937;1.7404;1.0556
s52_n300,0.9866,2.0750;3.8238;1.4886;1.4440;1.0036;0.9866;1.0614;1.3206
s52_n400,0.9926,1.0414;1.3516;1.0900;1.1081;1.0547;1.0234;1.2511;0.9926
s53_n300,1.6597,2.1466;2.6479;2.0497;1.8517;2.4667;1.6597;1.9769;2.6872
s53_n400,1.1024,1.2657;1.1024;9.9850;2.3590;1.4556;2.2996;1.4049;2.0515
s54_n300,1.2053,1.6460;1.4585;1.2118;1.5371;1.3705;1.2053;1.3796;1.4780
s54_n400,2.1507,5.5450;6.1924;6.2965;6.3000;2.1581;6.8738;2.1507;6.7171
s55_n300,0.7841,0.8741;1.0686;0.9949;0.8805;1.0640;0.8136;1.0657;0.7841
s55_n400,1.2635,1.2635;1.5588;1.2830;1.5218;1.3503;1.3977;1.5921;1.4466
s56_n300,0.9487,5.4174;1.4189;10.1718;10.8373;2.3464;0.9487;11.8704;2.5700
s56_n400,1.6177,1.7455;2.7939;1.9892;15.0873;2.1236;1.7890;1.6177;14.7370
s57_n300,0.8941,1.0771;0.8941;0.9647;1.4499;0.9770;1.0857;0.9564;0.9311
s57_n400,2.4011,2.4011;2.7139;4.9791;8.8635;3.1109;3.9836;4.0994;2.9598
