protein_id,scRMSD_ca_min,scRMSD_ca_all
s42_n300,inf,inf
s42_n400,0.8513,1.1213;0.8513;1.1490;1.2758;1.0578;1.0531;0.9169;0.8904
s43_n300,1.0146,1.4845;1.8253;1.1140;1.1728;1.9986;1.0146;2.1544;2.0927
s43_n400,1.0914,2.6522;1.4989;1.7056;1.0914;2.9663;1.2846;1.7219;1.3200
s44_n300,0.8170,0.9656;0.8170;0.8356;0.8804;1.2140;0.8953;0.9288;0.9018
s44_n400,1.7721,2.4850;2.3260;1.7721;2.6859;1.8112;2.2409;2.2917;1.8907
s45_n300,0.8129,0.8914;0.8129;0.9966;1.0417;1.0410;0.8252;1.1095;1.0572
s45_n400,0.9110,1.1016;1.2151;1.3934;1.4812;0.9794;0.9110;1.0402;1.0205
s46_n300,0.8922,0.8922;1.1870;1.8526;1.1092;1.6459;1.2978;1.8381;1.8363
s46_n400,1.4051,4.8280;5.1860;4.8420;6.0333;4.0371;4.9385;5.3191;1.4051
s47_n300,0.8723,0.8831;1.0247;0.9634;0.8916;1.1768;0.9173;1.0212;0.8723
s47_n400,0.8949,0.9332;0.9052;1.0499;0.9809;1.1604;0.9552;0.8949;1.0875
s48_n300,4.6669,7.6155;4.6669;13.7724;6.4239;5.7252;11.6485;11.2559;8.2936
s48_n400,0.8552,1.1095;1.0931;1.7892;0.8552;0.9508;1.1360;0.8891;1.2811
s49_n300,1.2870,1.3545;9.3501;1.4001;1.4453;1.2890;9.2178;1.7597;1.2870
s49_n400,1.1049,1.3644;1.1602;1.6811;1.2835;1.2613;1.4761;1.6084;1.1049
s50_n300,0.7620,0.8889;0.7620;1.1708;0.9448;1.8897;0.8831;1.3764;0.8508
s50_n400,6.4204,6.6461;8.4582;8.1670;9.3065;6.7694;6.4204;7.9131;9.4574
s51_n300,0.5179,0.7084;0.6538;0.5423;0.6119;0.6104;0.5179;0.6130;0.6902
s51_n400,0.6202,1.0427;0.9108;1.2203;0.6202;0.6535;0.6801;0.7037;0.7551
s52_n300,0.5667,1.5765;0.9816;0.9310;0.8033;0.5667;0.7606;0.7012;0.6861
s52_n400,0.6788,0.8791;0.8519;0.7581;0.7576;0.7189;0.7330;0.6788;0.8655
s53_n300,0.6362,0.7079;0.9166;0.7277;0.6362;0.8364;0.7688;0.9463;0.8803
s53_n400,inf,inf
s54_n300,0.8217,1.0647;1.3611;0.8972;0.9760;1.0999;1.1587;1.2489;0.8217
s54_n400,4.2852,9.3457;5.6848;6.9577;4.8819;5.6489;6.1368;4.9159;4.2852
