protein_id,sequence_length,swi,tango_total,tango_aggregation_positions,net_charge_ph7,pI,iupred3_mean,iupred3_fraction_disordered,shannon_entropy,hydrophobic_patch_total_area,hydrophobic_patch_n_large,sap_total,scm_positive,scm_negative,radius_of_gyration,camsol_ph7
s42_n300,300,0.8111473333333333,614.488,908,-72.91856332616224,4.0500284194946286,0.46917962011876624,0.42333333333333334,3.678462097228839,3356.34096259782,10,9.377972595889615,0.862774750983379,-91.3168148339457,18.081045150756836,1.875291
s42_n400,400,0.839145,1014.25,189,-153.70106315986666,4.0500284194946286,0.7930617837041675,0.9525,3.4593284832558577,1880.6260116109704,5,3.0147490331659865,2.106995625991493,-205.92392067197576,20.93414878845215,4.466721
s42_n500,500,0.8306614,1060.1,97,-169.40426422957904,4.0500284194946286,0.783066652005149,0.976,3.440237942428725,1967.0297696861917,3,4.7092629275065425,0.9859435828495343,-238.6997115763862,22.106210708618164,4.287398
s43_n300,300,0.821039,567.435,757,-83.96463656467557,4.0500284194946286,0.6915069311251131,0.8933333333333333,3.6563415057468958,2162.936158403629,5,6.276905003091629,1.473458313275551,-102.55173548915474,17.69325828552246,2.340531
s43_n400,400,0.819478,1170.28,2048,-138.0762523531302,4.0500284194946286,0.48788531486053444,0.4675,3.423929313416365,3465.2450050028892,10,6.803367772384256,1.3280983076421582,-204.59794261204237,23.209381103515625,2.490837
s43_n500,500,0.8106712,585.619,819,-121.09811514954579,4.0500284194946286,0.5647223627835174,0.648,3.7317027200270076,3210.2266423053134,8,13.475779908291347,5.924251044142294,-145.23661243303775,21.845849990844727,2.292393
s44_n300,300,0.8452063333333334,577.783,247,-128.0893548386301,4.0500284194946286,0.8302758294909409,0.9733333333333334,3.040205358596266,956.8058163460029,0,0.546503776467945,0.020168195278343515,-163.75198298237274,18.413753509521484,4.518234
s44_n400,400,0.7908182499999998,1207.89,1548,-62.80428852548948,4.0500284194946286,0.5845066898463724,0.75,3.421653643968832,1863.0178326821783,5,4.44329699952314,0.20212144622417066,-55.71974867417605,19.46302032470703,0.521731
s44_n500,500,0.8150550000000001,1645.18,1593,-104.79836621038213,4.0500284194946286,0.47015014033476493,0.348,3.589265661204636,2866.5510671306283,7,5.933792403513691,13.444757787613602,-135.4545785912286,23.686494827270508,1.761758
s45_n300,300,0.8518746666666668,449.271,6,-125.40857933944177,4.0500284194946286,0.9025631702424793,1.0,3.3442330435921472,943.2458190186263,2,1.6445707001939918,0.0673748198600244,-151.41469998366466,17.293615341186523,4.807510
s45_n400,400,0.83751925,939.768,25,-138.26807274414114,4.0500284194946286,0.887008541802468,1.0,3.5471656824916216,1542.5775369860264,2,2.7744065081911424,0.4221999057411101,-168.15106292576996,19.240453720092773,3.718670
s45_n500,500,0.8059441999999999,1223.21,9058,-76.5151289240585,4.2153730392456055,0.3597725989844186,0.184,3.743938036665278,4990.794989446668,14,18.840902163036567,33.133294912125024,-105.15203436599231,24.044126510620117,1.178901
s46_n300,300,0.8367943333333333,513.185,651,-106.7569123032941,4.0500284194946286,0.7559841303959685,0.8933333333333333,3.335717243022884,1563.7852048224643,4,3.997832524186461,0.11446631368066267,-134.7577144454927,17.87994956970215,3.270949
s46_n400,400,0.7737079999999998,2047.83,1785,-54.36694695698174,4.0500284194946286,0.19521197912095428,0.0,3.5493163245769908,5865.149401487315,22,20.18030090154814,0.022995469819554276,-30.072549340669532,19.829553604125977,-0.239036
s46_n500,500,0.8081442,678.434,292,-79.916041946937,4.0500284194946286,0.4717926150148023,0.296,3.5657116499410426,2002.5606993214572,3,3.720006253206539,10.660136567557783,-139.77330374775613,23.815441131591797,1.687884
s47_n300,300,0.8384166666666667,554.262,1188,-103.09157948680989,4.0500284194946286,0.820705185134134,0.94,3.349571541865669,1620.5046410325401,3,2.647922661094354,0.11969009482392166,-132.7805014411815,17.30693244934082,3.329312
s47_n400,400,0.841556,920.948,23,-140.9888063000803,4.0500284194946286,0.9453124849600097,1.0,3.2895468511346015,671.0567603301225,2,1.875775206445716,0.48389485432618734,-197.54730875047647,20.702072143554688,4.518424
s47_n500,500,0.799515,1011.88,364,-40.250122964618576,4.0500284194946286,0.4024394122542865,0.244,2.2471629974741285,943.243228186131,2,0.7107412763184513,9.195715930780969e-05,-35.231188770239626,23.338871002197266,-1.040118
s48_n300,300,0.8563553333333335,355.709,760,-141.37181817826476,4.0500284194946286,0.9507996809383849,1.0,3.302962243464224,1100.058077154629,3,1.35457459969858,0.013359920962483302,-184.46116689409925,18.056373596191406,5.720552
s48_n400,400,0.8680632500000001,608.406,11,-209.8098951923053,4.0500284194946286,0.9600510364608801,1.0,3.054912554325653,990.8915050787916,2,0.9596423041814306,0.015004530516583334,-294.58449840762466,20.60685157775879,6.973013
s48_n500,500,0.8044975999999999,1445.1,4340,-111.98059485418527,4.0500284194946286,0.4109194638302692,0.264,3.673029380567227,4085.638521780195,10,14.202998962788985,6.4457803153889515,-143.33031803110657,21.49252700805664,1.135067
s49_n300,300,0.7842923333333334,869.752,1473,-45.905596578387865,4.0500284194946286,0.4144061670241524,0.19666666666666666,3.416896104125478,2169.4771169693527,5,7.522570474417199,0.07129203243148316,-35.0141859644868,17.38334083557129,0.921753
s49_n400,400,0.79112925,629.64,800,-66.2040256348609,4.0500284194946286,0.30452215705132646,0.075,3.8471438977338446,5480.124829684545,16,19.501916235813724,7.271844582263656,-77.74196121452813,20.28877067565918,0.866264
s49_n500,500,0.825542,997.894,1443,-215.76070456140764,4.0500284194946286,0.5037680286473131,0.478,2.9666546544611587,1920.5685407023846,1,2.5538679003039833,0.6533737677275008,-285.51549576352545,23.270862579345703,4.051705
s50_n300,300,0.798858,683.405,383,-69.10940919468814,4.0500284194946286,0.37552940124231576,0.12666666666666668,3.762926096841348,3222.198833600234,12,8.558198339020278,0.21899748433787236,-80.98308158031921,17.90532112121582,1.602294
s50_n400,400,0.8391215,716.71,41,-142.3815715890845,4.0500284194946286,0.8397685229786148,0.99,3.536017421635062,1358.1467426959007,1,2.3052068376076846,1.5112803878826775,-191.8834756436315,20.801651000976562,4.227412
s50_n500,500,0.7981421999999999,928.222,2816,-64.13553889796141,4.0500284194946286,0.38300126244355115,0.034,2.4036109504076224,7809.596292156348,20,44.97565643027529,0.0,-121.99995794511241,20.625574111938477,2.270238
