protein_id,sequence_length,swi,tango_total,tango_aggregation_positions,net_charge_ph7,pI,iupred3_mean,iupred3_fraction_disordered,shannon_entropy,hydrophobic_patch_total_area,hydrophobic_patch_n_large,sap_total,scm_positive,scm_negative,radius_of_gyration
s42_n300,300,0.7952746666666667,176.66,90,2.3159531046717063,8.801884651184086,0.4399345822864052,0.31333333333333335,3.2885700164002936,2839.883192922447,7,11.546341532002852,33.26611290353403,-25.225217598016414,18.04664421081543
s42_n400,400,0.8037234999999999,355.921,74,-6.346545650617536,6.02188663482666,0.47733283562511164,0.4775,3.4425405919581604,2436.100876962769,8,6.610237201606502,45.11603883585741,-60.25617602324032,20.913631439208984
s42_n500,500,0.7912954,326.69,446,18.050034018806492,9.618892478942868,0.43927913510795774,0.338,3.2899822904552947,3215.364705966267,10,10.865785899520176,64.70418346514381,-38.270828294767924,22.048240661621094
s43_n300,300,0.7894553333333334,124.555,262,6.428131748277462,9.808429527282716,0.3505068431703603,0.17333333333333334,3.256351308299539,3426.4589337613115,11,16.94736209619429,32.09067661751982,-21.82019780797704,17.695388793945312
s43_n400,400,0.79845925,257.956,544,15.098896196907909,9.564545631408691,0.382898913016441,0.22,3.2166495950294554,2963.1937664761745,9,8.601558613176367,58.33031485628946,-37.559606881975526,23.241636276245117
s43_n500,500,0.802414,183.867,591,-2.0897937881779427,6.714867591857909,0.5371986731458895,0.64,3.3885136631942956,2463.506262758514,6,12.020989736724989,61.10573040350852,-57.50707802496749,21.86907196044922
s44_n300,300,0.7753796666666668,295.911,697,6.966118006300622,9.817068290710449,0.28266372794535527,0.09666666666666666,2.928476397701919,2459.47397408191,7,5.459781158242492,24.854320465127387,-11.10187471080156,18.391103744506836
s44_n400,400,0.78150475,363.857,161,-5.020098738498206,5.201017951965332,0.4939746455773183,0.435,3.3649416033111774,3570.2585318845177,10,16.708359036161568,18.57803446839349,-14.897122466584136,19.46247673034668
s44_n500,500,0.8091644,268.256,118,15.171158242943491,9.320855140686035,0.49775056517120697,0.488,3.174343753762714,2102.1737635250106,2,8.124375229055069,86.30659033012915,-40.458986903043595,23.701129913330078
s45_n300,300,0.8063723333333334,152.358,18,-33.52606335763089,4.87027187347412,0.5022560604543783,0.4766666666666667,3.2733803802301704,1127.9800500260376,3,4.7734436569620655,17.87649052483026,-64.48636253736836,17.31307601928711
s45_n400,400,0.8068887499999999,221.107,428,-16.393345143899808,5.95589656829834,0.5755076538146081,0.675,3.4356170116251996,2561.381924311691,9,9.769776808261318,44.772452798494825,-62.092027168826846,19.198036193847656
s45_n500,500,0.8038337999999999,316.857,169,12.966446764354487,9.131318092346195,0.5190724149994432,0.596,3.681595192107428,3573.613058581612,5,11.453757786739098,92.6493206601026,-56.566535523690895,24.00928497314453
s46_n300,300,0.8099066666666668,89.5884,49,-11.713336880580272,5.215511894226074,0.5561668160118597,0.6866666666666666,3.3464199658482476,2774.5929323235487,10,10.93233115252022,26.004187118308124,-43.840327881026376,17.916719436645508
s46_n400,400,0.7814509999999999,351.085,506,-5.038701490849451,5.148157691955565,0.4979759730934679,0.4575,3.5866591848119604,5407.756714836855,19,23.894324420083144,23.452217069619604,-14.752201854874471,19.844879150390625
s46_n500,500,0.808549,345.869,122,17.952609508639178,9.611800956726075,0.6440018162464084,0.736,3.357673181848214,1710.7836354620401,6,4.635684087828314,68.63778983082359,-47.74446650934591,23.828067779541016
s47_n300,300,0.8054343333333335,93.3319,397,6.792660837214328,10.23218021392822,0.5461836760841051,0.6033333333333334,3.1754809842216236,2020.1744103101503,7,7.8242919957792605,53.40200688685907,-26.632396240681572,17.30124855041504
s47_n400,400,0.81393925,262.456,124,-1.237069829106062,6.807060432434082,0.6323675482263554,0.8425,3.3471999899094356,951.7620795290985,1,1.5030460355348343,93.80210960706641,-69.01999239515573,20.671037673950195
s47_n500,500,0.7912049999999999,336.473,56,8.49588370136761,10.121745872497556,0.6478532682119453,0.892,1.617047442122447,1530.4461660460474,4,4.5520786240311155,24.197420295028905,-6.0742697491574145,23.311809539794922
s48_n300,300,0.8052613333333334,184.046,914,-15.374349900960148,5.748491096496582,0.48202286576644515,0.44666666666666666,3.45733272466162,1067.2608842700276,1,3.0620036773567225,37.76792718807632,-57.98967501611672,18.04209327697754
s48_n400,400,0.8168989999999999,254.192,115,-53.387170331927116,4.847706794738768,0.5033159998968771,0.5075,3.3342157452467913,2401.077837234863,9,6.286302645326481,30.909279932978173,-113.65126187993124,20.534963607788086
s48_n500,500,0.7951699999999999,327.676,1267,31.27588523506868,9.896235466003418,0.48459621221576266,0.454,3.158019929386034,3170.275460323989,8,12.96878270026996,86.44155811578311,-15.52943565624535,21.50766372680664
s49_n300,300,0.79057,186.513,29,8.942404670087056,10.11529903411865,0.6480458011390369,0.8633333333333333,3.292022423234177,3369.4219699471005,17,14.477358659900172,20.001147603813294,-6.841446550633513,17.37592887878418
s49_n400,400,0.7912207499999999,237.552,153,1.0643726787196428,7.788183784484862,0.36598602470678243,0.105,3.5529674742618718,4786.0889708175655,16,16.972724869667523,50.5179568225048,-33.50448952228066,20.28814125061035
s49_n500,500,0.7581334000000001,385.803,1308,22.550615303093302,10.675078010559083,0.11695558863585159,0.0,2.5792265425958845,2203.8228778243897,6,8.378382365792547,31.211646399784208,-4.386270401994167,23.29041290283203
s50_n300,300,0.7959446666666666,146.125,644,-6.191168456871306,5.248023796081542,0.4035584034521186,0.26,3.474298490883035,3453.343076331048,12,14.013274824564958,33.55227498608432,-28.325510154061547,17.892648696899414
s50_n400,400,0.8053145,288.315,164,-24.139777327877887,5.701655769348145,0.5883563659225611,0.695,3.44583892218943,2163.1663226761893,5,5.7177182520834995,34.031621843957865,-74.3442012152178,20.801692962646484
