protein_id,sequence_length,swi,tango_total,tango_aggregation_positions,net_charge_ph7,pI,iupred3_mean,iupred3_fraction_disordered,shannon_entropy,hydrophobic_patch_total_area,hydrophobic_patch_n_large,sap_total,scm_positive,scm_negative,radius_of_gyration,camsol_ph7
s42_n300,300,0.7989456666666667,388.342,284,-30.622449638374764,4.487915992736816,0.47197538210198126,0.49333333333333335,3.820890675200567,2329.283566043624,2,7.173279434565578,19.068094523318265,-54.51834628704586,18.0675048828125,2.638530
s42_n400,400,0.8285035000000001,838.695,93,-67.49892540040432,4.302279853820801,0.4893572461349331,0.4325,3.5651462156647473,2032.6013615799855,7,3.836882069020304,24.79300246027567,-116.7161986758021,20.923112869262695,3.684918
s42_n500,500,0.8195897999999999,945.171,214,-65.94095335210764,4.28335247039795,0.5009484928214946,0.49,3.6276377616741593,2098.5654630295658,7,5.001207632519054,30.827747569419806,-128.00717027307869,22.08219337463379,3.579088
s43_n300,300,0.8014196666666668,414.266,451,-32.60885670623634,4.453983116149902,0.5202764234583646,0.48,3.7800025269360447,1940.1032087517558,5,7.678957596511736,18.51446160242929,-56.30243513274584,17.70211410522461,2.625978
s43_n400,400,0.824973,791.91,1965,-49.208448678169866,4.482061576843263,0.2991229608610614,0.04,3.5175546699651963,1782.206865610221,4,3.3853201481980806,36.77323255207454,-109.02541767101653,23.198110580444336,3.124347
s43_n500,500,0.8058342000000001,420.33,436,-57.3589175833894,4.563568687438965,0.5448279365519998,0.546,3.6285555805131606,1781.6534537713874,2,10.556353712018504,33.64907050939555,-97.52685026571655,21.85940933227539,3.527667
s44_n300,300,0.8169123333333335,385.116,149,-40.25866528644785,4.3581525802612315,0.3952727807074705,0.22333333333333333,3.244979086993153,1107.6071540124938,1,0.7463780597288262,23.977434248284226,-76.07991432681794,18.413986206054688,3.081740
s44_n400,400,0.7813159999999999,1300.02,1772,-12.607692170791019,4.634787940979003,0.5542112606627769,0.63,3.5332006670841802,1483.981720830538,5,4.159051012219546,6.787533825963882,-9.959546716448589,19.465898513793945,-0.208559
s44_n500,500,0.818423,1391.87,194,-12.117931367188461,5.299747276306152,0.4187397861646354,0.21,3.672945316742434,1689.2266665471968,4,4.030719477272194,72.81709466252234,-54.358792707140495,23.681793212890625,2.499577
s45_n300,300,0.8046883333333334,389.872,116,-44.37499748263449,4.386401557922363,0.43885838276201944,0.36333333333333334,3.638138161219825,1141.2266715842195,4,3.61530546528927,14.739616940467977,-78.25270186646952,17.291425704956055,3.167704
