protein_id,sequence_length,swi,tango_total,tango_aggregation_positions,net_charge_ph7,pI,iupred3_mean,iupred3_fraction_disordered,shannon_entropy,hydrophobic_patch_total_area,hydrophobic_patch_n_large,sap_total,scm_positive,scm_negative,radius_of_gyration
s42_n300,300,0.78781,505.915,430,-7.764856269656313,5.553817558288574,0.3421842942158091,0.15333333333333332,3.799509569843464,2679.031466142712,6,8.850337969538828,33.328331178128416,-39.57502833876902,18.07573127746582
s42_n400,400,0.808454,880.654,454,-29.040899640494686,4.664230537414551,0.3171116878431566,0.035,3.611086221764775,2655.3011694683305,10,6.780055500953577,34.047355509073604,-71.41235273319285,20.90982437133789
s42_n500,500,0.8033826,892.243,77,8.039728171645436,8.832829475402832,0.3456111049642267,0.06,3.696583287808221,2355.8996158833393,7,5.760263376448234,70.06868416764263,-45.255808050716034,22.069353103637695
s43_n300,300,0.7849016666666667,509.644,1052,-9.100904993230152,5.166573524475095,0.3055975421365807,0.0,3.8072374815510623,2450.042915124515,6,10.131873076515136,28.16909276740176,-35.094835531413196,17.694976806640625
s43_n400,400,0.816248,864.176,2325,-9.369985743322204,5.3141275405883786,0.20441780737879126,0.0,3.4820358429760496,2194.6654967641216,7,5.287895345482286,58.24081529794008,-65.01821300442064,23.21661376953125
s43_n500,500,0.7944387999999999,418.489,130,1.6571155756528384,7.472474479675294,0.4507765448115514,0.284,3.5874523824151003,1779.0646264202996,2,10.785287735798438,62.525978912864545,-57.686474213036284,21.861042022705078
s44_n300,300,0.8036583333333334,723.18,877,-6.244805114581318,5.442640495300293,0.1233596781513541,0.0,3.271879619380462,1566.7993468412278,1,2.1981856915860183,41.14132999256144,-49.80536785857573,18.401689529418945
s44_n400,400,0.7735639999999999,992.089,1385,-6.202610059573068,4.702540016174315,0.4500808380490643,0.34,3.418346045030399,1964.786168828277,2,10.22948081146573,9.846896235184905,-7.824462417155956,19.455890655517578
s44_n500,500,0.8074572000000001,1361.48,66,13.88335128668227,9.120938682556151,0.30996960230708237,0.024,3.7035438781723906,2063.760043015579,3,5.522837922590222,90.195398372872,-40.230464551416546,23.69510841369629
s45_n300,300,0.7928786666666667,404.161,496,-14.675204053547986,5.154978370666503,0.2943054289679221,0.02666666666666667,3.6673185144361984,973.8198317304527,2,4.251293864281537,35.058929547524855,-55.78489130860723,17.301218032836914
s45_n400,400,0.80679575,380.988,6,-20.71785371851616,5.693641471862793,0.640814795610928,0.8475,3.5627700784748924,1540.727338092849,4,5.47713434400184,44.61719387318486,-67.4342929419027,19.209476470947266
s45_n500,500,0.8083417999999999,698.593,661,-15.412555544281886,5.767077445983887,0.3931288213987292,0.196,3.7823572219479016,2980.6574807993115,5,8.930848453059498,78.86714840197882,-82.22169325577575,24.028139114379883
s46_n300,300,0.8075926666666667,231.173,111,-21.192039113608217,4.955075645446777,0.5239724075118457,0.52,3.5590441663680603,2073.472812555512,8,7.666807781006849,24.822674295100118,-55.75677034856328,17.885473251342773
s46_n400,400,0.76535275,1575.5,1164,-14.48687456823344,4.29813060760498,0.23016011088127325,0.0,3.5693041279049433,5518.139716413298,25,16.48379016373982,13.030072337026542,-14.727770750987517,19.838743209838867
s46_n500,500,0.8063309999999999,564.577,42,-0.9593712751349557,6.795635795593261,0.5778246508109737,0.752,3.5480517030668226,678.6610913154631,1,0.1784842087485824,46.30266391592407,-54.768317512446465,23.825340270996094
s47_n300,300,0.8042326666666668,321.466,795,-1.5294744556814877,6.5801591873168945,0.5643577893932041,0.7066666666666667,3.404677910988548,1599.8240551254803,6,5.504927939152172,43.83908731169896,-29.21061259356679,17.297651290893555
s47_n400,400,0.812392,317.917,2,-2.4951712574918474,6.631257438659668,0.5981733759067396,0.7875,3.313266182240145,625.5747374314071,1,1.291864720430437,113.98243146785245,-89.83475268652839,20.71271324157715
s47_n500,500,0.7889204,806.773,354,6.4961073614386,10.079325675964352,0.38529481902882357,0.158,2.0455742561454526,1095.1001593926926,4,1.7093601146525048,17.59183175299219,-1.585101196038252,23.3251953125
s48_n300,300,0.7955803333333333,431.915,1141,-9.507290969391057,5.651125907897949,0.26943933457568153,0.043333333333333335,3.8136658344204974,1402.5571064494811,3,2.403238664857103,49.37063678799447,-53.420620292001715,18.072816848754883
s48_n400,400,0.8134935000000002,783.97,495,-58.770493911448334,4.298926353454591,0.34162013218962883,0.0075,3.674622713496567,1988.6686497043613,4,4.9252646500303845,23.379861055756045,-114.45870805020223,20.52461051940918
s48_n500,500,0.7938678,1291.28,3972,62.71916388753685,10.045092964172362,0.2057998599845928,0.006,3.6029817435586495,2972.1651533623576,7,11.664192427047796,148.39177373007578,-11.391747141899142,21.50780487060547
s49_n300,300,0.771887,877.034,1908,4.117219524328259,9.519417762756348,0.39517067621247415,0.09333333333333334,3.539712514396048,2089.5185309752083,6,6.864161847793255,13.434347186323746,-9.374054217493143,17.3890323638916
s49_n400,400,0.7839637500000001,543.811,571,-5.20190289304135,5.4931135177612305,0.31904277138063913,0.1075,3.9642001372111304,4253.274381761136,11,12.78671311106773,47.34971735102159,-36.53541631516956,20.287593841552734
s49_n500,500,0.8104198000000001,846.986,2856,-24.20091766730539,5.0465295791625975,0.07867878222423347,0.0,3.0738523662245294,1334.1171991572617,0,1.6468567956910343,73.88081701876729,-99.11970696436343,23.26003074645996
s50_n300,300,0.7809723333333333,528.067,1014,-6.811549911871637,5.6262304306030275,0.27365534018477833,0.05333333333333334,4.032470620495925,2554.9078464818567,8,9.726102811847921,32.82835231617224,-29.730809757076255,17.90198516845703
s50_n400,400,0.8076429999999999,679.352,235,-39.31583496868632,5.073414421081542,0.5914536521596038,0.7675,3.835639697297617,1676.3118381660165,1,5.060690331558396,24.282594603377845,-87.30209945294322,20.79039764404297
s50_n500,500,0.7930505999999999,299.32,1188,15.869865222197866,11.124551582336426,0.36260040929158605,0.014,2.502205801370207,8281.745844503033,23,50.858501484623346,22.84616114960254,-0.7209243363700016,20.627405166625977
s51_n300,300,0.79719,270.26,126,2.111145883600841,9.457528114318851,0.4569240456076192,0.36666666666666664,3.45227076943864,1536.8171996169112,2,5.38701063183913,43.4376125044765,-27.708267175549473,17.475963592529297
s51_n400,400,0.7989237500000002,768.179,3395,-9.384502895476686,5.291107749938964,0.10484061424414576,0.0,3.4334764601248025,2054.8862025623575,3,3.7190867291183483,63.328164957748626,-68.33016053815479,21.147184371948242
s51_n500,500,0.7727366,828.872,261,18.725637894683206,9.907130622863768,0.4046783193082645,0.23,3.5850047422321882,3178.4188411143914,11,13.4237907228837,23.3508608914775,-3.767739769999828,22.84728240966797
s52_n300,300,0.8019649999999999,226.875,237,-16.261509049770993,5.2397253036499025,0.5107948358180383,0.5633333333333334,3.5177324957517997,1959.238483313236,4,6.802388637515208,31.410151653473125,-46.285009232678696,17.566680908203125
s52_n400,400,0.8091615,770.517,846,-39.922883110184614,4.52963581085205,0.33520675449242954,0.09,3.9004530799361112,2141.2725349440957,5,5.22774243376395,39.822961245730085,-96.13158281572977,20.65886878967285
s52_n500,500,0.7893904,816.296,0,-5.701826300823697,5.5993455886840815,0.1882723593190997,0.108,3.5116996110594454,1242.1194415547814,1,1.6105630357514973,92.49641726205583,-83.2625450531583,23.25969696044922
s53_n300,300,0.8058883333333333,312.68,3,-35.27189677578809,4.383104896545409,0.5804884786815703,0.7133333333333334,3.5443772028257,1735.0481701070794,6,5.705401460830149,19.909715426069727,-71.88799276615113,17.134563446044922
s53_n400,400,0.8102795,693.896,1979,10.604908564416988,8.996192359924319,0.09969468904896925,0.0,3.172576006744181,1147.3994623772346,1,1.7011484588344663,85.91459392931938,-55.5296049861476,20.586788177490234
s53_n500,500,0.7917928,1117.25,1127,15.488863032338852,10.176157188415527,0.4553505845843307,0.292,3.153239323480038,1593.4623280271603,2,4.521732359878384,31.0110685372696,-3.65100015307339,24.498374938964844
s54_n300,300,0.7984563333333333,885.867,198,-12.066535515059087,5.138949775695799,0.10094797048455753,0.0,3.4802802840791314,1392.6254395352278,1,1.9670874687271394,39.06837228232903,-53.469716272090594,18.201868057250977
s54_n400,400,0.7912625,792.15,1285,-19.306466349962776,5.195788764953612,0.324689075360653,0.1,3.8194155816998965,1185.6286245987021,1,3.912318506467847,51.4942557850507,-72.17214500593784,21.554241180419922
s54_n500,500,0.7920073999999999,887.369,60,-2.526164039718151,4.0500284194946286,0.5117800166141935,0.54,2.5762581281468897,2567.1630873514864,7,7.700356995030906,0.6896902162384876,-2.0211857030216582,22.04527473449707
s55_n300,300,0.7992696666666668,309.714,769,-8.72002378428359,5.449404335021971,0.45629638527020194,0.2966666666666667,3.5868009755940657,2327.2472962771863,4,7.596707201944568,29.311315282614636,-40.73129201349081,18.144006729125977
s55_n400,400,0.79307225,675.313,1050,-15.695735704183953,5.175156211853026,0.2309674630908592,0.0,3.9891959560529227,3536.887833975364,10,11.537781523593818,38.522783482946004,-56.948648079338994,21.21919059753418
s55_n500,500,0.8111546000000001,1059.74,1791,-32.993224229968796,4.736131858825684,0.336884134427951,0.22,3.6970676912794387,2030.4911161535733,4,5.354014482118049,54.36212304823583,-87.76859686211881,21.76946258544922
s56_n300,300,0.8214416666666667,609.274,769,-24.263912979305303,4.827301597595214,0.16198254684654456,0.0,3.2371943021727088,1472.446415204769,4,2.6843417334874955,40.17918215497037,-84.37419514142977,19.092994689941406
s56_n400,400,0.76902,469.786,1254,-10.37095681407527,4.871465492248535,0.22663193430401024,0.0,3.2729266337699654,2258.667726033563,4,10.266073077455951,28.873685797764743,-22.200968411217325,23.763721466064453
s56_n500,500,0.7995916,905.533,186,-41.11516423874228,4.58550853729248,0.4161336738878818,0.204,3.463471434243973,1362.6341130751039,1,2.5928820578294043,67.43577864129108,-124.32845578145695,23.631906509399414
