protein_id,sequence_length,swi,tango_total,tango_aggregation_positions,net_charge_ph7,pI,iupred3_mean,iupred3_fraction_disordered,shannon_entropy,hydrophobic_patch_total_area,hydrophobic_patch_n_large,sap_total,scm_positive,scm_negative,radius_of_gyration,camsol_ph7
s42_n300,300,0.7884180000000001,594.395,661,-7.763166568622957,5.558819389343261,0.332710159414358,0.19,3.877535133079308,2637.998050888563,6,9.089367510645985,33.21152515280876,-36.842239944042205,18.077360153198242,1.736347
s42_n400,400,0.8169545,1054.0,987,-31.20114639051566,4.643143272399903,0.33235351342936825,0.04,3.5582054214100545,2270.144458233829,7,5.600550530415329,40.71461177958075,-80.11158788701556,20.917360305786133,2.282302
s42_n500,500,0.8105542,1022.09,395,-10.012902794738366,5.447414970397949,0.36004312926008963,0.084,3.6494025341314056,2080.5686460691913,5,5.88928199964165,61.56238433209994,-70.1876266386469,22.073684692382812,2.050128
s43_n300,300,0.7859006666666666,608.107,951,-7.9331565418663885,5.397339820861816,0.32063524937353066,0.013333333333333334,3.8854865016425384,2297.434333098701,6,10.507162325111276,29.487167841772408,-31.704113052810005,17.692691802978516,1.181021
s43_n400,400,0.81842325,1083.35,2897,-2.378790211289413,5.983975028991699,0.18964968594758014,0.0,3.441902754679102,2090.521313892686,6,4.840548107309907,69.46100119910984,-60.64788706104074,23.211456298828125,1.890917
s43_n500,500,0.7921832,564.971,685,-7.116582669915331,6.03302707672119,0.41035106781169745,0.184,3.665164814550932,1613.2830139033879,1,8.831807432390018,58.538741930597354,-60.042675287058444,21.85529327392578,3.224112
s44_n300,300,0.806319,727.761,689,-6.417528571140068,5.319129371643067,0.13594814506345138,0.0,3.233005096619859,1380.739541739336,2,1.9279865746121208,42.73465238094237,-50.67785164891471,18.399356842041016,1.674272
s44_n400,400,0.7725839999999999,1429.3,2204,-12.214689831801923,4.103229713439941,0.4383500378700381,0.2325,3.4186687135187643,2111.205319164581,4,8.942857021823873,4.148413925767535,-7.384568615497764,19.45462417602539,-0.826263
s44_n500,500,0.8112461999999999,1552.67,60,3.9031462804355783,8.384903144836429,0.33611919708833793,0.054,3.673457980562244,1617.8254478687463,2,3.990411698526423,80.33485684702595,-47.84517183590969,23.690153121948242,2.076131
s45_n300,300,0.7960866666666667,547.532,64,-20.749304933135512,4.887607765197754,0.27852177641083037,0.016666666666666666,3.7068046322979544,989.1033397319873,2,3.507488917248652,33.330252473203494,-60.30300643325165,17.29535675048828,3.010473
s45_n400,400,0.8045817500000001,839.704,201,-28.4312680793918,5.112292289733887,0.6530333838818894,0.82,3.7194483526904945,1106.744230575155,1,3.1406224921317802,40.841689605320376,-71.5523621007979,19.223676681518555,2.749694
s45_n500,500,0.811345,749.195,1040,-24.397884294822305,5.353460121154785,0.39406634843897714,0.178,3.752236641610291,2885.945632594573,4,8.369449148349425,75.90211296802592,-87.09580545472585,24.03609848022461,3.316993
s46_n300,300,0.805834,489.892,1263,-38.95188501346183,4.23395938873291,0.41802519653058695,0.2833333333333333,3.582262589017899,1551.3329728700328,4,5.300466254311121,16.333660193284107,-72.29867082985685,17.894638061523438,2.308539
s46_n400,400,0.7697350000000001,1863.82,1418,-10.396164436588329,4.589828300476075,0.2572413152758681,0.0,3.5666910252938755,5256.9159535609,24,15.293310450179906,15.453186318220327,-13.09289774116956,19.846519470214844,0.550987
s46_n500,500,0.8067624,560.169,42,-3.9544410512229007,6.385542488098144,0.5787630358156848,0.758,3.543146006860238,679.27950027154,1,0.1722082849501423,43.87721166066417,-56.11600346452727,23.825206756591797,1.508143
s47_n300,300,0.7990386666666668,579.418,2775,-15.776857049143445,4.969512748718262,0.37178160083759393,0.16666666666666666,3.434359308209314,1789.6054064746775,6,5.007496039097367,32.019699297768206,-47.741248113478036,17.29132652282715,2.529855
s47_n400,400,0.79727975,482.278,42,8.594970959720698,9.432772254943849,0.47394627179384174,0.4225,3.482135689122851,612.321204082919,1,1.8610609165837917,127.37175701416612,-88.5199855086171,20.729379653930664,5.780395
s47_n500,500,0.7859014,1193.94,629,1.4553420978278169,8.319080924987794,0.2826070547321798,0.036,2.1542772115565842,976.7638209651768,3,0.9404705947273274,13.16554021562985,-4.32836910437014,23.336929321289062,-3.325223
s48_n300,300,0.8018850000000001,516.968,797,-13.72256698755502,5.243306159973144,0.21545442179470398,0.0,3.8620142411577745,1884.2251981038598,6,3.287007109968875,45.650318381262075,-62.05083843467805,18.06931495666504,1.949039
