protein_id,coScRMSD_ca
s42_n300,5.2830
s42_n400,2.0758
s42_n500,7.5156
s43_n300,1.2821
s43_n400,2.3277
s43_n500,2.0061
s44_n300,0.7690
s44_n400,3.0172
s44_n500,1.6289
s45_n300,1.8816
s45_n400,0.7985
s45_n500,19.8375
s46_n300,0.7928
s46_n400,3.7651
s46_n500,15.3754
s47_n300,0.6041
s47_n400,1.2090
s47_n500,5.1178
s48_n300,7.9692
s48_n400,3.9038
s48_n500,8.8321
s49_n300,1.5333
s49_n400,2.8169
s49_n500,0.7599
s50_n300,1.4830
s50_n400,9.0205
s50_n500,26.0863
s51_n300,0.6710
s51_n400,2.1380
s51_n500,7.4002
s52_n300,0.9319
s52_n400,1.1089
s52_n500,8.8261
s53_n300,1.2213
s53_n400,0.8984
s53_n500,3.1665
s54_n300,0.4723
s54_n400,1.3326
s54_n500,24.6616
s55_n300,1.8263
s55_n400,1.0187
s55_n500,0.8609
s56_n300,1.2428
s56_n400,7.8874
s56_n500,14.8934
s57_n300,2.5377
s57_n400,12.4599
s57_n500,16.1431
