protein_id,coScRMSD_ca
s42_n300,5.3143
s42_n400,2.0615
s42_n500,2.9518
s43_n300,2.5992
s43_n400,2.2048
s43_n500,2.1269
s44_n300,0.7305
s44_n400,3.0174
s44_n500,1.7894
s45_n300,0.8582
s45_n400,0.7000
s45_n500,20.0185
s46_n300,0.7630
s46_n400,3.7742
s46_n500,16.8184
s47_n300,1.0908
s47_n400,1.5462
s47_n500,4.9055
s48_n300,2.3918
s48_n400,3.3060
s48_n500,9.0082
s49_n300,1.5331
s49_n400,2.8260
s49_n500,0.8997
s50_n300,1.7093
s50_n400,10.0645
s50_n500,26.5600
s51_n300,1.2566
s51_n400,1.9580
s51_n500,4.1239
