protein_id,scRMSD_ca_min,scRMSD_ca_all
s42_n300,4.1891,5.4947;5.0600;4.9370;4.9135;5.6172;5.2155;4.1891;4.5595
s42_n400,0.9367,1.0225;0.9391;0.9677;1.0528;1.0070;1.1191;0.9367;1.1953
s42_n500,1.7443,3.5561;5.5677;1.8954;2.8504;1.7443;4.3904;6.0325;5.1859
s43_n300,0.7936,1.6378;1.1567;1.0441;1.2733;0.7936;1.9624;1.3109;1.2122
s43_n400,1.0322,1.3493;1.2630;1.5867;1.0322;4.1932;2.2411;1.0455;1.4409
s43_n500,1.0836,1.4236;1.2949;1.2397;1.0836;10.1135;1.2894;1.1052;13.0362
s44_n300,0.4795,0.5774;0.6262;0.9983;0.5248;1.0748;0.7280;0.4795;0.7634
s44_n400,1.5921,2.2737;2.2320;2.1621;2.4550;1.6716;2.9942;2.5856;1.5921
s44_n500,1.6271,1.7172;2.3381;1.6271;1.9517;1.8048;1.6834;2.0612;2.0097
s45_n300,0.4931,0.5984;0.5292;0.5851;0.5543;1.2033;0.5880;0.7407;0.4931
s45_n400,0.7947,0.8707;1.0849;1.0260;0.9603;1.3772;0.9997;0.7947;0.9798
s45_n500,12.3685,15.2808;20.1290;17.9656;20.3158;19.4828;20.0169;15.0051;12.3685
