protein_id,sequence_length,swi,tango_total,tango_aggregation_positions,net_charge_ph7,pI,iupred3_mean,iupred3_fraction_disordered,shannon_entropy,hydrophobic_patch_total_area,hydrophobic_patch_n_large,sap_total,scm_positive,scm_negative,radius_of_gyration
s42_n300,300,0.7892896666666667,493.23,369,-12.752615420764478,5.130878639221191,0.3654322416986393,0.2833333333333333,3.7942133272819043,2526.6347797243493,4,8.108419268970826,34.1577640762487,-46.39230964048855,18.078205108642578
s42_n400,400,0.8124442500000001,949.227,680,-23.958484599589156,4.849411964416503,0.31284007328231556,0.0175,3.5824288698951494,2636.4894979075048,9,7.1960185402840455,45.73708795229628,-71.31200912144251,20.92008399963379
s42_n500,500,0.8073769999999999,977.043,103,20.019862932248365,9.31144275665283,0.34402414646052554,0.046,3.652890695382286,2240.765383811419,5,5.802642363744671,92.1638692949279,-35.37849364047528,22.066913604736328
s43_n300,300,0.7866286666666668,489.115,921,-9.840063128600754,5.294972801208496,0.374125198936937,0.10666666666666667,3.83379027210913,2234.675801804261,5,9.216482817607696,28.9350660680039,-33.651062958000196,17.693897247314453
s43_n400,400,0.8128805,980.066,2309,12.671417910407968,9.204102897644042,0.18828660627602306,0.0,3.5002894653327905,2288.146177237355,8,5.360125435877885,78.25571948255195,-46.57516396032058,23.213226318359375
s43_n500,500,0.7924228000000001,478.505,565,-2.1156336684163364,6.575953102111817,0.4158615967305278,0.214,3.6262040566434766,1518.1669301013426,1,8.797660866538614,61.31412243023876,-62.148257313991884,21.86294937133789
s44_n300,300,0.7988856666666667,625.954,400,6.550435586214775,9.054665184020994,0.12052158763491065,0.0,3.144436149781688,1630.9739560417293,2,2.956361037488915,48.50997412942792,-37.159857341703564,18.402124404907227
s44_n400,400,0.7755292500000001,1399.8,1726,-11.214689831801921,4.199060249328612,0.45562679003620715,0.2525,3.454754980745192,1966.744347083194,3,8.112186022553175,5.1507285137284216,-7.043379745921397,19.45550537109375
s44_n500,500,0.8114049999999999,1499.51,49,18.882714684952987,9.284559440612792,0.35031294672354707,0.06,3.6612622567407644,1503.5743347629045,2,3.207588482552618,96.56592551003936,-38.43299946490171,23.691673278808594
s45_n300,300,0.7977040000000001,424.511,59,-28.736922324502842,4.66997127532959,0.32929155975671187,0.05,3.632231232520027,970.496932808909,2,3.3714745183456487,28.224583509406106,-67.93173711196633,17.295862197875977
s45_n400,400,0.8021809999999999,771.716,163,-10.521612825073603,5.97692699432373,0.6229480226542763,0.805,3.639108288268516,1021.3553530537888,1,2.9215196025592993,53.970994718923265,-61.988331673332354,19.216136932373047
s45_n500,500,0.8106586,744.164,983,-21.39960399555568,5.483166694641112,0.38792892033802295,0.164,3.7329025600997943,2909.69012042142,4,8.285901571863937,77.39335101030682,-87.29180029771518,24.034574508666992
s46_n300,300,0.8030403333333334,411.122,935,-36.789916365032525,4.286649131774904,0.43608304051048064,0.2833333333333333,3.6078825438291897,1902.5669983784321,6,6.727259555865432,17.91771527927222,-68.16369275601963,17.89920425415039
s46_n400,400,0.7703064999999999,1798.84,924,-10.48233962384392,4.526339149475096,0.27757772817968474,0.0,3.564830017942323,4994.266987225793,23,15.390068899486852,14.892032158986407,-13.153705792844452,19.84689712524414
s46_n500,500,0.8062882,556.681,39,1.0406087250650415,7.334639930725097,0.5797054304157652,0.764,3.554891376312179,675.5290951555725,1,0.1684574261880445,48.850684830870144,-54.828710969260655,23.82400894165039
s47_n300,300,0.796085,442.209,1672,0.12576479589615985,7.068917655944825,0.38996680415476975,0.18,3.346364699572127,1625.8785549985432,5,5.1341761712274305,46.46942895143045,-28.779976349673845,17.298137664794922
