protein_id,sequence_length,swi,tango_total,tango_aggregation_positions,net_charge_ph7,pI,iupred3_mean,iupred3_fraction_disordered,shannon_entropy,hydrophobic_patch_total_area,hydrophobic_patch_n_large,sap_total,scm_positive,scm_negative,radius_of_gyration,camsol_ph7
s42_n300,300,0.7884180000000001,594.395,661,-7.763166568622957,5.558819389343261,0.332710159414358,0.19,3.877535133079308,2638.0904914109547,6,9.079391982022802,33.08371156918554,-36.68982322283352,18.076908111572266,1.736347
s42_n400,400,0.8169545,1054.0,987,-31.20114639051566,4.643143272399903,0.33235351342936825,0.04,3.5582054214100545,2271.161544052622,7,5.5500049364116695,40.54260203061449,-80.52435432704725,20.91829490661621,2.282302
s42_n500,500,0.8087172,1019.84,393,-5.026955104604411,5.871888542175292,0.3510617644144876,0.072,3.646086605449096,2171.5395532636317,5,6.353396447920939,63.43863777229401,-64.505185685746,22.07379913330078,1.912543
s43_n300,300,0.7841746666666668,602.574,1081,-6.936088763780447,5.498854255676269,0.3052257394475694,0.006666666666666667,3.863685776342154,2397.026652323854,6,10.93162721185866,30.314168229225597,-31.019883416682564,17.696334838867188,1.136027
s43_n400,400,0.8177712500000002,1031.48,2871,-2.378790211289413,5.983975028991699,0.18624449962573433,0.0,3.4308936916592208,2108.429960980036,6,4.99350846385793,69.56517936609306,-60.33233033216783,23.213088989257812,1.925887
s43_n500,500,0.7924467999999999,546.457,557,-7.115583668916329,6.03302707672119,0.42126522270925765,0.208,3.6568557740051846,1585.356454190993,1,8.758973311948345,57.87508718006216,-60.190490120817856,21.85453987121582,3.278462
s44_n300,300,0.8060086666666666,696.798,661,-5.417528571140068,5.406775093078613,0.13231894478840434,0.0,3.193433492706769,1442.080121097113,2,2.085773704830636,42.76381769113861,-50.01857090139352,18.39927864074707,1.687366
s44_n400,400,0.7725839999999999,1429.3,2204,-12.214689831801923,4.103229713439941,0.4383500378700381,0.2325,3.4186687135187643,2131.9851028395715,4,8.953651514310238,4.133351297959828,-7.391077359758086,19.454437255859375,-0.826263
s44_n500,500,0.810278,1559.48,61,7.716567054934572,8.785703086853026,0.33210773331824917,0.054,3.6630518142469883,1654.3461731069106,2,4.1722048156410265,85.08153346294426,-45.977830281452476,23.687471389770508,1.981221
s45_n300,300,0.794998,561.162,501,-19.66774166892735,4.94382152557373,0.2683441944895343,0.02666666666666667,3.725450885727836,990.4759740548368,2,3.5531934727093595,32.203727450803136,-59.93968022372219,17.298107147216797,2.737654
s45_n400,400,0.80496375,828.752,189,-27.4312780792918,5.151397514343261,0.6534303926801798,0.815,3.718023827720108,1136.9793151808403,1,3.075276976886799,41.20411025755922,-71.34293359077719,19.222707748413086,2.866299
s45_n500,500,0.811345,749.195,1040,-24.397884294822305,5.353460121154785,0.39406634843897714,0.178,3.752236641610291,2885.902888724754,4,8.365821777469826,75.89916736331624,-87.84587993238492,24.034793853759766,3.316993
s46_n300,300,0.8058236666666666,473.314,1263,-37.86752128718044,4.272837257385254,0.4200261899738491,0.24666666666666667,3.5878683176038044,1635.7972457342755,4,5.452308685629081,18.333316108276232,-71.34508070863222,17.899045944213867,2.308050
s46_n400,400,0.7698665,1836.27,1367,-10.483338624842915,4.526339149475096,0.2662155478919644,0.0,3.5560146150141514,5225.205416574931,24,15.33884503993669,14.949074073414563,-13.157433797824334,19.84612274169922,0.643785
s46_n500,500,0.8065935999999999,559.733,42,-2.955561812162742,6.50024356842041,0.5801385225562956,0.758,3.5498405707822633,679.2162245527218,1,0.15705762037998713,44.029947575273,-55.79122427726226,23.824718475341797,1.488259
s47_n300,300,0.7988933333333333,536.032,2734,-14.776867049043446,5.024021339416504,0.38562369883911546,0.21,3.3982237381426055,1676.7912811804806,4,5.068969695455576,32.6946480792117,-45.272787562481284,17.292221069335938,2.604117
s47_n400,400,0.7971227500000001,481.679,42,8.594970959720698,9.432772254943849,0.4631839361507562,0.39,3.4735298174929796,642.0548922664206,1,1.8402038562754601,128.29756056175884,-88.7335746823909,20.728960037231445,5.773595
s47_n500,500,0.785974,1145.33,632,1.4535306368536078,8.328622245788573,0.2854537864449263,0.038,2.125254498320819,980.2984010893615,3,0.9310761557267706,12.463832364304551,-4.034605462707951,23.33553123474121,-3.317781
s48_n300,300,0.8027533333333334,500.563,797,-13.634393798301431,5.293665504455566,0.2264866766226272,0.0,3.857082802377447,1855.5258465285885,6,3.2856665518580415,45.89849776424782,-62.03092058095162,18.068700790405273,1.977328
s48_n400,400,0.8220100000000001,1041.29,1244,-59.04057862320711,4.273178291320801,0.3896470451095897,0.15,3.6516406663093934,1899.1309444138815,5,4.4977386092215745,24.08048124562377,-117.8832623261112,20.530683517456055,2.650735
s48_n500,500,0.7950738,1468.08,4458,61.71656352251763,10.016404533386229,0.2091043725168302,0.004,3.617135458303058,2861.8014810319855,7,11.341070657042655,150.9160097659743,-11.667465910721,21.499109268188477,0.419379
s49_n300,300,0.7707376666666668,894.748,2226,6.193535508868935,9.846981620788572,0.38465918047729536,0.08666666666666667,3.5088228021947443,2021.9621859464557,6,6.769241463325491,13.99774691632942,-7.68178629072739,17.386510848999023,0.289656
s49_n400,400,0.7849842499999999,643.448,575,-6.197280970093928,5.391655921936036,0.32281041326850984,0.1225,3.9765143863370214,4241.911578239995,11,12.501538339447064,46.62554147984859,-37.39931615792087,20.294010162353516,1.538404
s49_n500,500,0.8069529999999999,1000.18,3427,-2.264757058166765,6.186151313781737,0.06706387903968988,0.0,3.0719037337897914,1365.948354290062,1,2.232159016318445,88.25435164219292,-82.03809727011001,23.247901916503906,0.963694
s50_n300,300,0.7789733333333334,585.598,1040,-5.89973310102523,5.671872138977051,0.2408999523129347,0.04666666666666667,4.03606277961561,2577.5200102515305,9,9.676746658531005,34.39003794074496,-28.847878281321904,17.910863876342773,0.800271
s50_n400,400,0.8082162500000001,840.313,406,-48.09518891958383,4.613871192932128,0.5820856095663904,0.715,3.863710700322972,1579.7516185437587,2,5.293346006554618,18.682680862495996,-93.38144979072167,20.804872512817383,2.984958
s50_n500,500,0.783019,949.704,5790,-0.20412541214591307,5.57001667022705,0.1570290986980279,0.0,2.186037479625029,9904.79858980801,25,65.42114700829327,0.0,0.0,20.613691329956055,1.139573
s51_n300,300,0.799659,500.204,1356,-7.208477248386416,5.299519920349121,0.40638998759443967,0.21666666666666667,3.4722261871458664,1459.9637398453447,5,5.32458679789756,41.1773774320746,-41.20335172363862,17.42031478881836,2.996863
s51_n400,400,0.7964555,890.11,4560,-0.41761950654850466,6.696622276306152,0.07224061543610623,0.0,3.438589664332036,2322.368561568488,4,4.6451263253965696,72.49472368879293,-57.44573164815602,21.15713119506836,0.985186
s51_n500,500,0.7814861999999999,1602.26,54,-9.397866328205037,4.675598335266113,0.4768345001821161,0.34,3.6541166672285685,1882.4626229531077,4,7.895274517135642,9.06398888657429,-34.39089059957976,22.852642059326172,-0.532531
s52_n300,300,0.7919683333333334,550.479,1361,-15.06218759800123,4.880048179626464,0.31318816967954005,0.03333333333333333,3.6757077579529867,2241.3982156051843,6,6.369394336702735,35.64928668498787,-46.95686613765926,17.58818244934082,2.033541
s52_n400,400,0.8082095000000001,937.527,1118,-35.01221841843332,4.605231666564941,0.29313872211527103,0.0575,3.909976327674159,2247.087368234512,4,5.42508769173217,41.3597492398758,-90.38758466392241,20.6873722076416,2.048070
s52_n500,500,0.7894312000000001,873.233,0,-13.751974528774298,5.104277992248535,0.1602769810272784,0.098,3.4334004609043065,1362.5390088229242,1,1.8091571934594814,71.8537894597712,-69.30346609542282,23.257091522216797,2.272779
