protein_id,sequence_length,swi,tango_total,tango_aggregation_positions,net_charge_ph7,pI,iupred3_mean,iupred3_fraction_disordered,shannon_entropy,hydrophobic_patch_total_area,hydrophobic_patch_n_large,sap_total,scm_positive,scm_negative,radius_of_gyration
s42_n300,300,0.7889123333333333,587.11,630,-6.7582763443109,5.689605903625488,0.3516424363951032,0.2633333333333333,3.8590251361916863,2374.1369103361812,4,8.174301208828066,36.60199015523276,-36.47943017771347,18.07876205444336
s42_n400,400,0.81659425,1064.51,892,-27.203042632372814,4.745112419128417,0.32103837224280496,0.03,3.6022904811405616,2324.92063256718,7,6.021410283947594,45.19995517334469,-81.88506187601882,20.918851852416992
s42_n500,500,0.8104268,995.109,379,-8.08495871292645,5.5471105575561515,0.3628260867219271,0.086,3.665083951712203,2050.739305010452,5,5.685074398327003,63.931622171026454,-65.73533018097812,22.07329750061035
s43_n300,300,0.7832316666666667,605.689,1073,-1.1948708658710103,6.38616771697998,0.29186942596706944,0.0,3.8043921500348983,2262.328910329536,4,9.433993019919207,35.72524102764118,-29.070305796415187,17.697372436523438
s43_n400,400,0.8194817499999999,1110.98,2669,-0.37576622913452695,6.728452110290529,0.19061224535463328,0.0,3.479879582998211,2031.6205392468505,5,4.607929318651949,73.60760168933929,-60.61268406697461,23.20863151550293
s43_n500,500,0.7935473999999999,533.225,558,-10.19759411327719,5.757642173767089,0.4241846926150316,0.2,3.6176721903836158,1618.3247182227608,1,8.649083395750349,58.91002664978094,-65.49749368003799,21.852991104125977
s44_n300,300,0.8097876666666667,672.889,633,-5.324733458939058,5.50141201019287,0.16020318378422288,0.0,3.2272074406330407,1115.8617271792534,1,0.9653830197440102,46.34556208752431,-51.96320158189809,18.396814346313477
s44_n400,400,0.7727849999999999,1432.82,2204,-12.214689831801923,4.103229713439941,0.43943648652328876,0.2375,3.4125420009968312,2121.742948979228,4,9.019651929339435,4.06066069315944,-7.280461953735676,19.454565048217773
s44_n500,500,0.8139603999999999,1564.0,35,7.811705449156108,8.781641578674318,0.36210341004323676,0.076,3.671882680834848,1469.966350634154,1,3.4469846383846408,88.7038550569762,-43.50714059334195,23.688350677490234
s45_n300,300,0.7963560000000001,573.607,500,-20.742715007890105,4.907558250427246,0.26092881174488697,0.016666666666666666,3.650617292573912,1015.8341267912843,2,3.5577985645559664,33.59719625546021,-59.94753576493858,17.29494857788086
s45_n400,400,0.80458775,812.645,177,-22.601876992228767,5.29798526763916,0.6508021651529218,0.7975,3.695264519821248,987.4212330874333,1,2.5759669895862443,44.536887377426225,-72.18775999659735,19.2202091217041
s45_n500,500,0.8116002,747.711,1040,-25.396763533882464,5.3141275405883786,0.39585556243897657,0.18,3.750185490967639,2898.7779062943773,4,8.592653777195942,75.30749658664921,-88.00314786971708,24.037961959838867
s46_n300,300,0.8095926666666667,475.183,1242,-41.84975785125533,4.217646598815918,0.46159046210063726,0.42,3.5184925003938967,1546.7791993288959,4,5.188659875330705,16.815730033581605,-74.22280191790372,17.895042419433594
s46_n400,400,0.770045,1798.29,1199,-8.482359623643923,4.663377952575684,0.273112209768056,0.0,3.5591944912041313,4989.766590398731,23,14.519721602723433,19.555833841729168,-13.070696320087924,19.84859275817871
s46_n500,500,0.8078065999999999,560.554,42,-5.94544072520975,6.193426704406738,0.5772037113787487,0.758,3.541191083131813,678.4426638184977,1,0.165247451772788,43.632969816816605,-56.986947356029944,23.82854461669922
s47_n300,300,0.8012009999999999,541.47,1903,-10.854521970691358,5.256435966491699,0.4079268798248858,0.24333333333333335,3.358271432420526,1545.2325045273412,4,4.0268567922171,38.03462610287055,-38.47304215715442,17.291458129882812
s47_n400,400,0.7979310000000001,492.203,28,8.685524550042018,9.432836723327636,0.4621177721421414,0.3975,3.4792820928307933,648.4525660908428,1,1.8239548917125228,128.20854490335788,-87.66367667135214,20.725173950195312
s47_n500,500,0.7863191999999999,1164.25,627,2.4533440958298156,8.65225353240967,0.2855130722930889,0.038,2.1629395331758987,986.9059975331461,3,0.8998870433585817,14.909063055270124,-3.8218157360958616,23.33287239074707
s48_n300,300,0.8051926666666667,449.816,793,-8.699173064317591,5.6158857345581055,0.2945970580615617,0.09666666666666666,3.847916548360618,1292.8619632574653,4,1.820484584368491,50.43987232465558,-54.45634488562582,18.067705154418945
s48_n400,400,0.82484475,1022.54,956,-57.129283773496326,4.317455863952637,0.40581459117904223,0.14,3.6380733121577893,1835.8548289320167,5,4.697031887389948,27.38480453413326,-111.03565158561142,20.532047271728516
s48_n500,500,0.797807,1379.92,4172,62.63306923506936,9.980431175231931,0.21524944439918098,0.002,3.617989872532276,2825.577280900989,7,11.341849916746414,157.60076280346084,-13.95877505571366,21.4968204498291
s49_n300,300,0.7707376666666668,894.748,2226,6.193535508868935,9.846981620788572,0.38465918047729536,0.08666666666666667,3.5088228021947443,2023.63162179128,6,6.785436032017522,13.61816505183203,-7.121293961785199,17.386133193969727
s49_n400,400,0.7854800000000001,639.992,574,-7.194470508120716,5.299178886413574,0.32341540714823763,0.1225,3.9735025671292674,4263.1607147795985,11,12.654599665902307,46.54086068041223,-38.58662554979283,20.29526138305664
s49_n500,500,0.810575,980.675,2948,-2.1603676987031974,6.283687019348145,0.0724065784993734,0.0,3.079612312924884,1069.5658429608636,0,1.6446493743619957,87.94860040623817,-80.74440859945022,23.253036499023438
s50_n300,300,0.7797353333333332,581.706,1042,-5.982007065067762,5.5811571121215815,0.2557960450167488,0.04666666666666667,4.012076081794064,2500.433982646812,8,8.781585748433256,36.81453562736835,-31.237678685581,17.909494400024414
s50_n400,400,0.8107622499999999,825.852,316,-48.9093303938172,4.67048282623291,0.6160498424372239,0.7925,3.8414232902647623,1439.2143271595112,2,4.739101209556535,22.62761812314285,-97.77131278260939,20.800865173339844
s50_n500,500,0.7833935999999999,950.901,6125,-0.20412541214591307,5.57001667022705,0.16996583797195033,0.0,2.2123746286567094,9908.025313392905,24,66.43106925358747,0.0,0.0,20.623231887817383
s51_n300,300,0.8005546666666667,495.644,1332,-8.288509690549255,5.181976890563964,0.41499625781429766,0.28,3.427784329875253,1193.2918462485027,4,3.5704396189592873,44.21056980778087,-44.793623662920155,17.42483901977539
s51_n400,400,0.8010107500000001,846.968,4146,8.569525240305325,8.864999198913573,0.08321051633797405,0.0,3.40652092438277,2076.3151205212093,3,3.984547046158004,87.38695495228748,-52.10394805958842,21.155784606933594
s51_n500,500,0.7849372,1473.88,63,-7.308880116744895,5.023282432556152,0.4855723785003254,0.384,3.7360418614246975,1834.9297988947135,4,6.866627517463327,18.41962613865348,-40.06255899560142,22.854290008544922
s52_n300,300,0.79372,535.386,1326,-13.134990632850233,4.9543367385864245,0.32825791942333254,0.043333333333333335,3.6283707099932463,2138.785975984881,5,5.393174577653803,37.17183695645593,-47.7633168333985,17.592805862426758
s52_n400,400,0.8101484999999999,968.255,757,-30.921072464990758,4.707769203186035,0.3363372671068451,0.1,3.913626940605002,2188.6983501408517,4,5.297547429946197,46.02613835728177,-87.13554741486614,20.677135467529297
s52_n500,500,0.7895947999999999,874.607,0,-13.751974528774298,5.104277992248535,0.1601713735789005,0.094,3.422460647244575,1361.2067681373671,1,1.8190077093107078,71.69387225849906,-69.48125181338943,23.255393981933594
s53_n300,300,0.8136140000000001,466.45,692,-47.74744376989642,4.094362831115721,0.5989245906252965,0.77,3.4815785988455743,1342.8613634990506,3,3.1963075626921347,15.058220044471337,-89.98018788691313,17.124698638916016
s53_n400,400,0.8107470000000001,837.888,1976,49.53334179015153,9.74067325592041,0.0762399267875675,0.0,3.1447172931140295,1312.4088180308709,2,1.6898562301863007,132.47302678354845,-33.92338978698126,20.551355361938477
s53_n500,500,0.7984294,1108.59,1263,-7.449709203120253,4.884481620788574,0.4834345584244074,0.38,3.295008085948266,1244.2388428002355,2,4.116653343131547,23.066329360409213,-28.522217251631037,24.523996353149414
s54_n300,300,0.8001103333333333,1087.16,210,-7.986110813915815,5.488850593566894,0.08701118871940686,0.0,3.477271437152735,1352.7567064517368,1,2.049932446204766,45.469127699396815,-56.46530295922066,18.214168548583984
s54_n400,400,0.7936510000000001,869.7,926,-25.65214596728162,4.9043184280395495,0.3481654105662591,0.1325,3.779890087136497,1097.8136117174845,1,3.627124672361697,50.71123595661183,-83.98041501878942,21.54048728942871
s54_n500,500,0.7936572,1642.36,116,-5.509829665697513,4.0500284194946286,0.532354362559807,0.558,2.6545850068661165,2022.4439488535256,5,5.484399449978624,0.7917053591616073,-5.734297719443187,22.09389305114746
s55_n300,300,0.794695,519.079,1628,-12.80289011144734,5.08017826080322,0.38955684899122334,0.17333333333333334,3.7021090786209605,2290.544455684365,4,7.902247722219582,30.86115652797914,-50.21077252837781,18.14051055908203
s55_n400,400,0.7939912499999999,885.675,1081,-11.801016410711249,5.347094154357909,0.23893493305417593,0.0,3.9878662845774175,3581.170679431354,8,11.75550814503891,44.06151114474354,-56.49577561132894,21.21048355102539
s55_n500,500,0.8161024,1165.69,1774,-34.054487115860326,4.731130027770996,0.38475231128188764,0.31,3.689407698948007,1639.848922199115,4,3.896422813856304,57.66187170949895,-95.44000829384913,21.77397918701172
s56_n300,300,0.8241396666666668,583.009,451,-17.2697388086319,5.032660865783691,0.13778241374967937,0.0,3.2624211182077736,1436.8714047805115,3,2.459407999693871,45.92099206271363,-72.32705881833772,19.089540481567383
s56_n400,400,0.7719675000000001,479.275,1230,-15.35759520424358,4.672017478942871,0.25032012268904796,0.03,3.3170535839700612,2142.356498832635,5,9.399909620874276,27.855889088668416,-30.066394523505608,23.75803565979004
s56_n500,500,0.8057272000000001,885.187,158,-27.205813292724415,4.874875831604004,0.39716034094751845,0.162,3.4755287227696727,1395.038054262054,1,2.372463685343497,85.22173570389901,-122.28888960594712,23.630762100219727
s57_n300,300,0.8133053333333333,612.233,270,-5.89613247455533,5.8286340713500975,0.15755393133570886,0.01,3.4882425659920835,587.0051058520551,0,1.0754540587133394,52.63204855138562,-47.272529645570835,18.067031860351562
s57_n400,400,0.7831097499999999,752.661,1,12.541604458152968,9.969987297058104,0.4429378272781061,0.2425,3.8216385024731987,1874.2485208370258,8,5.988568745440458,58.16620826659457,-20.891814654914352,19.12761688232422
s57_n500,500,0.7972716000000001,1320.32,243,77.48351279277473,10.208455848693848,0.2194418037651774,0.0,2.970615779220163,1651.084569331992,1,1.999207533309687,157.25303857607972,-9.939897154911435,21.91155433654785
