protein_id,sequence_length,swi,tango_total,tango_aggregation_positions,net_charge_ph7,pI,iupred3_mean,iupred3_fraction_disordered,shannon_entropy,hydrophobic_patch_total_area,hydrophobic_patch_n_large,sap_total,scm_positive,scm_negative,radius_of_gyration
s42_n300,300,0.7884180000000001,594.395,661,-7.763166568622957,5.558819389343261,0.332710159414358,0.19,3.877535133079308,2629.410647240656,6,9.054477450732417,33.03282565993733,-36.93641272911148,18.07822036743164
s42_n400,400,0.81631925,1044.5,886,-25.214386240406498,4.758242225646971,0.3338701059959985,0.035,3.555548403767851,2242.7929353499994,7,5.642382472058069,44.67594909324232,-73.38623646175111,20.917400360107422
s42_n500,500,0.8083948000000001,997.087,416,0.8797997224890821,7.487707328796388,0.35234133044248506,0.062,3.6344040824864936,2083.3441954370282,4,5.852283016104432,71.04825869494142,-57.13532759266891,22.073135375976562
s43_n300,300,0.785318,594.78,1029,-7.846794813587017,5.474072456359862,0.3299214465072831,0.02,3.8681088317910333,2307.781763207511,6,10.014597962459845,30.58972401396689,-32.09217392497565,17.694610595703125
s43_n400,400,0.81699,1079.4,2894,-0.3844111352358368,6.715890693664551,0.18295397640894975,0.0,3.44245272825999,2210.0935693948873,7,5.316904732888514,70.24548991911499,-59.6357558235829,23.215471267700195
s43_n500,500,0.7910432,534.769,564,-0.12405505443597065,6.9656980514526365,0.4091278118685024,0.192,3.6505502832345647,1571.3398233196751,1,8.59971164821963,61.60086699118288,-60.58764106260241,21.85674285888672
s44_n300,300,0.8011233333333333,722.522,681,-1.4333923419803298,6.042405509948731,0.11058927564406669,0.0,3.189792722133618,1668.273952229665,2,3.104303909161389,43.38039391245255,-44.46686368827297,18.398941040039062
s44_n400,400,0.7725839999999999,1429.3,2204,-12.214689831801923,4.103229713439941,0.4383500378700381,0.2325,3.4186687135187643,2138.588494618545,4,9.020058212595554,4.1837965851752745,-7.064510419973396,19.454484939575195
s44_n500,500,0.8102442,1556.69,60,8.716445294993733,8.857907676696776,0.3397416450864523,0.056,3.659641521686382,1617.0643549081524,3,4.0673824287586156,85.9679050239746,-45.67116571475618,23.688589096069336
s45_n300,300,0.7945960000000001,574.046,496,-19.666752667828355,4.94382152557373,0.2753761633202405,0.02666666666666667,3.7040544436572325,991.8151911349642,2,4.090727151364369,31.378719139848442,-58.265910962807055,17.30012321472168
s45_n400,400,0.8037354999999999,830.407,189,-26.5212627295196,5.1498628616332995,0.638465600532856,0.8,3.717230861355208,1205.8168420081352,1,3.5969140274327662,40.42657752835973,-69.93403137519135,19.222993850708008
s45_n500,500,0.8114414,749.152,1040,-25.396763533882464,5.3141275405883786,0.39296265043897743,0.176,3.7486082054879777,2884.539687810367,4,8.332969272803398,75.88273615347637,-87.70735754281186,24.035043716430664
s46_n300,300,0.8044666666666667,481.521,1456,-36.78584626293143,4.306258583068849,0.43019374921241554,0.31333333333333335,3.6044527290507973,1485.202404681628,4,5.4112033416946534,18.491574772526658,-70.10575340975224,17.880693435668945
s46_n400,400,0.7697350000000001,1863.82,1418,-10.396164436588329,4.589828300476075,0.2572413152758681,0.0,3.5666910252938755,5266.051352576829,24,15.3077054134703,15.499627821074021,-13.10139212217271,19.84709930419922
s46_n500,500,0.8065935999999999,559.733,42,-2.955561812162742,6.50024356842041,0.5801385225562956,0.758,3.5498405707822633,680.0818259517547,1,0.15829943055682516,44.059709661378676,-55.804493583216086,23.825647354125977
s47_n300,300,0.7976446666666668,543.129,2782,-9.782517972689867,5.349083518981933,0.3837656206177313,0.21333333333333335,3.408491740515029,1594.168166423544,5,4.525713445307365,36.501227902310525,-39.84131173523843,17.292407989501953
s47_n400,400,0.79787675,477.42,44,8.683834849008662,9.432836723327636,0.47985261644890825,0.43,3.49065384299513,576.9140562350423,1,1.922188409957557,128.22408708764885,-88.50822591422371,20.727760314941406
s47_n500,500,0.7862100000000001,1195.22,630,0.4571535588020268,7.57052173614502,0.2843746832065366,0.038,2.1744961958961384,986.1564376441361,3,0.902869850526051,12.633259908305973,-5.281609456790854,23.336679458618164
s48_n300,300,0.8021130000000002,492.411,796,-11.548062069722057,5.475152397155762,0.2298411756485162,0.0,3.864215823785198,1786.525480834388,6,3.196843842675989,47.89195930313136,-58.166995360320776,18.065549850463867
s48_n400,400,0.82173225,1027.22,836,-53.05580647519594,4.341498756408692,0.39487563238176393,0.125,3.6625289785091684,1920.6362509911833,5,4.756729859714016,26.07581974045512,-110.34068570120164,20.53106689453125
s48_n500,500,0.7955257999999998,1441.84,4474,70.61565464238377,10.092928504943849,0.20727666374822126,0.002,3.606588023008232,2849.8447505290405,7,11.172524886628432,162.5949766933561,-10.664662458624166,21.499937057495117
s49_n300,300,0.7707376666666668,894.748,2226,6.193535508868935,9.846981620788572,0.38465918047729536,0.08666666666666667,3.5088228021947443,2015.3767671194246,6,6.742805478205599,14.005052648937763,-7.088307797975507,17.387187957763672
s49_n400,400,0.7849842499999999,643.448,575,-6.197280970093928,5.391655921936036,0.32281041326850984,0.1225,3.9765143863370214,4259.04017461271,11,12.56556585765026,46.65053120560576,-37.436459907342815,20.293485641479492
s49_n500,500,0.8055652,1025.3,3096,10.713365165198951,8.941458702087402,0.06031699162765793,0.0,3.086792994985455,1300.9803767064875,1,2.259657568053206,97.22906224795217,-68.13879792073988,23.250036239624023
s50_n300,300,0.7784116666666667,590.649,1041,-5.98859699031318,5.559842491149902,0.22927996676620718,0.03,4.029333852539543,2687.3732901534745,9,9.943578894608596,34.424248339448,-29.151962152846625,17.90981674194336
s50_n400,400,0.8064992500000001,890.615,410,-44.841136401676465,4.74869327545166,0.561060058168497,0.6125,3.878675694947917,1856.514450108732,5,5.735737549416308,18.154280667832783,-88.25893179600573,20.806642532348633
