protein_id,coScRMSD_ca
s42_n300,5.4063
s43_n300,2.0219
s44_n300,1.1315
s45_n300,1.0952
s46_n300,1.4516
s47_n300,1.0088
s48_n300,17.3687
s49_n300,1.6252
s50_n300,1.9519
s51_n300,1.9087
s52_n300,0.9587
s53_n300,1.7664
s54_n300,1.4326
s55_n300,1.4387
s56_n300,19.4827
s57_n300,2.2877
s58_n300,2.0677
s59_n300,3.9287
s60_n300,0.9228
s61_n300,2.1754
s62_n300,1.1863
s63_n300,1.8778
s64_n300,1.3919
s65_n300,1.4583
s66_n300,14.3899
s67_n300,4.0920
s68_n300,4.4270
s69_n300,0.6595
s70_n300,2.8196
s71_n300,1.8033
s72_n300,1.8896
s73_n300,2.3101
