protein_id,sequence_length,swi,tango_total,tango_aggregation_positions,net_charge_ph7,pI,iupred3_mean,iupred3_fraction_disordered,shannon_entropy,hydrophobic_patch_total_area,hydrophobic_patch_n_large,sap_total,scm_positive,scm_negative,radius_of_gyration,camsol_ph7
s42_n300,300,0.7884180000000001,594.395,661,-7.763166568622957,5.558819389343261,0.332710159414358,0.19,3.877535133079308,2636.4083176712084,6,9.086778307575042,32.881389951790396,-36.838645609794796,18.077848434448242,1.736347
s42_n400,400,0.8166345000000002,1052.47,987,-30.203956852488872,4.657807731628417,0.33280944092936804,0.04,3.5580462719464516,2275.1892515465074,7,5.593590526300094,40.7784831363548,-79.31053133511958,20.917190551757812,2.245275
s42_n500,500,0.8092164000000001,1026.83,392,-8.022024880692356,5.57467746734619,0.3561957594455802,0.08,3.654555304390439,2177.032956299585,4,6.348653889653199,63.019402162321754,-67.87705316084404,22.074100494384766,1.954056
s43_n300,300,0.7848793333333333,610.125,1041,-6.935967003839593,5.503117179870604,0.30272175259514505,0.0033333333333333335,3.881667814392231,2384.7644358578755,7,10.773815815429465,30.515349280882383,-31.149053653855564,17.69316864013672,1.159180
s43_n400,400,0.8174555000000001,1076.49,2891,-1.381600673262625,6.239295768737793,0.18236785089643143,0.0,3.431717619186875,2213.7529452516956,7,5.326389667209881,69.73996485030341,-60.232243282386044,23.212814331054688,1.853547
s43_n500,500,0.7921832,564.971,685,-7.116582669915331,6.03302707672119,0.41035106781169745,0.184,3.665164814550932,1593.5322978140196,1,8.821824681919134,58.5138810952765,-59.853036030012454,21.855819702148438,3.224112
s44_n300,300,0.804566,719.112,677,-4.423149495086491,5.4924314498901365,0.12521265820205557,0.0,3.2288232364747724,1412.4277399307528,2,1.9613060037641719,44.012191626874014,-49.29760179567263,18.39836311340332,1.586251
s44_n400,400,0.7725839999999999,1429.3,2204,-12.214689831801923,4.103229713439941,0.4383500378700381,0.2325,3.4186687135187643,2130.1869149720296,4,8.942594735256206,4.148060063217423,-7.375810370142219,19.454933166503906,-0.826263
s44_n500,500,0.8100018,1551.6,61,6.804740244188167,8.712918281555176,0.3357516475150442,0.054,3.6782835238351312,1653.8084366885746,3,4.180921721477528,82.47223998767561,-45.56674904777291,23.68893051147461,1.956800
s45_n300,300,0.7942766666666667,568.813,501,-19.754915857181935,4.9061372756958,0.2557582497477606,0.0,3.7206122576111365,1038.4412136798173,2,3.8342625735752587,32.16319606009814,-59.87437401057543,17.295183181762695,2.735540
