protein_id,coScRMSD_ca
s58_n400,3.0991
s59_n400,1.9731
s60_n400,1.2071
s61_n400,10.2235
s62_n400,0.9226
s63_n400,2.2554
s64_n400,1.7842
s65_n400,5.4426
s66_n400,6.0361
s67_n400,0.6558
s68_n400,3.8945
s69_n400,0.9037
s70_n400,1.0726
s71_n400,2.9631
s72_n400,1.0531
s73_n400,22.6061
s74_n400,1.1942
s75_n400,1.2996
s76_n400,6.8345
s77_n400,8.9487
s78_n400,6.2892
s79_n400,4.5778
s80_n400,7.5313
s81_n400,11.0767
s82_n400,1.5775
s83_n400,4.5978
s84_n400,1.4474
s85_n400,3.9334
s86_n400,1.4415
s87_n400,10.8041
s88_n400,5.9660
s89_n400,8.5621
s90_n400,0.8696
s91_n400,4.3909
s92_n400,3.9491
s93_n400,8.7841
s94_n400,1.2123
s95_n400,1.5657
s96_n400,2.2335
s97_n400,1.7315
s98_n400,0.6395
s99_n400,1.0195
s100_n400,2.2315
s101_n400,7.9730
s102_n400,1.0510
s103_n400,2.9886
s104_n400,13.7115
s105_n400,3.9108
