protein_id,sequence_length,swi,tango_total,tango_aggregation_positions,net_charge_ph7,pI,iupred3_mean,iupred3_fraction_disordered,shannon_entropy,hydrophobic_patch_total_area,hydrophobic_patch_n_large,sap_total,scm_positive,scm_negative,radius_of_gyration
s42_n300,300,0.790145,592.897,486,-12.844279772125638,5.047041130065917,0.3726356886955418,0.21666666666666667,3.8781526290553323,2504.9048909708054,7,7.67794572288814,26.45693188952313,-41.49015198341675,18.073074340820312
s42_n400,400,0.8150487500000001,1040.32,1297,-31.939128983763467,4.674234199523925,0.31459620287142426,0.0075,3.581478658226297,2437.548908601973,7,7.102426107751853,36.649952049416314,-82.72451282846234,20.911277770996094
s42_n500,500,0.8085943999999999,1016.59,471,-19.312444002732555,4.900737571716308,0.37573951222872,0.12,3.6403728755033904,2161.275780875969,6,6.97549125882074,56.56383481065109,-77.22060089119901,22.12564468383789
s43_n300,300,0.7853476666666668,627.921,976,-5.9379473437018575,5.622706413269043,0.31802297879202596,0.03666666666666667,3.8272153435717633,2518.9313990047376,9,9.316896577988453,31.08258644743235,-28.170822519426967,17.68401527404785
s43_n400,400,0.816196,1112.83,3100,-6.290832879881776,5.547451591491699,0.18345289505412374,0.0,3.5379047531561665,2397.5531067845773,7,5.704190199323206,60.55411220041336,-60.477424069427244,23.154197692871094
s43_n500,500,0.7926253999999999,555.15,1733,-5.611461073766918,6.304149055480957,0.4452032473230628,0.294,3.6467040660621572,1564.7616998864626,3,10.894232850747098,57.017042797220824,-56.91153225674274,21.817455291748047
s44_n300,300,0.8077620000000001,721.566,1101,-5.155941225293361,5.638507652282715,0.1671873814487787,0.0,3.3106222653146635,1172.7082810708457,1,1.6529337846931729,42.01510287660133,-49.75901053788722,18.319700241088867
s44_n400,400,0.774644,1430.44,2204,-12.214689831801923,4.103229713439941,0.45012170388463973,0.2475,3.4373265090428196,2050.2750615188606,3,8.416345751225006,4.407778959532687,-7.413889749956236,19.48430824279785
s44_n500,500,0.81172,1503.86,90,-2.0922275576089646,6.3215417861938485,0.33606378337047516,0.024,3.700011631423439,1802.1730305721535,2,3.5305419462401866,79.7404422078574,-54.53592609819672,23.685672760009766
s45_n300,300,0.7930853333333333,499.509,603,-22.009408435894805,4.750625801086425,0.26039544037233836,0.0,3.7016571849289095,1341.5822871118278,3,3.9887389875898287,28.206129203847592,-57.472605149947455,17.334749221801758
s45_n400,400,0.80799025,907.518,311,-46.58843728432721,4.603071784973144,0.6558263067210993,0.8325,3.8114196781541034,988.3551669735565,1,2.427990924139634,25.492313593084646,-96.06814539554378,19.27775764465332
s45_n500,500,0.8115724,768.244,872,-38.212996531495506,4.952574729919433,0.3488206884957966,0.144,3.684858746463982,2782.2313291354913,3,9.5031859228362,67.45517661553312,-92.32962166126615,24.0493221282959
s46_n300,300,0.8057776666666667,513.455,1438,-37.86852028817944,4.272837257385254,0.4348672299846146,0.30666666666666664,3.611090821543177,1449.186474200715,4,4.485943069995991,16.78938684656169,-70.2725812014767,17.85933494567871
s46_n400,400,0.7694255,1826.58,1475,-10.483338624842915,4.526339149475096,0.25225072013722377,0.0,3.55319377463483,5246.383359833384,21,15.654970813991408,14.899842171307071,-12.785726784615335,19.80513572692871
s46_n500,500,0.8056743999999999,554.179,42,-2.961863436243533,6.49740161895752,0.5793928942889649,0.758,3.543791426117084,841.1751915331638,1,0.8485738903950126,41.53916564069292,-53.74334435243918,23.795286178588867
s47_n300,300,0.8057046666666667,449.473,2146,-21.00974605368158,4.7564802169799805,0.4137626268177492,0.2633333333333333,3.277416032328474,1357.157808821908,4,3.868361523164151,32.583126825271556,-52.149016436133294,17.361555099487305
s47_n400,400,0.7976127500000001,492.784,118,5.687524187483618,9.00231685638428,0.462299887799702,0.3575,3.5102592470121947,597.7202495032593,1,2.1663539105763143,124.71364905096722,-97.79939293869617,20.77375602722168
s47_n500,500,0.7862186,1145.93,594,4.452223334889971,9.09843921661377,0.2661628906140004,0.012,2.0931791399983513,1139.7926509866868,3,1.2375601964565996,17.56082636667839,-3.0477062015783627,23.29562759399414
s48_n300,300,0.8069253333333334,792.873,1373,-18.85611572884286,4.974287223815917,0.27697286660017745,0.056666666666666664,3.8172513531085084,1600.9508617031602,4,3.2062744692479392,37.487287616598216,-66.71374412500762,18.112476348876953
s48_n400,400,0.8182034999999999,1008.12,1611,-39.17085300831016,4.509230613708497,0.3418140904356926,0.0425,3.63934165987461,1996.854728575277,5,6.437138551976078,32.87306081179073,-87.18156797338438,20.553186416625977
s48_n500,500,0.7963918,1465.81,4697,41.65113247071732,9.76729869842529,0.2214677967219678,0.014,3.618124753820168,2802.5443846183375,5,10.740818254983846,119.47766104885915,-22.997462532661597,21.468223571777344
s49_n300,300,0.7706206666666668,893.656,2226,6.106361320614349,9.846917152404785,0.3844218528706191,0.08666666666666667,3.5023994838764447,2073.3290771400766,6,6.922341016803787,14.881136613312172,-7.236646169302825,17.367170333862305
s49_n400,400,0.78544725,554.801,576,-3.113926244711557,5.95538501739502,0.3267479114072217,0.12,3.9787040453565568,4118.7580315065115,10,12.030558259412437,50.559885280177504,-33.780920116672135,20.29799461364746
s49_n500,500,0.8067226000000001,1083.53,3597,-5.346879945446332,5.7376916885375975,0.0582490592160282,0.0,3.0734086837225,1309.601312075235,0,1.9054282224549521,86.46863586803366,-88.0445448905468,23.26557731628418
s50_n300,300,0.782334,554.613,960,-8.985821309722919,5.21090793609619,0.2614719184662917,0.05333333333333334,4.022394284929551,2637.423325846781,9,8.83756954387599,33.14369415153581,-31.970944292077704,17.891172409057617
s50_n400,400,0.79774375,840.577,615,-22.957613393230304,4.943707847595214,0.5481145869644343,0.5975,3.858219500714251,2224.8562279872426,5,8.057052337317911,19.22212252213509,-46.45913587144598,20.793752670288086
s50_n500,500,0.7833935999999999,968.242,6249,-0.20412541214591307,5.57001667022705,0.17030066898446877,0.0,2.2123746286567094,9894.988737996322,27,66.2857176031696,0.0,0.0,20.59430503845215
s51_n300,300,0.7950320000000001,493.526,1746,-4.132226607160028,5.6948350906372065,0.3613466142144563,0.19,3.5727372529140613,1561.251157612825,4,5.268468341682631,42.607440493000816,-39.65412800058314,17.49859619140625
s51_n400,400,0.7996412500000001,763.969,3680,-1.402507653608538,6.228496360778809,0.0792853279132208,0.0,3.3744711092592494,2071.135279348797,4,4.095686379091527,73.77285582121695,-59.302175797445656,21.17739486694336
s51_n500,500,0.7828906,1413.88,104,-0.24241514235966832,6.829852867126465,0.4873978619960856,0.392,3.694694525164545,1955.1680344426381,4,7.882664582607168,16.356144966551508,-26.733047043062534,22.865846633911133
s52_n300,300,0.7953983333333334,584.203,1304,-16.12696930803608,4.849582481384277,0.2894107746218907,0.03666666666666667,3.6242698145798427,2015.2121805111103,4,5.047313846660284,34.94050289585404,-49.90426466197246,17.532119750976562
s52_n400,400,0.8089189999999999,1026.26,1612,-40.832323216082806,4.522019386291503,0.316783120269794,0.065,3.929955593966694,2014.5705518235861,3,5.029018581259703,36.92801447966451,-93.03662736771352,20.68626594543457
s52_n500,500,0.7869782,875.283,1,3.293078026690722,7.938652992248535,0.20575893013643118,0.1,3.5179177862870348,1506.612236195818,1,2.310470600465229,99.47157787363692,-76.14361122835584,23.231449127197266
s53_n300,300,0.8067093333333333,478.905,1616,-33.77247766665505,4.344568061828614,0.5333719830603691,0.5333333333333333,3.4566012359407203,1371.537400910188,2,2.727432562121566,24.817268701982787,-76.12028297314018,17.237459182739258
s53_n400,400,0.81137875,925.409,1690,-13.265041272782298,5.243192481994628,0.09519023191846814,0.0,3.299980185777211,1264.848475873336,1,1.9879960999187092,54.352725239590185,-68.67657315902389,20.574481964111328
s53_n500,500,0.8090208,1124.65,903,4.549370289335734,8.98013973236084,0.48003091297387646,0.386,3.1842861996796685,1130.0918024308207,2,3.213683892528073,47.807062767942426,-22.760448366747568,24.556900024414062
s54_n300,300,0.7952469999999999,1034.55,978,-4.084583828921147,5.840683937072753,0.08112842650242148,0.0,3.3614077125846675,1442.728960581757,2,2.3097978036303273,42.32454430524968,-47.65638166824092,18.207717895507812
s54_n400,400,0.7906765000000001,962.038,1413,-24.4163337615204,4.955928230285643,0.3450906201294584,0.105,3.932554300383059,1327.5607198635741,1,3.866962097979369,43.59217243236817,-75.67166962081356,21.563222885131836
s54_n500,500,0.7956684,1153.25,92,-3.514451588644932,4.0500284194946286,0.5485963357920006,0.622,2.5781469987130317,1899.8370087317867,6,6.098938101799782,0.7610705970873577,-3.645757567641809,22.124828338623047
s55_n300,300,0.7952763333333334,491.104,2262,-14.739297366662985,4.994806098937987,0.399784670265954,0.18,3.7248737365947675,2534.605391956781,5,7.776115891819976,26.14539080766724,-48.967930094362536,18.134817123413086
s55_n400,400,0.7921195,769.192,1096,-16.885929077286143,5.046415901184082,0.20317700533309405,0.0,3.9789936528462957,3601.185299082966,11,11.481644151810293,44.251965667487184,-66.19877828821822,21.210369110107422
s55_n500,500,0.8123856,1088.64,1901,-34.89012572879906,4.735449790954591,0.33474291490365576,0.274,3.6684364920296066,2041.061713503595,4,5.129515620254198,53.81559167517274,-93.65333994532006,21.775836944580078
s56_n300,300,0.8227263333333334,565.011,784,-25.255986997505453,4.8158769607543945,0.17291370756758975,0.0,3.254172346972038,1292.8403752756806,3,1.5318053650627572,38.680305143467514,-86.3730240438436,19.159948348999023
s56_n400,400,0.7695175000000001,448.305,1593,-12.27916070287327,4.839863014221191,0.2312602023686877,0.0,3.300994141325297,2458.8585851818125,3,10.758164437859309,29.290847942306534,-27.679719941892508,23.840267181396484
s56_n500,500,0.8012258,907.649,170,-32.13391091487445,4.731471061706543,0.4136539190576224,0.194,3.485166737843323,1517.8691415648236,2,2.736364333051063,60.073270654416504,-98.91700788034646,23.646589279174805
s57_n300,300,0.8082323333333334,539.219,633,-12.003769343342299,5.296052742004394,0.13739546998470373,0.0,3.5043632923205603,717.0827205555785,0,1.6467114872125226,45.132516804044,-51.27770799532419,18.137075424194336
s57_n400,400,0.78275725,774.654,3,13.399344030332792,9.973210716247557,0.4803694249685641,0.3075,3.884779992891879,1729.2196960075053,5,5.502828782813362,57.11219228149098,-18.06608862093325,19.145023345947266
