protein_id,coScRMSD_ca
s42_n300,5.3915
s43_n300,2.6833
s44_n300,0.9979
s45_n300,0.9427
s46_n300,0.7190
s47_n300,1.1294
s48_n300,2.8871
s49_n300,1.5568
s50_n300,1.5883
s51_n300,1.3393
s52_n300,0.7690
s53_n300,1.0052
s54_n300,1.0309
s55_n300,1.1644
s56_n300,1.1310
s57_n300,1.1054
s58_n300,3.3417
s59_n300,3.7487
s60_n300,1.0336
s61_n300,1.0153
s62_n300,1.1879
s63_n300,1.0614
s64_n300,1.2324
s65_n300,0.6053
s66_n300,6.0679
s67_n300,4.2060
s68_n300,3.6759
s69_n300,0.5904
s70_n300,2.8613
s71_n300,1.3390
s72_n300,0.8912
s73_n300,1.0367
