protein_id,sequence_length,swi,tango_total,tango_aggregation_positions,net_charge_ph7,pI,iupred3_mean,iupred3_fraction_disordered,shannon_entropy,hydrophobic_patch_total_area,hydrophobic_patch_n_large,sap_total,scm_positive,scm_negative,radius_of_gyration
s42_n300,300,0.7884180000000001,594.395,661,-7.763166568622957,5.558819389343261,0.332710159414358,0.19,3.877535133079308,2637.805165695974,6,9.090634601722575,33.21757930152947,-36.84741852324471,18.076980590820312
s42_n400,400,0.8161572500000002,1061.57,986,-31.20295785148987,4.633821678161621,0.32695297592936995,0.04,3.5605094659463754,2301.953676354211,7,5.54991288901828,40.11520215809871,-79.90641915178271,20.917757034301758
s42_n500,500,0.809141,1011.01,392,-8.102150328205255,5.531877708435058,0.3490319519237089,0.072,3.6469287566632036,2161.7180093125003,5,6.308025793294203,60.33822309517588,-66.77063635211414,22.074909210205078
s43_n300,300,0.7845353333333334,607.409,1040,-7.9349680028405984,5.386085700988769,0.30756466629775064,0.006666666666666667,3.869241350584501,2395.7912236477305,6,10.925117849455704,30.202855868266038,-31.915162065352806,17.69550323486328
s43_n400,400,0.81782875,1038.64,2885,-2.378790211289413,5.983975028991699,0.18621048712573432,0.0,3.4272635346400975,2109.2135223328337,6,5.006389779968261,69.86786675940112,-60.73994093455171,23.212020874023438
s43_n500,500,0.7920224,562.44,685,-7.116582669915331,6.03302707672119,0.4093043498116978,0.184,3.6646238948150924,1580.51906787843,1,8.705678950466503,58.46736716475555,-59.7600047262287,21.854339599609375
s44_n300,300,0.8053013333333333,714.392,663,-5.4203390331132795,5.397169303894043,0.1287641167420107,0.0,3.223808643759815,1435.402234078778,2,2.005575914448367,42.697813117387945,-47.812989713959965,18.398679733276367
s44_n400,400,0.7725839999999999,1429.3,2204,-12.214689831801923,4.103229713439941,0.4383500378700381,0.2325,3.4186687135187643,2130.7670069102214,4,8.945664865527245,4.148062185207241,-7.380331819070132,19.45450210571289
s44_n500,500,0.810672,1558.74,61,3.8121726291087867,8.380777168273926,0.3276244295373918,0.054,3.666265049561967,1661.7243721828638,2,4.092446763987827,81.08077485142942,-47.53890677781731,23.690481185913086
s45_n300,300,0.794998,561.162,501,-19.66774166892735,4.94382152557373,0.2683441944895343,0.02666666666666667,3.725450885727836,989.8822202395551,2,3.5511138193589464,32.244872315871596,-59.81497497425618,17.29548454284668
s45_n400,400,0.8052227500000001,838.834,201,-28.342404190103842,5.149976539611815,0.6509959006964007,0.8125,3.7181259817669496,1146.7061109008653,1,3.103219913670099,40.66129316797604,-71.0434369581771,19.224214553833008
s45_n500,500,0.8114414,749.152,1040,-25.396763533882464,5.3141275405883786,0.39296265043897743,0.176,3.7486082054879777,2884.9977247999213,4,8.346562452842958,75.81074748297775,-88.40458801459249,24.035634994506836
s46_n300,300,0.8065453333333333,473.339,1261,-39.86470082530724,4.23344783782959,0.42554661101705665,0.3,3.585821096752055,1632.29524907109,4,5.5716884962576385,16.47090410820764,-74.14758959028453,17.897796630859375
s46_n400,400,0.76995425,1840.27,1375,-10.396164436588329,4.589828300476075,0.2653602644715851,0.0,3.5730588639325673,5220.006918900101,24,15.283724769528508,15.12161056947408,-13.081557866546442,19.846406936645508
s46_n500,500,0.8065935999999999,559.733,42,-2.955561812162742,6.50024356842041,0.5801385225562956,0.758,3.5498405707822633,678.7028535185846,1,0.15598976704231943,44.0026796282627,-55.797877876200815,23.824848175048828
s47_n300,300,0.7984533333333333,565.261,2734,-13.77967751101665,5.070686149597167,0.3803493422698165,0.19666666666666666,3.4246968916335963,1681.0057258148663,4,5.198213384504161,32.93634501728248,-44.44553614092375,17.290992736816406
s47_n400,400,0.79727975,482.278,42,8.594970959720698,9.432772254943849,0.47394627179384174,0.4225,3.482135689122851,612.4487736745604,1,1.8639411167258764,127.33697436789633,-88.96467020513228,20.72881317138672
s47_n500,500,0.7857428,1153.99,634,1.4535306368536078,8.328622245788573,0.28400796044492677,0.038,2.1353243038612737,973.0320719314626,3,0.928602405630342,12.474126643600297,-4.033924139278645,23.335124969482422
s48_n300,300,0.7998636666666668,529.342,844,-12.811860937748442,5.24910373687744,0.193308637118442,0.0,3.85918511773319,2075.275468458338,7,3.974128914591803,45.602809098545244,-59.966143938445214,18.0690975189209
s48_n400,400,0.8218415000000001,1045.83,1244,-59.04057862320711,4.273178291320801,0.39627363650883396,0.1775,3.652400052800477,1901.3565597285833,5,4.4871212222307175,24.052994511384043,-117.36883649268962,20.531658172607422
s48_n500,500,0.7950406,1420.26,4817,61.71656352251763,10.016404533386229,0.2008106667432425,0.004,3.6190326147034346,2871.626860233282,7,11.470797289285622,150.16862799686322,-11.551246230982423,21.49656867980957
s49_n300,300,0.7707376666666668,894.748,2226,6.193535508868935,9.846981620788572,0.38465918047729536,0.08666666666666667,3.5088228021947443,2022.1630365872138,6,6.775669366913129,14.005148830302351,-7.087214914383883,17.386966705322266
s49_n400,400,0.7849842499999999,643.448,575,-6.197280970093928,5.391655921936036,0.32281041326850984,0.1225,3.9765143863370214,4228.258548046422,11,12.519815627205,46.65697211610735,-37.496766190980445,20.29414939880371
s49_n500,500,0.8064736,1020.99,3482,-0.26856652113897894,6.849121284484863,0.06230486485689414,0.0,3.067322024558868,1350.656662722344,1,2.236647305375417,89.8332209978222,-79.87429524552317,23.248228073120117
s50_n300,300,0.7787946666666666,590.393,1041,-5.89973310102523,5.671872138977051,0.22962597487586747,0.03,4.031127533112768,2699.021615701929,10,9.895012845246931,34.256718652240366,-29.21755233771799,17.910812377929688
s50_n400,400,0.8091759999999999,838.489,388,-51.178421885025365,4.5339555740356445,0.592948567066387,0.7525,3.861497361020089,1556.6090433288302,2,5.300790409772465,17.4521070718171,-95.29590316299254,20.806907653808594
s50_n500,500,0.7830423999999999,951.369,6131,-0.20412541214591307,5.57001667022705,0.16880073069802418,0.0,2.2146230757247474,9876.964174731369,25,65.36012953689122,0.0,0.0,20.620153427124023
s51_n300,300,0.7986866666666667,511.669,1356,-7.209167948420777,5.293381309509278,0.40623977563769353,0.22666666666666666,3.481583565946456,1484.4849754908878,5,5.356059390544892,41.31959665670239,-41.1965999115121,17.419721603393555
s51_n400,400,0.79638575,906.239,4212,0.5812597325116542,7.464801216125489,0.07430559542500045,0.0,3.4448697897972815,2350.4378191258565,5,4.721358943703082,72.11268889582796,-55.68358413601654,21.15889549255371
s51_n500,500,0.7821269999999999,1602.05,54,-10.395055866231829,4.627683067321779,0.47441408967464616,0.33,3.6516194548192287,1931.4793756373488,5,8.4437395070915,9.00787785117644,-36.463377190217194,22.85209846496582
s52_n300,300,0.7938183333333333,545.695,1359,-18.14373086240939,4.732209968566894,0.32622764417004646,0.06,3.6537206677517875,2187.7132775488844,6,6.232511662322379,31.160867858561204,-50.32452996038557,17.588956832885742
s52_n400,400,0.8073960000000001,949.919,1268,-32.017148642345376,4.660649681091309,0.28448706889377645,0.0475,3.9099427270851796,2288.1802220444642,4,5.529814936359712,45.218422170442906,-89.87418033749904,20.69085121154785
s52_n500,500,0.7894312000000001,873.233,0,-13.751974528774298,5.104277992248535,0.1602769810272784,0.098,3.4334004609043065,1363.7867944767606,1,1.8101964203114242,71.91850734282127,-70.10258875603346,23.25789451599121
s53_n300,300,0.811378,473.759,666,-42.6823346801141,4.1734827041625975,0.6136357133847495,0.7766666666666666,3.501863975467133,1052.475695008804,2,3.615792817485786,15.587018253097485,-82.16534285939198,17.13317108154297
s53_n400,400,0.8071927500000001,848.556,2345,50.52897118931084,9.795729255676267,0.07230484551283452,0.0,3.151184669211179,1342.2164693510872,2,1.834071127055407,131.69402573428366,-28.63293246351495,20.550312042236328
s53_n500,500,0.7938144,1221.87,1215,1.5167617941250189,8.75263080596924,0.47696937763426284,0.36,3.22062419025569,1252.7295857837405,2,3.7750081725249243,19.06507341090688,-10.41081213928227,24.52081871032715
s54_n300,300,0.7954236666666668,1077.12,650,-15.068289997175413,4.993839836120604,0.07528213610129232,0.0,3.484593741507976,1505.1541794476639,1,2.2240954608880217,35.789429931566765,-61.53182839513835,18.21202278137207
s54_n400,400,0.7916745000000001,951.119,1171,-31.661374595059392,4.718739128112793,0.3313065160262867,0.1325,3.840842026094332,1224.1418560222178,1,3.7210348517715337,39.79542556339474,-88.11561075121233,21.54545021057129
s54_n500,500,0.792519,1655.7,51,-2.5182610516171433,4.0500284194946286,0.5319678516312838,0.566,2.6273555921763907,1908.2843384559926,5,5.096150175164892,0.7752274081122937,-2.3929215240248247,22.0904541015625
s55_n300,300,0.795362,517.894,1625,-13.80625951361408,4.999637413024902,0.3920185016936943,0.18666666666666668,3.6942973356149285,2403.8099735231103,4,8.132287439673581,28.843087198158546,-47.10337542195746,18.142192840576172
s55_n400,400,0.7915542500000001,886.772,1089,-8.899720748023306,5.483621406555175,0.2067761982503763,0.0,3.9807827865596535,3816.397161278094,9,12.17438363765149,45.91629342564589,-49.953279282721155,21.212509155273438
s55_n500,500,0.8133661999999999,1184.17,1809,-30.980532777696574,4.787798500061036,0.34456779500137763,0.236,3.684690836010631,1807.0389267330647,4,3.8792621590434533,57.06778665024973,-90.21126082929044,21.77480125427246
s56_n300,300,0.8226673333333334,605.367,821,-23.260243640630335,4.864246940612793,0.15136337798981514,0.0,3.2746293922374825,1433.0642138845317,3,2.739177510360603,41.122092541663946,-79.47012441938296,19.09257698059082
s56_n400,400,0.7693119999999999,491.159,1282,-11.369145353101061,4.826221656799316,0.2295640564725381,0.0,3.308976542550991,2227.5639207877143,5,9.298347304529347,28.0320486786821,-24.14881869627192,23.757076263427734
s56_n500,500,0.7999033999999999,967.836,193,-45.203876368389395,4.494225120544433,0.40239419404214616,0.204,3.509121741542154,1543.2511831373665,2,2.9221710171519164,60.56610941152963,-124.39917177778858,23.633827209472656
s57_n300,300,0.8108350000000001,573.663,417,-8.074260314336719,5.507777976989746,0.13286669460353995,0.0,3.4407240449881336,768.3922592833402,0,1.5091497033196888,50.877556820691815,-47.502806996955165,18.08642578125
s57_n400,400,0.781132,764.149,1,8.528752908426767,9.684585762023925,0.4346656921216275,0.24,3.7967235214540187,1985.950588051897,8,6.09723926300639,45.388641292425795,-19.510566916955632,19.129417419433594
s57_n500,500,0.7937634,1351.8,428,37.446632026062105,9.769877433776852,0.18350539813401298,0.0,2.9995944912318064,1771.2732092436725,1,2.411658738288192,105.65080758566953,-26.253927593104454,21.915239334106445
