protein_id,scRMSD_ca_min,scRMSD_ca_all
s42_n300,0.7933,0.9784;4.7274;1.0553;4.9419;0.7933;4.2724;4.4695;4.9768
s42_n400,0.8168,1.0419;0.8321;1.0037;0.9015;0.9081;0.8168;0.8467;0.8653
s43_n300,0.9374,1.3931;1.1893;1.0450;1.3671;1.3022;1.2640;0.9374;1.7604
s43_n400,1.1151,1.1919;1.1151;1.1848;1.5728;1.1302;1.1479;1.6480;1.4093
s44_n300,0.5666,0.9803;0.7116;1.1748;0.7510;0.7109;0.8391;0.8359;0.5666
s44_n400,1.7077,1.8698;2.4258;2.5326;1.7077;2.1761;1.8342;2.2121;2.3359
s45_n300,0.7747,1.5297;3.5143;1.6390;0.7747;1.2030;1.9097;0.9599;0.8334
s45_n400,1.1923,2.5172;1.3142;1.4405;1.4483;2.7934;1.4179;1.1923;1.1974
s46_n300,1.0014,3.0957;1.0741;1.1101;1.0014;1.3329;1.2316;1.1477;1.7715
s46_n400,5.3843,6.5942;6.2628;5.3843;6.7390;6.8031;5.9093;5.4380;5.7605
s47_n300,0.4783,0.4783;0.6119;0.5958;0.6011;0.5878;0.4970;0.6654;0.6270
s47_n400,1.2195,2.7236;2.8274;1.7358;2.9066;1.4684;1.2195;5.1172;2.1621
