protein_id,sequence_length,swi,tango_total,tango_aggregation_positions,net_charge_ph7,pI,iupred3_mean,iupred3_fraction_disordered,shannon_entropy,hydrophobic_patch_total_area,hydrophobic_patch_n_large,sap_total,scm_positive,scm_negative,radius_of_gyration
s42_n300,300,0.7877053333333334,138.966,981,10.413069219046477,10.469681739807129,0.3150673498172902,0.14666666666666667,3.1237672381181802,3710.1048062819946,12,17.229159151066998,35.34433614724932,-16.619410306723168,18.045095443725586
s42_n400,400,0.80148775,363.523,61,-2.5463347263093823,6.407198143005371,0.47658644191700816,0.3625,3.4089509016645656,2510.3146804017065,10,8.359944914600003,45.21355391369032,-55.25964099975025,20.914703369140625
s42_n500,500,0.7921132,354.258,60,15.886653970608464,9.562160301208493,0.4423580873540202,0.308,3.2631798654132584,3240.430801567016,9,10.480784482833867,67.03186669570736,-39.87039679775941,22.049304962158203
s43_n300,300,0.7941833333333334,94.596,266,-3.0074282652349993,5.573938560485838,0.37674534411305005,0.10666666666666667,3.066056795416711,3666.688806649498,12,17.549942686145574,24.808644099439153,-26.77104193685504,17.682579040527344
s43_n400,400,0.7997487500000001,276.062,849,7.360076362201951,9.144791984558108,0.411460295005935,0.255,3.24424117445222,3208.9762813774228,10,9.306549749837954,48.08562496994958,-41.351510117759865,23.23760414123535
s43_n500,500,0.8034842,170.463,175,-9.828734341349275,6.12504940032959,0.5528800403158951,0.634,3.413774708627983,2103.773067710115,3,12.153706402286693,55.85011524583814,-62.4045060206566,21.866735458374023
s44_n300,300,0.779569,241.682,396,13.032928260708372,10.681589317321777,0.4128690314087716,0.27,2.8491666534285005,2062.039703782532,7,5.296652733389144,25.151181837123083,-6.693387726209481,18.40744400024414
s44_n400,400,0.78762475,231.522,822,-2.206332543987383,5.323278617858887,0.4849466062735779,0.52,3.199397905977235,4546.222603596358,14,22.836654907003823,17.767562803803127,-8.598988000197473,19.46259880065918
s44_n500,500,0.8072696,284.459,529,25.6172104534767,9.628885078430176,0.47010803484492797,0.428,3.1090045270887003,2020.5051394075617,2,8.655852583479895,97.23837309276264,-34.929042847113415,23.699838638305664
s45_n300,300,0.8082286666666667,169.723,0,-32.085590493210525,5.083531761169432,0.5194381172426352,0.53,3.1995154710229468,1071.3186534372473,3,3.9080271395885715,20.40389768139108,-63.81768690749733,17.312747955322266
s45_n400,400,0.812359,203.691,444,-23.383072297305958,5.671815299987793,0.6458984524722124,0.8325,3.44486844137165,2079.8219107893456,6,6.202705255827348,41.605691450753014,-68.91229791718146,19.204248428344727
s45_n500,500,0.8059295999999999,282.275,226,12.08094035236762,9.0929594039917,0.5277038953343449,0.54,3.649379530903967,3690.9716429069344,10,13.346214005240059,95.36697847651858,-53.20993608265185,23.999853134155273
s46_n300,300,0.8122543333333333,85.3503,89,-19.61809370567578,4.814399147033691,0.5867310126928756,0.8066666666666666,3.3034712227217047,2784.8801215659446,10,11.761034760742282,20.870965905637703,-52.72490775958592,17.909217834472656
s46_n400,400,0.78955975,220.143,96,1.961062108616062,8.700862693786618,0.5340569766861348,0.55,3.44451493994713,5575.825454456552,22,24.267878552466208,28.391738619753326,-12.584780481928696,19.843929290771484
s46_n500,500,0.8140364,318.804,4,14.234960849538197,9.43670482635498,0.6675796693499154,0.842,3.310605781403054,1566.4977564132128,6,3.330985044575019,73.24609352762675,-52.96852701051617,23.825611114501953
s47_n300,300,0.801156,60.5846,361,7.685086777530479,10.61196346282959,0.47891875059348155,0.3933333333333333,3.0915091754864874,2234.1422077225943,7,9.44118540752949,44.303415221390004,-19.516878910923914,17.291362762451172
s47_n400,400,0.8123682500000001,232.623,1,12.501603027642005,10.9172212600708,0.6333291130066077,0.88,3.203477719384196,828.6665076477998,2,1.63821577539602,112.44520979894591,-57.9940753673075,20.670455932617188
s47_n500,500,0.7908434,343.214,58,5.4924337573259745,9.720881462097168,0.6354794580121911,0.848,1.7540498325092129,1491.8197796145855,4,4.391072046383418,21.17359830744376,-10.49430905669239,23.31092071533203
s48_n300,300,0.8090643333333334,182.447,123,-16.110138634164016,5.795155906677246,0.5477979152948523,0.57,3.4279633469132142,1014.9658557819233,2,3.4198061924104506,43.613678907267364,-58.62262961997861,18.032028198242188
s48_n400,400,0.8195477500000001,257.382,62,-53.12268076386635,4.9077856063842775,0.5715334994004898,0.6,3.2975215941533094,2322.0589671614366,6,6.982642513598595,28.38136674064663,-120.16303620238997,20.52792739868164
s48_n500,500,0.7968990000000001,332.232,1331,25.463592883745285,9.784511756896972,0.5239498316277849,0.524,3.195030145820116,3519.2695479522718,6,12.825873458309383,80.41005507399657,-20.412504362693745,21.508474349975586
s49_n300,300,0.7925726666666666,163.311,210,7.11605119046238,10.281240653991699,0.6589716613279326,0.8566666666666667,3.1373630056131807,3022.23470899494,14,13.39574164485103,14.398702635118449,-6.811983836720707,17.37055015563965
s49_n400,400,0.7920545,208.331,251,0.9032363571630597,7.8919778823852536,0.36734554485484794,0.215,3.424647701799601,5248.476540882464,16,19.660431195559802,46.334381980377465,-30.74964212939591,20.284656524658203
s49_n500,500,0.7591294000000001,422.142,1351,15.479235569256828,10.583726310729979,0.1578805192617653,0.044,2.7467227289635168,1977.457830505273,6,9.610835492531638,26.060049091445478,-10.441078760007477,23.304155349731445
s50_n300,300,0.79705,126.353,7,-4.759416435734703,5.614976310729981,0.4150070528212555,0.23666666666666666,3.472756875823017,3550.587303837623,15,16.018427796475606,28.09379397388882,-23.39431699234964,17.891916275024414
s50_n400,400,0.80846075,243.134,131,-21.224371150913242,5.790836143493652,0.6705834394886278,0.855,3.4059014035647333,2002.9864763913588,3,4.887119459062568,33.88339808587894,-73.90251808942733,20.799968719482422
s50_n500,500,0.7925602,94.1676,231,17.979500085896024,10.585144615173338,0.3883447108748328,0.084,2.5473835944503396,8622.835544367794,34,54.869173051156736,48.78879731484625,-19.07270638660944,20.6151123046875
s51_n300,300,0.801136,83.8177,17,5.961731448891161,9.711662483215331,0.4839501171268851,0.37,3.1919410550022493,2467.5292096873263,7,11.191127275789846,37.78079550170959,-20.48060469381377,17.447711944580078
s51_n400,400,0.7790282500000001,299.276,2105,-0.740115530669577,6.734306526184082,0.24433962674141052,0.04,3.147136372728803,2144.141005900129,5,7.790855404830456,26.62920387642294,-39.20020757165941,21.162397384643555
s51_n500,500,0.7825983999999999,269.644,270,18.683250021536992,10.172289085388183,0.33267637507299275,0.138,3.255939383263951,4709.034245306378,18,25.98433424237455,35.81846832539648,-26.65284688329144,22.833091735839844
s52_n300,300,0.8035856666666668,121.856,92,-8.10988684745373,5.775944328308105,0.49888805975531625,0.4866666666666667,3.283290351313475,2042.4483774393686,6,7.718968822345893,30.3580216979707,-41.46963812356957,17.58497428894043
s52_n400,400,0.8015157500000001,254.305,496,-16.790546233961315,5.042778205871582,0.44677212166058766,0.385,3.532855215689963,3241.053330423794,9,11.69412312576399,40.13392803102839,-62.24891645231895,20.660831451416016
s52_n500,500,0.8033892,351.647,164,15.91151588635313,9.423166465759277,0.5283297481858696,0.546,3.082084405375359,1873.0389384224507,4,4.685413604550362,108.34122567030191,-60.091612309761956,23.27463722229004
s53_n300,300,0.8040976666666666,91.6346,307,-5.227554394321281,5.99227352142334,0.48971276845501327,0.42333333333333334,3.2416867049007303,3144.352128047113,14,15.3803390851562,23.850666937141447,-30.488221805762528,17.11775016784668
