protein_id,sequence_length,swi,tango_total,tango_aggregation_positions,net_charge_ph7,pI,iupred3_mean,iupred3_fraction_disordered,shannon_entropy,hydrophobic_patch_total_area,hydrophobic_patch_n_large,sap_total,scm_positive,scm_negative,radius_of_gyration,camsol_ph7
s42_n300,300,0.790694,565.269,382,-3.7623293271647995,6.099756050109861,0.43556999118396855,0.27,3.8375767346576946,2147.499557884734,3,5.749428618751149,42.47450477932194,-35.200465989049775,17.85822105407715,2.218326
s42_n400,400,0.8151290000000002,1201.07,619,-28.30211156662955,4.6197824478149405,0.34359326961391135,0.0575,3.5108779711146174,2038.5779072550865,5,5.806609048479338,44.22338563256585,-75.64584506546194,19.8880615234375,1.785878
s42_n500,500,0.8180470000000001,873.792,347,-22.043048430011346,4.936546134948729,0.46641748018104245,0.318,3.686482087726835,1536.1141292909542,5,3.8807505217773155,56.96451668646678,-80.41810283582066,20.976720809936523,3.007932
s43_n300,300,0.789532,557.687,654,-3.190706122976266,5.83920612335205,0.37392549652342366,0.07333333333333333,3.762379019183719,2430.08869935736,7,9.616201316699756,40.30867995577982,-31.28381511082238,17.359838485717773,2.348299
s43_n400,400,0.8195722500000001,1065.61,3017,-6.282998096091404,5.572574424743652,0.21331590232494535,0.0,3.4822054574069647,2099.864292024766,7,4.893462957877746,64.06287874419695,-63.40421822307696,23.557952880859375,2.021815
s43_n500,500,0.795162,540.716,1688,-11.767453518327244,5.825223731994629,0.447133825201107,0.312,3.676552355540306,1826.704231727502,4,10.406141038096369,54.38229526752341,-51.52050048231837,21.442216873168945,3.034964
s44_n300,300,0.8175540000000001,680.03,145,-10.246840102724022,5.209714317321777,0.31954280894144393,0.043333333333333335,3.5116182517632217,833.6416566832089,1,0.7437769248385651,40.24800053905546,-52.84195451856649,16.537267684936523,2.495178
s44_n400,400,0.77289175,1426.06,1680,-13.213569070862079,4.053609275817871,0.4534192143709093,0.28,3.3988881790008967,1288.4829380564381,1,7.597689992710792,3.5886783236181974,-5.869705699617102,17.906627655029297,-0.512435
s44_n500,500,0.8098158,1585.4,69,3.8950815327937107,8.366336250305178,0.35580954575975426,0.05,3.7564692621793903,1704.3156045205262,0,3.389083672242436,81.85831447256263,-42.15143121755758,23.238140106201172,2.246675
s45_n300,300,0.804836,566.171,678,-22.567824810434615,4.905739402770995,0.4459066002237692,0.31666666666666665,3.658348517260826,464.95580343310974,2,2.060775023899328,31.457299649225945,-59.27523589426544,15.851838111877441,3.448743
s45_n400,400,0.8157057499999999,927.302,46,-54.498094333634775,4.456825065612793,0.7957447254264695,0.9775,3.68803617596282,1178.4158006656246,2,4.051255507040778,24.265338205591252,-84.5900745680711,17.585012435913086,3.294641
s45_n500,500,0.8049525999999998,771.045,885,4.528857152850421,8.384838676452638,0.37447086463362456,0.158,3.777181469674009,3063.4117841688535,4,8.442808035550934,95.39963647973667,-40.77641477844253,23.620014190673828,2.312052
s46_n300,300,0.811226,509.94,1010,-49.93389269924866,4.0500284194946286,0.49177541676298747,0.4533333333333333,3.538686563893817,1791.101820776545,4,4.302157647875376,11.367800110668716,-91.46689709099513,17.69387435913086,2.389529
s46_n400,400,0.7710769999999999,1692.4,803,-9.483460384783761,4.57698268890381,0.2862364607146802,0.0,3.543496537013971,3964.6270533896377,18,10.477227273390366,25.9047831217699,-9.373640317561948,18.601043701171875,0.890287
s46_n500,500,0.8059323999999999,566.859,44,-2.0484686844045967,6.603974723815918,0.5833124661950075,0.756,3.554562711525466,977.8264701164202,2,0.9860683606048022,39.07875751524235,-50.52238400709402,24.070878982543945,1.325830
s47_n300,300,0.7952540000000001,556.263,1448,-4.807970876534306,5.899284934997559,0.39613974681910347,0.15,3.445350317790999,1678.999811621753,6,5.36366972843346,46.17166552398673,-32.93361730749642,16.729862213134766,2.980266
s47_n400,400,0.7915305,432.291,77,27.7431321764072,11.021402168273926,0.44545002871537404,0.305,3.4607249704382665,972.3360221394985,0,1.9716820616366517,123.36362012222618,-63.718383429379045,19.693023681640625,5.575566
s47_n500,500,0.788037,1195.58,200,4.435320020775811,9.03654956817627,0.35854793468773766,0.118,2.1954434211283678,592.4760037218434,1,0.8115575984232164,13.477285037475225,-0.4552599144761307,21.46541404724121,-2.435459
s48_n300,300,0.8077543333333334,556.226,916,-15.77595484371244,5.116668891906738,0.42633841244928417,0.26666666666666666,3.901534106302064,1232.9834263526068,4,1.8717839424138667,42.455601056697795,-61.06968205210755,17.00566291809082,2.814387
s48_n400,400,0.81834875,999.099,358,-47.16335459719739,4.359118843078614,0.39069919987099666,0.165,3.67579450918565,1728.6972627210803,6,4.2482879648680525,27.083332045570693,-107.6451420419132,19.602800369262695,2.430819
s48_n500,500,0.7992783999999999,1325.28,2291,37.75919940040977,9.725716590881348,0.312475926586256,0.066,3.7341615914990443,3801.2512994206427,6,14.865424244709422,130.00556963250585,-17.28548613512699,20.617868423461914,1.238423
s49_n300,300,0.7696066666666667,888.559,2224,7.105240559674504,9.99042377471924,0.3784569459378795,0.08666666666666667,3.4921617254714965,1498.4942578694454,6,7.648591238801793,15.58973623051262,-5.845999608125967,16.03632164001465,0.306693
s49_n400,400,0.7864635,539.13,544,-8.119987772138352,5.271327781677246,0.3435642800076339,0.135,3.9798754327366046,4182.0883506001,11,14.127046912240177,47.76605843990664,-39.73945787896972,20.093481063842773,1.470355
s49_n500,500,0.8032090000000001,1082.86,3743,7.7022357602248235,8.800982093811037,0.0818748956664184,0.0,3.208082318713701,1247.1376322350793,0,1.5548691605357936,98.12602677616772,-61.6446838875749,22.28193473815918,0.882414
s50_n300,300,0.7771996666666667,584.526,1023,-7.978843520846969,5.300543022155761,0.27658537755723717,0.04,4.006997630689576,3310.8707571604755,11,11.015220636592648,30.07618687156456,-29.742352242415507,17.666236877441406,0.912328
s50_n400,400,0.81653825,681.0,78,-55.57245618982604,4.549529457092285,0.7301176256337836,0.8575,3.7957305902747054,1189.731985344978,1,3.83621060767269,11.75818833006754,-95.12829763694062,19.39751434326172,3.311811
s50_n500,500,0.7843588,1001.75,6892,-0.20412541214591307,5.57001667022705,0.14402717418383076,0.0,2.204775488638626,9191.806346261468,24,75.68985234901331,0.0,0.0,19.419342041015625,0.930447
s51_n300,300,0.7992253333333333,461.999,1073,-0.1367567698666079,6.9052213668823255,0.4367954344078201,0.2733333333333333,3.4634405942650055,1709.2701105221788,5,5.49683730330689,53.02349135610115,-34.15639284491463,16.683259963989258,2.780777
s51_n400,400,0.8026625000000002,778.522,1303,13.664688423096635,9.195012855529786,0.14677209368450161,0.0,3.4735890234741564,1656.9101472412985,6,2.528522214200726,88.07904412043743,-42.1226601759607,20.027511596679688,1.879682
s51_n500,500,0.7831252,1638.99,338,4.475949681136472,9.126031684875489,0.5138498450263638,0.584,3.4929108052457662,1875.3527884777275,5,8.884912168915282,11.210472531610426,-8.86286976090014,21.55066680908203,-0.737367
s52_n300,300,0.7896323333333334,707.952,938,-20.23690603601587,4.584826469421387,0.2747930079350377,0.03666666666666667,3.683170012146379,2744.9709009507787,6,10.754792771085963,27.049181789047708,-52.129129815504555,17.214048385620117,1.948853
s52_n400,400,0.8104695,1100.31,754,-37.82092906587422,4.600116157531737,0.309997332465918,0.05,3.8975561636670757,2251.6516534587486,3,5.146827337246897,38.25210515328519,-93.3470043209356,19.69725799560547,2.290061
s52_n500,500,0.7941964,830.63,0,-22.689822091509612,4.861802864074707,0.21407192851844506,0.144,3.4281496473734228,1837.6682633939777,2,2.1728392255535587,64.91856755094211,-88.9581165425898,22.76642417907715,2.758191
s53_n300,300,0.813334,450.055,811,-44.76587950265046,4.0500284194946286,0.6562170433546742,0.8733333333333333,3.4418017413743582,960.7332033217677,0,3.891870989979889,11.508532014287383,-89.32743994540192,16.532381057739258,2.380021
s53_n400,400,0.8120557500000001,768.39,251,40.61310851517139,9.674786567687988,0.18532547041117195,0.0075,3.383181316840366,960.5641152679609,1,1.7621878966457287,119.89337453453497,-26.517717219186153,19.087783813476562,2.418367
s53_n500,500,0.7962705999999999,1153.52,1270,7.507835566216958,9.614508628845215,0.5286577480421104,0.538,3.2380650469418604,1076.3291453879012,2,3.897411752297554,27.534672397316648,-10.686518215513725,23.41854476928711,0.652576
s54_n300,300,0.8025793333333333,773.521,787,-16.088432065822154,4.989179039001464,0.19705924767302488,0.0,3.684437912835537,1009.6166920981038,0,1.3687778802302664,37.44897486277458,-54.179037163567806,16.209331512451172,1.310689
s54_n400,400,0.8019755,878.254,290,-41.381795074988815,4.586531639099121,0.450124013352606,0.2725,3.8052197431819867,1199.2962810265844,1,3.2416275816710565,32.26542162878127,-95.94660797180264,21.062686920166016,3.111815
s54_n500,500,0.7956398,1245.96,18,-2.5182610516171433,4.0500284194946286,0.5673933474312471,0.756,2.5481260820471614,1555.3828340046575,4,3.5304072306526675,0.9486404484743378,-2.192087935721806,21.351743698120117,0.532845
s55_n300,300,0.7943633333333334,427.446,2975,-11.823891189698351,5.104789543151854,0.38664075266511455,0.20666666666666667,3.7424751436344685,3062.5538712319267,9,9.343052563479963,31.48843826877139,-41.50513127961938,18.622709274291992,1.971232
s55_n400,400,0.78809575,859.006,1642,-10.651125493177702,5.484132957458496,0.21615255365924343,0.0,4.066909965776742,3857.448390694535,13,12.79020557127846,41.19481342268625,-51.310991457404455,20.485761642456055,0.955071
s55_n500,500,0.8101678000000001,1098.74,1484,-26.00226645692576,4.877092552185059,0.29694553701485243,0.158,3.6194613819986525,2580.539054901709,5,5.005851265897164,52.01294406646976,-78.02464806890357,21.2426815032959,1.966088
s56_n300,300,0.8346210000000001,690.388,992,-37.14643962839682,4.6229654312133786,0.34207468766759896,0.023333333333333334,3.337840798866772,1014.8737863338031,4,1.2083155887381087,27.77115897126939,-90.54824203018507,17.498619079589844,3.761492
s56_n400,400,0.772395,418.484,1245,-16.350108038140007,4.651043891906738,0.2511870853875939,0.0375,3.2894869029045766,2653.1570066844847,5,9.776550661792985,32.803076333438604,-32.24150634461987,23.555545806884766,1.071988
s56_n500,500,0.8086558,976.312,524,-74.1481089508715,4.186839866638183,0.43102470635415796,0.2,3.398258156690525,2000.725888584619,3,3.5582220334498236,35.01046979918902,-149.93052266074292,24.040502548217773,3.613344
s57_n300,300,0.8195303333333334,531.879,204,-10.912991550061442,5.398249244689941,0.33158075699501127,0.12333333333333334,3.6418827787647734,458.72728710471335,0,0.8112969997464645,50.05425712191045,-47.803734166531974,16.212430953979492,2.841244
