protein_id,sequence_length,swi,tango_total,tango_aggregation_positions,net_charge_ph7,pI,iupred3_mean,iupred3_fraction_disordered,shannon_entropy,hydrophobic_patch_total_area,hydrophobic_patch_n_large,sap_total,scm_positive,scm_negative,radius_of_gyration
s42_n300,300,0.796181,526.578,585,-9.639377627831088,5.476857566833496,0.4178123981535078,0.3,3.75825097127126,2314.5977562510507,4,7.947013961370224,30.960227870228966,-41.711678459388125,18.08397102355957
s42_n400,400,0.8260707500000001,944.187,122,-30.650713917762694,4.836395835876464,0.42119354683356774,0.205,3.566079219278907,1950.4473052718804,5,3.95435541041729,45.29703743116522,-89.40138282087867,20.92538070678711
s42_n500,500,0.815861,1041.44,344,1.8241399584189253,7.944906425476074,0.412629298690414,0.188,3.6136876032329925,1754.907666682631,4,4.220019169761107,76.66829805680698,-59.106130495273725,22.072107315063477
s43_n300,300,0.7906893333333332,577.96,723,-4.162726276640306,5.673008918762207,0.38178967724536683,0.056666666666666664,3.7612541313131773,2150.132963627571,6,8.297587002615417,36.732499592994586,-32.96333566222347,17.69129180908203
s43_n400,400,0.825904,990.272,1999,-3.3575043950907855,5.856485176086425,0.25201271617673265,0.0,3.4740137508202458,1713.6521330545113,4,3.9509187132214696,69.76438697551376,-63.77997488351852,23.207504272460938
s43_n500,500,0.7946835999999999,507.578,562,-2.0289266601144362,6.605395698547364,0.46027988362511574,0.344,3.607069112480192,1470.265634144525,1,8.350443502151148,60.26645682411884,-58.71723032154266,21.864219665527344
s44_n300,300,0.8140336666666667,596.962,609,-9.226215662650795,5.279683113098144,0.20165810799698006,0.0,3.261712563660427,1153.579901191731,1,0.9059824631637904,43.91502628911015,-55.12653117755463,18.409414291381836
s44_n400,400,0.7781115,1344.7,2177,-4.21277182900393,4.925803565979003,0.5359817985824198,0.5775,3.4471110908740576,1379.9809993752015,2,4.042498190172576,22.82564175439774,-6.702982701322644,19.471458435058594
s44_n500,500,0.8160664,1558.51,15,12.839121137081506,9.142535591125487,0.4078736913319559,0.142,3.6683004591259705,1350.5168411278482,1,2.6331976616035804,87.96111917377671,-43.06189843542158,23.691940307617188
s45_n300,300,0.7990943333333334,474.89,128,-12.829969195344702,5.231142616271971,0.3340263136711001,0.023333333333333334,3.5920084606246983,955.8253381172499,2,3.532771701228293,42.164714089780524,-56.02299663160535,17.2996768951416
s45_n400,400,0.80372975,787.37,148,-16.6861184158944,5.55575008392334,0.6360955691319273,0.7675,3.617902670191261,1038.6818277964182,1,2.9407894914521666,47.36798861654161,-65.98461861391779,19.214506149291992
s45_n500,500,0.8119409999999999,744.3,1042,-24.395774532783463,5.355449485778809,0.40221956439778467,0.198,3.7610758554076993,2822.397509675835,4,7.975883124085091,76.65786005816337,-87.95723815536513,24.040000915527344
s46_n300,300,0.8144516666666668,437.135,1260,-40.91733236112764,4.2611284255981445,0.5353222208393419,0.5066666666666667,3.4138080563244193,1600.4725033496147,4,5.413254742388392,19.62320056105592,-75.02503729227892,17.89078712463379
s46_n400,400,0.7714624999999999,1802.7,1189,-8.306013245136747,4.814455986022949,0.2883337160259595,0.0,3.5864067919962213,4866.59092382377,21,13.916094599443912,17.019498153647273,-12.925276770670077,19.845417022705078
s46_n500,500,0.8075781999999999,559.908,39,-4.942772022977387,6.288063621520997,0.57822144263383,0.764,3.548408155939396,649.9803277505671,1,0.16313993954608702,45.362003487531155,-56.306419189200554,23.829795837402344
s47_n300,300,0.8053266666666667,527.931,1687,-13.931463311952115,5.060341453552245,0.46482109415788825,0.38333333333333336,3.3307918091528297,1216.0616349550633,3,2.8485220855730455,37.94167950785474,-44.186351618945054,17.303556442260742
s47_n400,400,0.80338525,489.288,20,16.652770318077458,11.024367713928221,0.5407130925425753,0.5975,3.358196464267891,663.5980734557664,1,1.4194419160237852,133.95581668058742,-86.99208102525031,20.72108268737793
s47_n500,500,0.7863678,1131.86,596,5.446724170884393,9.24897289276123,0.29393298317153643,0.05,2.1648060111833862,939.0874083939717,3,0.8266079452552565,17.581949934349,-2.077078314056741,23.32787322998047
s48_n300,300,0.806999,395.207,841,-2.4027516452759983,6.4703462600708,0.3823362572067788,0.18666666666666668,3.7177723875524915,1050.5217836128722,3,1.0512206216064948,59.483127504910875,-51.30170789705973,18.05416488647461
s48_n400,400,0.826049,975.417,894,-48.122683305676,4.464612007141112,0.4212958222246027,0.1975,3.6081459296769216,1702.0026871190223,3,4.2007308159950005,33.728968946806745,-104.19696331007181,20.536130905151367
s48_n500,500,0.8031988,1302.84,3504,67.7381291618648,10.05340938568115,0.29134174269475605,0.046,3.59251879880724,2590.9784962652393,6,10.227994503236452,162.64430971913248,-13.549918318855058,21.501008987426758
s49_n300,300,0.7770373333333335,884.803,1885,-2.7851663373681763,6.215309715270995,0.4139165514751777,0.14,3.5334116701368568,2079.3182701330993,6,6.619488526914466,12.792735653930695,-16.246753204873833,17.384885787963867
s49_n400,400,0.7874529999999998,545.932,569,-10.188037124199084,5.096832084655761,0.34834263344147276,0.185,3.9645622676552277,4049.2457877660527,11,11.649334824289777,45.557801228765356,-42.611485585815984,20.29500961303711
s49_n500,500,0.8133622,907.563,2568,9.836400962537766,8.909804725646975,0.08676499178298715,0.0,3.0373806149751443,1090.766458635253,1,1.3182659949184539,100.8318722955668,-67.67836427928242,23.244455337524414
