protein_id,sequence_length,swi,tango_total,tango_aggregation_positions,net_charge_ph7,pI,iupred3_mean,iupred3_fraction_disordered,shannon_entropy,hydrophobic_patch_total_area,hydrophobic_patch_n_large,sap_total,scm_positive,scm_negative,radius_of_gyration,camsol_ph7
s42_n300,300,0.7884180000000001,594.395,661,-7.763166568622957,5.558819389343261,0.332710159414358,0.19,3.877535133079308,2639.281761265792,6,9.10656579223634,33.21553380186565,-36.823726416404405,18.0773983001709,1.736347
s42_n400,400,0.81647725,1063.1,987,-32.20014738951666,4.619668769836425,0.3266167059293701,0.04,3.5606686154099783,2304.964545591731,7,5.555835509861023,40.17861884717904,-80.74415130308819,20.91702651977539,2.260244
s42_n500,500,0.8106709999999999,1074.71,392,-11.011903793739364,5.384096336364746,0.36334485207850303,0.082,3.643522830034312,2060.0873345300934,5,5.907446689947937,60.84780662073008,-70.53407340881151,22.0740966796875,2.026570
s43_n300,300,0.7848793333333333,610.125,1041,-6.935967003839593,5.503117179870604,0.30272175259514505,0.0033333333333333335,3.881667814392231,2384.7678097783105,7,10.777126228016542,30.53318682327532,-31.140579685161576,17.693275451660156,1.159180
s43_n400,400,0.81854375,1084.97,2897,-3.377669450349572,5.815447425842286,0.188835172177894,0.0,3.446951467401299,2064.683464257942,6,4.8286368575951375,68.87460183898193,-61.470889711735424,23.21294403076172,1.907073
s43_n500,500,0.7924202,565.057,685,-8.11546190897549,5.950781059265137,0.41027632810002695,0.186,3.661340873743472,1592.8793521274506,1,8.810232250300974,58.5661499238583,-60.83126933082052,21.855045318603516,3.250503
s44_n300,300,0.8054656666666666,725.239,678,-4.423149495086491,5.4924314498901365,0.13637215698878888,0.0,3.2322030186702344,1364.9163051850605,2,1.933481048746565,43.253047664481215,-48.25266728671828,18.398740768432617,1.594865
s44_n400,400,0.7725839999999999,1429.3,2204,-12.214689831801923,4.103229713439941,0.4383500378700381,0.2325,3.4186687135187643,2111.722630978607,4,8.94693824199534,4.131321696800542,-7.389653711199836,19.454736709594727,-0.826263
s44_n500,500,0.8101416,1552.28,61,6.804862004129006,8.708921241760255,0.333231017515045,0.054,3.6790460550483868,1658.1020626759514,2,4.174386689020782,84.17669516719909,-46.45386584782919,23.688405990600586,1.973376
s45_n300,300,0.7942766666666667,568.813,501,-19.754915857181935,4.9061372756958,0.2557582497477606,0.0,3.7206122576111365,1039.9384339875198,2,3.829710708339611,31.887824142485606,-60.0334636126806,17.296918869018555,2.735540
