protein_id,coScRMSD_ca
s42_n300,5.3974
s42_n400,2.0697
s42_n500,7.3143
s43_n300,1.2638
s43_n400,2.3711
s43_n500,1.9699
s44_n300,0.7541
s44_n400,3.0171
s44_n500,1.7402
s45_n300,1.1027
s45_n400,0.7580
s45_n500,20.0625
s46_n300,0.8248
s46_n400,3.7985
s46_n500,15.5729
s47_n300,0.8997
s47_n400,1.4491
s47_n500,4.7941
s48_n300,2.6040
s48_n400,3.3401
s48_n500,8.9300
s49_n300,1.5340
s49_n400,2.8333
s49_n500,0.8804
s50_n300,1.5777
s50_n400,5.9181
s50_n500,26.0856
s51_n300,1.2613
s51_n400,2.1375
s51_n500,6.9746
s52_n300,0.6651
s52_n400,0.9332
s52_n500,8.5869
s53_n300,0.8048
s53_n400,0.9063
s53_n500,7.6462
s54_n300,0.5133
s54_n400,2.4563
s54_n500,24.6948
s55_n300,1.1810
s55_n400,1.1717
s55_n500,6.6614
s56_n300,14.4194
s56_n400,5.7286
s56_n500,15.3766
s57_n300,1.2552
s57_n400,11.5475
s57_n500,16.3157
