protein_id,coScRMSD_ca
s42_n300,5.4533
s42_n400,2.1001
s42_n500,2.7212
s43_n300,1.1115
s43_n400,2.6866
s43_n500,2.2600
s44_n300,0.8690
s44_n400,2.8317
s44_n500,2.0440
s45_n300,1.3047
s45_n400,0.8648
s45_n500,20.5924
s46_n300,1.1164
s46_n400,3.7807
s46_n500,15.1705
s47_n300,1.6601
s47_n400,1.2973
s47_n500,5.2834
s48_n300,7.3971
s48_n400,3.3107
s48_n500,9.0405
s49_n300,1.5385
s49_n400,2.9053
s49_n500,1.1315
s50_n300,2.1579
s50_n400,6.5604
s50_n500,25.6594
s51_n300,0.6567
s51_n400,18.7375
s51_n500,7.6528
s52_n300,0.7392
s52_n400,1.1867
s52_n500,12.5270
s53_n300,1.4687
s53_n400,2.0070
s53_n500,7.0235
s54_n300,0.5114
s54_n400,1.2856
s54_n500,24.9968
s55_n300,1.0671
s55_n400,1.1497
s55_n500,7.1739
s56_n300,1.0735
s56_n400,7.5738
s56_n500,15.0875
s57_n300,2.0730
s57_n400,3.0348
s57_n500,15.7450
