protein_id,coScRMSD_ca
s42_n300,5.4075
s42_n400,2.1393
s42_n500,8.4327
s43_n300,1.2727
s43_n400,2.6166
s43_n500,2.3535
s44_n300,0.8664
s44_n400,3.1081
s44_n500,1.6740
s45_n300,0.8664
s45_n400,0.8280
s45_n500,20.0106
s46_n300,0.7743
s46_n400,3.6932
s46_n500,15.6706
s47_n300,1.0321
s47_n400,1.3795
s47_n500,5.2612
s48_n300,1.3371
s48_n400,3.3656
s48_n500,8.5255
s49_n300,1.5314
s49_n400,2.8297
s49_n500,1.1682
s50_n300,1.4714
s50_n400,11.1531
s50_n500,25.1552
s51_n300,0.6376
s51_n400,2.1345
s51_n500,8.4984
s52_n300,0.7717
s52_n400,1.1792
s52_n500,11.9531
s53_n300,0.9655
s53_n400,1.3219
s53_n500,7.0158
s54_n300,0.6709
s54_n400,1.3689
s54_n500,24.8051
s55_n300,1.8942
s55_n400,1.1433
s55_n500,0.5637
s56_n300,0.9623
s56_n400,5.9390
s56_n500,13.9516
s57_n300,1.2321
s57_n400,9.2717
s57_n500,14.6234
